"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.32,0.94,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.58,1.44,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.5,1.68,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.38,1.38,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.57,0.4,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.01,-0.09,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.04,1.3,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.94,1.81,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.62,1.61,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.47,1.01,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
-0.39,-0.02,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
-0.13,-0.07,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
