"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.2,2.14,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.1,2.16,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.25,2.44,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.02,2.05,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.01,2.48,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.71,3.52,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.24,3.16,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.64,3.85,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.87,2.63,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.2,2.42,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.47,2.25,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.73,1.99,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
