"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
0.74,0.75,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.45,0.69,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.09,1.31,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.72,0.43,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.48,0.78,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.06,1.77,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
2.48,3.05,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
2.31,3.2,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.39,1.53,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.56,1.49,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.16,0.86,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.31,1.22,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
