"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.8,3.12,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.07,4.01,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.75,3.58,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
1.94,2.28,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.06,2.65,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.52,3.51,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.46,4.73,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.76,4.23,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
3.35,3.89,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.14,2.48,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.15,2.35,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
2.04,2.67,"rcp85",2035,2065,2050,1990,"relative","ACCESS1-0"
