"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.77,3.4,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.58,2.62,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.81,3.42,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
1.92,2.26,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.85,3.27,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
4.29,4.77,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
4.78,6.18,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
5.4,5.98,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
4.57,4.7,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
3.01,3.73,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
3.04,3.11,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.94,2.79,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
