"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.5682579377903,3014.68695951268,1133
"2002/2003",2003,120,120,100,74.0685211540698,4266.75876726166,1067
"2003/2004",2004,120,120,100,73.3567059611067,3061.17741167723,1329
"2004/2005",2005,121,121,100,76.1815427329867,2786.33162237017,1245
"2005/2006",2006,120,120,100,71.7322545316156,3236.84071996697,1307
"2006/2007",2007,120,120,100,66.3809775440585,2457.7039176753,1576
"2007/2008",2008,120,120,100,80.8775662461941,3655.36789846182,915
"2008/2009",2009,121,121,100,69.1320480992655,2612.95397593919,1535
"2009/2010",2010,120,120,100,82.2245717785192,3276.58705022588,1019
"2010/2011",2011,120,120,100,71.0671980686393,5041.39094212325,1096
"2011/2012",2012,120,120,100,83.1901417027077,3201.32987181807,839
"2012/2013",2013,121,121,100,74.5106005257517,2799.65976297122,1367
"2013/2014",2014,120,120,100,66.0752859864731,5049.46172457258,1103
"2014/2015",2015,120,120,100,79.5000817270425,3254.47018609161,1040
"2015/2016",2016,120,120,100,75.6506842295303,3955.05898765149,1099
"2016/2017",2017,121,121,100,70.770793118621,2998.77082602843,1399
"2017/2018",2018,120,120,100,77.8780209540114,3850.29094166635,1038
"2018/2019",2019,120,120,100,81.0354430612256,5426.73461713165,640
"2019/2020",2020,120,120,100,75.1143854942247,3845.33516600728,1160
"2020/2021",2021,121,121,100,69.9075705996288,2701.2411024326,1393
"2021/2022",2022,120,120,100,79.3694436903602,3359.77007329511,942
"2022/2023",2023,120,120,100,78.3972457924151,4870.16325907898,904
"2023/2024",2024,120,120,100,75.3607314818601,2866.35937042465,1312
"2024/2025",2025,121,121,100,76.3233064178994,5198.83223341405,912
"2025/2026",2026,120,120,100,73.2479324389037,2731.44088862441,1195
"2026/2027",2027,120,120,100,64.1808255313035,4722.84319948405,1398
"2027/2028",2028,120,120,100,81.168975566261,4789.30056293751,781
"2028/2029",2029,121,121,100,75.4336316243825,1593.90982595365,1426
"2029/2030",2030,120,120,100,75.7797605839437,3725.36055987678,1052
"2030/2031",2031,120,120,100,60.5695405245738,3370.16644709837,1639
"2031/2032",2032,120,120,100,71.8127607859797,2382.38067478221,1377
"2032/2033",2033,121,121,100,77.6839259799499,4103.47456556163,1061
"2033/2034",2034,120,120,100,70.3415330270682,3089.54387703445,1310
"2034/2035",2035,120,120,100,78.219599451766,4383.5288726748,917
"2035/2036",2036,120,120,100,76.0919704116823,4381.19128361647,992
"2036/2037",2037,121,121,100,77.7472275430564,2816.86187438457,1217
"2037/2038",2038,120,120,100,79.2385498780841,4426.21225162712,902
"2038/2039",2039,120,120,100,73.475878105879,4861.44688652642,1020
"2039/2040",2040,120,120,100,70.8606956974081,3518.9980278099,1316
"2040/2041",2041,121,121,100,77.2803136004804,3461.53480434418,1201
"2041/2042",2042,120,120,100,73.8758829258441,7451.1474631452,630
"2042/2043",2043,120,120,100,77.7730867051778,1921.6192910336,1207
"2043/2044",2044,120,120,100,74.706881447808,3714.12940206053,1183
"2044/2045",2045,121,121,100,80.9905844477926,2381.45664298721,1076
"2045/2046",2046,120,120,100,72.7291867696467,2004.27875429671,1388
"2046/2047",2047,120,120,100,78.9474753254099,4047.87875691894,874
"2047/2048",2048,120,120,100,77.2822259999193,5031.33737527765,855
"2048/2049",2049,121,121,100,75.7844542096263,2239.32872135518,1334
"2049/2050",2050,120,120,100,74.6394238615385,2545.67632334027,1126
"2050/2051",2051,120,120,100,75.1952613626545,3159.7232233868,1161
"2051/2052",2052,120,120,100,68.6405537974606,4924.50977397244,1186
"2052/2053",2053,121,121,100,75.802850482828,5576.16636055708,909
"2053/2054",2054,120,120,100,73.9018900330866,4800.98639080301,1070
"2054/2055",2055,120,120,100,75.6503464258403,3745.10031853057,1048
"2055/2056",2056,120,120,100,80.5785704136169,3520.27201788733,948
"2056/2057",2057,121,121,100,79.1827462392976,5069.4283575844,865
"2057/2058",2058,120,120,100,66.893900185848,5556.08915529121,1099
"2058/2059",2059,120,120,100,73.3291964692198,2364.32094406709,1350
"2059/2060",2060,120,120,100,74.3494832524793,4137.2889618827,1140
"2060/2061",2061,121,121,100,70.16132120763,3743.33019824559,1273
"2061/2062",2062,120,120,100,74.9665964957012,4036.6657730341,1026
"2062/2063",2063,120,120,100,73.9183014348619,3341.37020073459,1181
"2063/2064",2064,120,120,100,73.1488868326169,4710.0064408672,1065
"2064/2065",2065,121,121,100,77.7278591777012,4559.51725519123,1062
"2065/2066",2066,120,120,100,69.1422936252166,3820.02399754105,1384
"2066/2067",2067,120,120,100,74.2445219157335,2634.11396622518,1181
"2067/2068",2068,120,120,100,72.1802467893749,3947.60527295806,1239
"2068/2069",2069,121,121,100,72.524268634349,3338.78370852303,1205
"2069/2070",2070,120,120,100,70.4495434770306,3555.39204586623,1294
"2070/2071",2071,120,120,100,77.4125414899599,3107.3459258615,1083
"2071/2072",2072,120,120,100,77.3678574937603,5164.97171326261,840
"2072/2073",2073,121,121,100,73.5624606542724,3262.88600262441,1248
"2073/2074",2074,120,120,100,68.5567430878036,4380.28810105706,1153
"2074/2075",2075,120,120,100,73.0662358563186,3204.82743554749,1289
"2075/2076",2076,120,120,100,75.816537693614,3952.57671849057,1171
"2076/2077",2077,121,121,100,75.2394413969359,2931.09231658652,1111
"2077/2078",2078,120,120,100,74.4063847011075,3979.35161128733,1007
"2078/2079",2079,120,120,100,81.5579566874931,4996.45557294693,796
"2079/2080",2080,120,120,100,79.8289748993811,4944.74932330381,940
"2080/2081",2081,121,121,100,80.6311847553352,4196.09361359663,958
"2081/2082",2082,120,120,100,74.5744978687471,3423.3069844339,1230
"2082/2083",2083,120,120,100,77.6626870222408,3984.05646378268,986
"2083/2084",2084,120,120,100,68.7565908210036,2475.64571653493,1550
"2084/2085",2085,121,121,100,77.4733862752983,3699.28870132752,1067
"2085/2086",2086,120,120,100,74.2658924247589,3468.84665247053,1252
"2086/2087",2087,120,120,100,74.5046734537664,4039.32929353416,1080
"2087/2088",2088,120,120,100,78.1337412691955,3335.6742064748,1004
"2088/2089",2089,121,121,100,76.1289549186931,2652.62463934906,1338
"2089/2090",2090,120,120,100,74.0324784384884,2258.26862242259,1301
"2090/2091",2091,120,120,100,78.1052736845431,3715.17033130955,925
"2091/2092",2092,120,120,100,80.3301422531767,3120.93037879001,1031
"2092/2093",2093,121,121,100,80.0006051115033,4953.21028632112,927
"2093/2094",2094,120,120,100,79.0465591301527,4621.5653575873,854
"2094/2095",2095,120,120,100,77.6411542531805,3241.08204791043,1008
"2095/2096",2096,120,120,100,76.7375551051264,3513.52836166508,1224
"2096/2097",2097,121,121,100,72.3844427878139,2997.72913906444,1434
"2097/2098",2098,120,120,100,76.6459353604369,2692.7781657679,1156
"2098/2099",2099,120,120,100,69.5093870890796,3507.02979830932,1304
"2099/2100",2100,120,120,100,76.9792909525368,4389.0125884451,1044
"2100/2101",2101,120,120,100,79.1403568935639,2929.42363768537,1040
