"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.8673242778127,2538.51002560149,1320
"2002/2003",2003,120,120,100,72.1874649641798,3621.70830796602,1253
"2003/2004",2004,120,120,100,72.0499859873592,2596.02409058454,1487
"2004/2005",2005,121,121,100,74.0787712081848,2350.07622524007,1439
"2005/2006",2006,120,120,100,69.7019639472285,2774.37633570045,1476
"2006/2007",2007,120,120,100,63.3540191858993,2089.48656969983,1722
"2007/2008",2008,120,120,100,78.8795177246355,2943.45752511133,1136
"2008/2009",2009,121,121,100,66.2645698227145,2204.36301886494,1717
"2009/2010",2010,120,120,100,80.9238678201424,2628.69037539768,1209
"2010/2011",2011,120,120,100,68.40280025688,4244.47802869265,1278
"2011/2012",2012,120,120,100,81.4412722440088,2537.49820159411,1008
"2012/2013",2013,121,121,100,71.5737613165461,2395.92004205205,1535
"2013/2014",2014,120,120,100,65.7263460295453,4388.0025326669,1253
"2014/2015",2015,120,120,100,77.0906458678492,2707.9447889016,1262
"2015/2016",2016,120,120,100,72.5049705524143,3446.28631184995,1287
"2016/2017",2017,121,121,100,69.3593168975369,2583.69297991146,1619
"2017/2018",2018,120,120,100,76.7096400773253,3192.79555181565,1212
"2018/2019",2019,120,120,100,80.5380383944553,4630.75026733056,856
"2019/2020",2020,120,120,100,73.8182193685334,3252.68179037364,1344
"2020/2021",2021,121,121,100,67.3329694829672,2346.30960972118,1575
"2021/2022",2022,120,120,100,77.9268153709181,2716.30651145754,1127
"2022/2023",2023,120,120,100,75.9902072418136,4141.83863529447,1076
"2023/2024",2024,120,120,100,72.1616259560406,2475.19376582862,1500
"2024/2025",2025,121,121,100,75.9180266647036,4445.10979799856,1117
"2025/2026",2026,120,120,100,72.0020154535991,2182.60052028182,1361
"2026/2027",2027,120,120,100,63.0471538401353,4236.98121237429,1554
"2027/2028",2028,120,120,100,80.9293310721041,3959.57838568487,970
"2028/2029",2029,121,121,100,72.8421369715606,1302.16119059315,1652
"2029/2030",2030,120,120,100,74.8205052864892,3140.12130497955,1265
"2030/2031",2031,120,120,100,61.0469205400291,2950.80854738923,1784
"2031/2032",2032,120,120,100,72.6153072546249,2026.729909888,1563
"2032/2033",2033,121,121,100,75.3184108597143,3387.20078500244,1258
"2033/2034",2034,120,120,100,68.7668994047885,2523.23530290648,1517
"2034/2035",2035,120,120,100,75.2262353385345,3695.08164858818,1155
"2035/2036",2036,120,120,100,75.4484390977618,3750.11040037544,1224
"2036/2037",2037,121,121,100,74.3752946466507,2296.4695991443,1411
"2037/2038",2038,120,120,100,76.0055409154875,3764.01288459334,1136
"2038/2039",2039,120,120,100,72.8731337752006,4231.1046493852,1251
"2039/2040",2040,120,120,100,68.8081116806588,2932.40036449302,1521
"2040/2041",2041,121,121,100,74.957267814797,2921.74002724001,1387
"2041/2042",2042,120,120,100,75.4316498426424,6441.85234734183,805
"2042/2043",2043,120,120,100,75.8144973469407,1523.34374766983,1414
"2043/2044",2044,120,120,100,72.6742127166963,3133.21821990842,1373
"2044/2045",2045,121,121,100,78.6088604107381,1852.29191535152,1286
"2045/2046",2046,120,120,100,70.1143249787692,1599.35015966324,1620
"2046/2047",2047,120,120,100,78.2534104188126,3325.68084348598,1079
"2047/2048",2048,120,120,100,74.7310332238558,4225.5691669411,1036
"2048/2049",2049,121,121,100,73.3913839680763,1857.57176517649,1505
"2049/2050",2050,120,120,100,71.0087302480852,2060.62471252214,1346
"2050/2051",2051,120,120,100,72.6278118355704,2627.47720913636,1364
"2051/2052",2052,120,120,100,66.76355402423,4310.59664924955,1336
"2052/2053",2053,121,121,100,74.6446540320021,4883.2791857589,1135
"2053/2054",2054,120,120,100,71.8752198503389,4122.64085808257,1251
"2054/2055",2055,120,120,100,74.1909989272663,3149.73209886532,1268
"2055/2056",2056,120,120,100,77.9242685396703,2953.18330042856,1186
"2056/2057",2057,121,121,100,77.2231966866175,4289.12397423526,1045
"2057/2058",2058,120,120,100,66.8734516507539,4853.02602526359,1273
"2058/2059",2059,120,120,100,70.3186969179906,1946.73177352129,1550
"2059/2060",2060,120,120,100,73.404537541528,3423.34594741743,1304
"2060/2061",2061,121,121,100,69.6645106031992,3228.67311918875,1437
"2061/2062",2062,120,120,100,74.5312657298646,3152.50818859646,1177
"2062/2063",2063,120,120,100,71.1275754191147,2830.29383902578,1374
"2063/2064",2064,120,120,100,72.311527822565,4129.98253011052,1273
"2064/2065",2065,121,121,100,75.6116111506908,3869.73881298536,1263
"2065/2066",2066,120,120,100,67.7041067556129,3306.38850527443,1562
"2066/2067",2067,120,120,100,74.2406663657121,2058.28066228423,1368
"2067/2068",2068,120,120,100,71.5846169977704,3487.93137933314,1402
"2068/2069",2069,121,121,100,70.262833683978,2849.59408062464,1394
"2069/2070",2070,120,120,100,68.9505393973068,2870.47076736391,1454
"2070/2071",2071,120,120,100,75.4737265440326,2576.1979719121,1257
"2071/2072",2072,120,120,100,76.8041730921632,4338.68010133039,1023
"2072/2073",2073,121,121,100,72.7822745385001,2777.15196848148,1396
"2073/2074",2074,120,120,100,65.2954253960297,3829.68067901442,1386
"2074/2075",2075,120,120,100,71.6591035470938,2634.42389003467,1487
"2075/2076",2076,120,120,100,74.2317487619057,3334.81805311237,1368
"2076/2077",2077,121,121,100,73.7595440511595,2416.73168117227,1323
"2077/2078",2078,120,120,100,72.5530433404419,3342.66662464477,1179
"2078/2079",2079,120,120,100,79.6353665090592,4164.28170830384,969
"2079/2080",2080,120,120,100,78.3968760051048,4171.75851597358,1108
"2080/2081",2081,121,121,100,79.2366022079441,3364.50030954182,1088
"2081/2082",2082,120,120,100,73.5275904345945,2851.35917040799,1421
"2082/2083",2083,120,120,100,78.0274086436093,3355.06382200681,1195
"2083/2084",2084,120,120,100,69.2577842359897,2002.21002297569,1681
"2084/2085",2085,121,121,100,76.2845214794252,3032.52697808575,1264
"2085/2086",2086,120,120,100,72.3853662724632,2926.6153651597,1441
"2086/2087",2087,120,120,100,72.5686794333124,3362.33008993883,1262
"2087/2088",2088,120,120,100,77.9493241880773,2773.42908877227,1183
"2088/2089",2089,121,121,100,73.759029099956,2191.61101440713,1501
"2089/2090",2090,120,120,100,71.9933677952831,1909.62164907996,1504
"2090/2091",2091,120,120,100,77.1963630834034,3030.41364428308,1122
"2091/2092",2092,120,120,100,76.8514115381749,2554.41613860987,1282
"2092/2093",2093,121,121,100,78.0715360392151,4199.02389244456,1118
"2093/2094",2094,120,120,100,76.6317500240093,3863.69877212867,1090
"2094/2095",2095,120,120,100,75.888462235016,2736.94282682147,1284
"2095/2096",2096,120,120,100,73.2638448625785,3021.57152447011,1426
"2096/2097",2097,121,121,100,69.8459404065507,2526.32459907886,1615
"2097/2098",2098,120,120,100,74.0868554930857,2172.65341123473,1349
"2098/2099",2099,120,120,100,68.1352396641651,2937.05870410707,1469
"2099/2100",2100,120,120,100,77.1467064478984,3599.96498147026,1210
"2100/2101",2101,120,120,100,78.5680753221768,2371.04616406746,1221
