"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.8749583571296,3117.66792655821,1229
"2002/2003",2003,120,120,100,70.9213197038677,4380.84362212887,1198
"2003/2004",2004,120,120,100,71.1279083291134,3257.02276251934,1415
"2004/2005",2005,121,121,100,73.5172646572204,2788.22473058818,1361
"2005/2006",2006,120,120,100,69.4943966367338,3346.14692405186,1395
"2006/2007",2007,120,120,100,64.6283909395487,2646.05893244536,1659
"2007/2008",2008,120,120,100,78.5021355692952,3476.33029740816,1058
"2008/2009",2009,121,121,100,69.4501001172604,2547.68739990483,1653
"2009/2010",2010,120,120,100,82.2168521506067,2984.39742834674,1123
"2010/2011",2011,120,120,100,68.9202779764985,4927.72376909549,1212
"2011/2012",2012,120,120,100,81.4395268408914,3137.58056817972,936
"2012/2013",2013,121,121,100,71.287898324782,2970.99853647267,1471
"2013/2014",2014,120,120,100,64.865856722502,5188.35396717628,1178
"2014/2015",2015,120,120,100,78.0968840459643,3272.51008468214,1158
"2015/2016",2016,120,120,100,71.7267531316234,4259.09151866427,1223
"2016/2017",2017,121,121,100,69.7286445027462,3165.58280559373,1545
"2017/2018",2018,120,120,100,73.3721979085367,3942.23247214023,1144
"2018/2019",2019,120,120,100,78.1693746410804,5335.56204778561,788
"2019/2020",2020,120,120,100,73.7394448451628,3844.7482166891,1257
"2020/2021",2021,121,121,100,68.211591691706,2843.03910844564,1489
"2021/2022",2022,120,120,100,80.1032451779206,3066.92333404813,1050
"2022/2023",2023,120,120,100,75.7912817447459,4790.96457823436,1006
"2023/2024",2024,120,120,100,71.7571785724567,2979.52035284974,1432
"2024/2025",2025,121,121,100,72.9604864313137,5150.09781057155,1043
"2025/2026",2026,120,120,100,71.5647359252193,2964.50100318668,1264
"2026/2027",2027,120,120,100,63.8772084161969,4733.28954999265,1496
"2027/2028",2028,120,120,100,79.0264500857588,4788.49110169173,898
"2028/2029",2029,121,121,100,72.8482413976308,1665.03268349892,1562
"2029/2030",2030,120,120,100,73.0848917659523,3958.04983849567,1184
"2030/2031",2031,120,120,100,59.5667628175552,3622.52413427085,1724
"2031/2032",2032,120,120,100,70.662193259137,2550.27370304195,1480
"2032/2033",2033,121,121,100,77.8883175056499,3902.8230975864,1144
"2033/2034",2034,120,120,100,70.9895140541439,3002.01656198525,1436
"2034/2035",2035,120,120,100,76.8185609479988,4237.83687049011,1060
"2035/2036",2036,120,120,100,74.5773999271246,4596.87244235678,1133
"2036/2037",2037,121,121,100,73.3617565656436,2912.85230063717,1343
"2037/2038",2038,120,120,100,77.7061541652156,4455.70424441202,1060
