"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.7910508379985,3490.92090542245,1084
"2002/2003",2003,120,120,100,73.1573982152476,4892.6056496965,1083
"2003/2004",2004,120,120,100,73.0781749856603,3584.52095607916,1306
"2004/2005",2005,121,121,100,76.2124472931496,3176.36157599991,1236
"2005/2006",2006,120,120,100,72.4117271671419,3701.94894134655,1255
"2006/2007",2007,120,120,100,67.6925472625235,2857.5819330542,1559
"2007/2008",2008,120,120,100,78.6986754700165,4186.08199657412,902
"2008/2009",2009,121,121,100,70.5054253842667,2846.84982385143,1517
"2009/2010",2010,120,120,100,82.1144796062862,3596.09492240689,988
"2010/2011",2011,120,120,100,69.6893404563245,5392.15622014529,1071
"2011/2012",2012,120,120,100,83.7310365720971,3804.40390369913,855
"2012/2013",2013,121,121,100,73.1227267605464,3265.98432116036,1340
"2013/2014",2014,120,120,100,65.9868045631188,5610.78625965933,1090
"2014/2015",2015,120,120,100,78.0192397300391,3644.97443975648,1023
"2015/2016",2016,120,120,100,73.263954033036,4615.88507897209,1080
"2016/2017",2017,121,121,100,72.5425860249384,3423.76132419438,1387
"2017/2018",2018,120,120,100,76.2905936649454,4363.10887318139,1022
"2018/2019",2019,120,120,100,80.1726258932258,6124.38297493511,655
"2019/2020",2020,120,120,100,75.7926855825269,4346.71265565814,1140
"2020/2021",2021,121,121,100,68.3864399377426,3220.77471818519,1404
"2021/2022",2022,120,120,100,81.9835391884149,3733.34777391958,912
"2022/2023",2023,120,120,100,77.5895117965943,5523.91560218227,890
"2023/2024",2024,120,120,100,73.2125242696206,3378.29929429758,1308
"2024/2025",2025,121,121,100,75.8376748603841,5809.44220595993,916
"2025/2026",2026,120,120,100,75.1590340648577,3241.57413982693,1170
"2026/2027",2027,120,120,100,64.6234600056969,5185.79392785346,1371
"2027/2028",2028,120,120,100,78.7534829982992,5397.62794340122,770
"2028/2029",2029,121,121,100,75.6411706027543,1934.28613624885,1398
"2029/2030",2030,120,120,100,78.1324811380068,4317.35638373182,1032
"2030/2031",2031,120,120,100,60.9890070702595,3836.16385329841,1624
"2031/2032",2032,120,120,100,73.8566734251799,2838.04144090274,1350
"2032/2033",2033,121,121,100,75.4952264618382,4563.29509837576,1012
"2033/2034",2034,120,120,100,70.6415735543596,3336.02133016079,1287
"2034/2035",2035,120,120,100,77.2196916162056,4898.74673060398,873
"2035/2036",2036,120,120,100,75.48936317161,5080.52765874984,988
"2036/2037",2037,121,121,100,75.8481631548921,3312.35488389689,1221
"2037/2038",2038,120,120,100,76.6362144964173,5107.789472437,904
"2038/2039",2039,120,120,100,72.2742492543434,5399.61692536809,1033
"2039/2040",2040,120,120,100,71.9738928548641,3856.48287651595,1303
"2040/2041",2041,121,121,100,77.0253578609108,4005.20601212513,1195
"2041/2042",2042,120,120,100,72.2728252376401,8023.78926034784,607
"2042/2043",2043,120,120,100,80.5471997587529,2225.77027389687,1152
"2043/2044",2044,120,120,100,74.8673500392997,4147.79426544951,1161
"2044/2045",2045,121,121,100,81.7763694345758,2641.31728084991,1042
"2045/2046",2046,120,120,100,74.2356988054535,2157.61589206476,1347
"2046/2047",2047,120,120,100,78.7575385387217,4484.0022157114,852
"2047/2048",2048,120,120,100,76.9126341420369,5585.2012883001,857
"2048/2049",2049,121,121,100,76.1836269214436,2688.17980974028,1295
"2049/2050",2050,120,120,100,74.9310988192901,2900.56866233982,1115
"2050/2051",2051,120,120,100,75.6911175761725,3571.26303620869,1114
"2051/2052",2052,120,120,100,68.4514235369597,5405.70612398582,1159
"2052/2053",2053,121,121,100,75.2584562246575,6260.91808852926,922
"2053/2054",2054,120,120,100,72.5335056763088,5393.45756704733,1075
"2054/2055",2055,120,120,100,75.3994453721252,4209.5325176008,1030
"2055/2056",2056,120,120,100,79.1436008968494,3933.51809097454,938
"2056/2057",2057,121,121,100,76.5250613455664,5715.61019224022,861
"2057/2058",2058,120,120,100,67.9652202126663,6062.33350864705,1108
"2058/2059",2059,120,120,100,71.8506593608899,2754.1353351525,1326
"2059/2060",2060,120,120,100,71.3788589274918,4539.08012243081,1103
"2060/2061",2061,121,121,100,70.7195589480471,4269.30334388278,1261
"2061/2062",2062,120,120,100,77.2159874372473,4138.84844100894,1002
"2062/2063",2063,120,120,100,72.9309404230171,3848.4146253299,1162
"2063/2064",2064,120,120,100,73.2475223398669,5150.97233080957,1062
"2064/2065",2065,121,121,100,74.0882087097907,5257.54318846669,1075
"2065/2066",2066,120,120,100,69.7806278272683,4293.82533928193,1391
"2066/2067",2067,120,120,100,76.0569112897656,2935.23852707725,1156
"2067/2068",2068,120,120,100,71.0583143970925,4647.31433226634,1223
"2068/2069",2069,121,121,100,72.4521367948091,3904.00332000665,1196
"2069/2070",2070,120,120,100,71.2373782516879,3815.92693487322,1248
"2070/2071",2071,120,120,100,76.522099834764,3477.89992436673,1069
"2071/2072",2072,120,120,100,78.4707674583369,5812.60943169938,848
"2072/2073",2073,121,121,100,75.476510345833,3668.7873770413,1214
"2073/2074",2074,120,120,100,70.1883391041256,4735.59911150858,1131
"2074/2075",2075,120,120,100,74.1215036186504,3552.96710839868,1244
"2075/2076",2076,120,120,100,75.8984481717607,4533.60467094276,1161
"2076/2077",2077,121,121,100,77.1855050900394,3343.22358460911,1087
"2077/2078",2078,120,120,100,73.2822768420492,4553.40306031425,999
"2078/2079",2079,120,120,100,81.3189749226603,5585.22016126662,772
"2079/2080",2080,120,120,100,77.3741600590438,5738.40141786542,956
"2080/2081",2081,121,121,100,80.9189418648784,4527.22075311933,925
"2081/2082",2082,120,120,100,73.2794454900777,3849.27414931543,1212
"2082/2083",2083,120,120,100,77.7141351583232,4546.86122306343,980
"2083/2084",2084,120,120,100,69.7828311831254,2835.97666798532,1517
"2084/2085",2085,121,121,100,77.9951513036303,4051.38477531914,1028
"2085/2086",2086,120,120,100,72.6424722961401,3930.11328947917,1226
"2086/2087",2087,120,120,100,73.7843280287561,4521.54632671177,1076
"2087/2088",2088,120,120,100,77.5539347948052,3951.1321545979,1007
"2088/2089",2089,121,121,100,75.5017762398475,3142.88008407224,1311
"2089/2090",2090,120,120,100,75.0227136606445,2703.56408369448,1292
"2090/2091",2091,120,120,100,77.7093547811946,4159.04759129789,913
"2091/2092",2092,120,120,100,79.1069293729306,3567.3657708941,1012
"2092/2093",2093,121,121,100,78.4572369975194,5561.16288251802,914
"2093/2094",2094,120,120,100,76.5244038110213,5093.76171296276,851
"2094/2095",2095,120,120,100,75.5569122048582,3860.34059908427,1017
"2095/2096",2096,120,120,100,73.9444318484784,4006.34168326948,1219
"2096/2097",2097,121,121,100,71.7355805919578,3321.01908207219,1398
"2097/2098",2098,120,120,100,75.7844325042006,3161.09079102054,1136
"2098/2099",2099,120,120,100,67.9037976109576,4011.89122060221,1315
"2099/2100",2100,120,120,100,78.0670429463589,4620.56541670393,1008
"2100/2101",2101,120,120,100,80.0684724776656,3378.70180744212,1036
