"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.0051045430698,3543.06696813434,991
"2002/2003",2003,120,120,100,75.5585708661371,4743.04744545445,952
"2003/2004",2004,120,120,100,74.736659013145,3428.25553117369,1235
"2004/2005",2005,121,121,100,77.5974062729172,3228.60947959611,1122
"2005/2006",2006,120,120,100,73.7735630787558,3648.69906972221,1188
"2006/2007",2007,120,120,100,69.1057294109468,2717.08224776032,1481
"2007/2008",2008,120,120,100,80.904744638946,4222.58604948863,800
"2008/2009",2009,121,121,100,72.1306264289913,2970.7035860421,1434
"2009/2010",2010,120,120,100,81.0375145062148,3876.71434331185,900
"2010/2011",2011,120,120,100,72.4015557182311,5508.56300041475,988
"2011/2012",2012,120,120,100,84.8402827793425,3792.07417303917,740
"2012/2013",2013,121,121,100,73.2781499689554,3226.42801138363,1281
"2013/2014",2014,120,120,100,68.5029084603616,5499.29013292363,1002
"2014/2015",2015,120,120,100,79.4903328888711,3753.7706448402,902
"2015/2016",2016,120,120,100,76.1281976857281,4452.98040299071,964
"2016/2017",2017,121,121,100,72.7614059952989,3397.18496049719,1294
"2017/2018",2018,120,120,100,79.4261745139654,4376.32010203984,926
"2018/2019",2019,120,120,100,79.6231796778743,6231.67264031898,540
"2019/2020",2020,120,120,100,75.5164688028203,4336.35039729485,1029
"2020/2021",2021,121,121,100,72.4645038773074,3039.84302897402,1280
"2021/2022",2022,120,120,100,82.1998776792648,3928.09892148711,827
"2022/2023",2023,120,120,100,78.4667104023665,5492.07211233326,805
"2023/2024",2024,120,120,100,75.6061290075036,3250.44205392129,1201
"2024/2025",2025,121,121,100,78.2184720561236,5778.78417158406,812
"2025/2026",2026,120,120,100,75.9339323613362,3204.22026695404,1083
"2026/2027",2027,120,120,100,64.8570740646155,5042.45141395042,1284
"2027/2028",2028,120,120,100,81.2735668025894,5449.67901773821,655
"2028/2029",2029,121,121,100,78.1709537809284,1939.85899828002,1278
"2029/2030",2030,120,120,100,77.5528254470414,4201.97266571689,941
"2030/2031",2031,120,120,100,61.8751773036288,3710.76866750303,1533
"2031/2032",2032,120,120,100,74.0485928440717,2740.73900810396,1279
"2032/2033",2033,121,121,100,78.2676180648045,4623.92830193671,941
"2033/2034",2034,120,120,100,73.8363077878148,3494.35611265432,1169
"2034/2035",2035,120,120,100,80.2735138897165,5017.4808050124,776
"2035/2036",2036,120,120,100,78.6092075906167,4968.70447777305,870
"2036/2037",2037,121,121,100,77.0368679198277,3188.46544781933,1118
"2037/2038",2038,120,120,100,80.1538607912767,5113.14917832473,789
"2038/2039",2039,120,120,100,73.0571529786075,5343.997841971,906
"2039/2040",2040,120,120,100,73.8253889025227,3885.12450999394,1204
"2040/2041",2041,121,121,100,78.3205520843676,3941.57508929539,1072
"2041/2042",2042,120,120,100,75.8270649057604,8290.81173346564,535
"2042/2043",2043,120,120,100,79.9686305700316,2439.22558587417,1083
"2043/2044",2044,120,120,100,75.8575925703071,4148.14520256687,1070
"2044/2045",2045,121,121,100,82.9465406141144,2839.47647183994,946
"2045/2046",2046,120,120,100,74.3731980957318,2288.4363915408,1247
"2046/2047",2047,120,120,100,79.1300732117434,4691.29238088336,769
"2047/2048",2048,120,120,100,78.4762958713836,5598.29683689121,769
"2048/2049",2049,121,121,100,78.1960083361691,2531.72614360275,1204
"2049/2050",2050,120,120,100,77.5188714543801,2934.29034230765,992
"2050/2051",2051,120,120,100,78.0849989424623,3597.21208442934,1027
"2051/2052",2052,120,120,100,71.6508333796819,5389.59636485996,1055
"2052/2053",2053,121,121,100,76.05895618659,6182.3384947232,776
"2053/2054",2054,120,120,100,74.4333225883374,5304.42829074711,966
"2054/2055",2055,120,120,100,78.512086561318,4193.16933648475,927
"2055/2056",2056,120,120,100,79.5509901186952,4022.8875919194,813
"2056/2057",2057,121,121,100,78.9363543182963,5763.91145539656,767
"2057/2058",2058,120,120,100,67.0638659327769,6173.11119668419,1021
"2058/2059",2059,120,120,100,74.8796467864877,2681.11322925985,1230
"2059/2060",2060,120,120,100,74.9166347808041,4623.21900369553,1032
"2060/2061",2061,121,121,100,74.8933927588059,4154.09344950831,1149
"2061/2062",2062,120,120,100,76.9847819947881,4580.26200827584,921
"2062/2063",2063,120,120,100,73.978755288631,3735.67476494983,1078
"2063/2064",2064,120,120,100,75.7896092481178,5237.38561703404,969
"2064/2065",2065,121,121,100,75.9826371123463,5134.65859900042,964
"2065/2066",2066,120,120,100,72.5788861049277,4160.61195990816,1273
"2066/2067",2067,120,120,100,77.2786933570051,2991.11411307612,1074
"2067/2068",2068,120,120,100,74.7281372823672,4461.3409830695,1128
"2068/2069",2069,121,121,100,75.3339127624204,3758.74036579998,1100
"2069/2070",2070,120,120,100,72.4134902701144,3951.87140954752,1208
"2070/2071",2071,120,120,100,78.4226982755299,3672.54649361223,975
"2071/2072",2072,120,120,100,78.1314700838702,5864.30112506635,750
"2072/2073",2073,121,121,100,75.7090901249558,3671.42245451733,1149
"2073/2074",2074,120,120,100,70.2799112656639,4777.94747371227,1008
"2074/2075",2075,120,120,100,74.7423047140619,3630.96598383505,1159
"2075/2076",2076,120,120,100,78.616139040485,4461.32167560421,1064
"2076/2077",2077,121,121,100,77.1966693036256,3361.30199474655,988
"2077/2078",2078,120,120,100,74.5754948217846,4604.4097113004,908
"2078/2079",2079,120,120,100,79.7246248497768,5652.8679555878,672
"2079/2080",2080,120,120,100,78.6031520912238,5652.21091864444,841
"2080/2081",2081,121,121,100,82.2393639569182,4779.22829384077,876
"2081/2082",2082,120,120,100,75.8416914936188,3890.12773664109,1121
"2082/2083",2083,120,120,100,79.2780832278149,4608.4527554838,884
"2083/2084",2084,120,120,100,72.0768333609285,2786.13841347583,1449
"2084/2085",2085,121,121,100,78.9934818355687,4273.89735536929,941
"2085/2086",2086,120,120,100,74.2828939130177,3903.54406199604,1142
"2086/2087",2087,120,120,100,74.8637744142179,4520.82770276722,969
"2087/2088",2088,120,120,100,79.4911561641766,3872.85348309763,903
"2088/2089",2089,121,121,100,75.6265394618422,3133.98102348018,1211
"2089/2090",2090,120,120,100,77.4993585737921,2702.37087097857,1172
"2090/2091",2091,120,120,100,82.3684492656776,4230.80252467562,825
"2091/2092",2092,120,120,100,81.9584778085082,3575.02524957061,872
"2092/2093",2093,121,121,100,80.0093189248782,5628.62122647651,832
"2093/2094",2094,120,120,100,80.174462001416,5138.52443829272,723
"2094/2095",2095,120,120,100,78.4304506295048,3800.90511920117,878
"2095/2096",2096,120,120,100,76.4251249412519,3946.17885867041,1116
"2096/2097",2097,121,121,100,72.2121606014753,3366.98907106929,1316
"2097/2098",2098,120,120,100,79.8362274507581,3074.60896549653,1039
"2098/2099",2099,120,120,100,73.77025078322,3901.7331595635,1219
"2099/2100",2100,120,120,100,78.5914246959637,4991.15327588655,909
"2100/2101",2101,120,120,100,83.2087625863041,3506.85679587256,931
