"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.200571626426,3378.223309334,1012
"2002/2003",2003,120,120,100,74.0330802329974,4672.37691546792,963
"2003/2004",2004,120,120,100,75.0877356579842,3344.35113003667,1227
"2004/2005",2005,121,121,100,76.9750941907465,3111.69901193777,1123
"2005/2006",2006,120,120,100,73.0539180107241,3575.5978813853,1207
"2006/2007",2007,120,120,100,69.5976519468338,2673.88067578117,1495
"2007/2008",2008,120,120,100,80.819488059106,4193.82835964509,803
"2008/2009",2009,121,121,100,70.5037353239463,2918.97537789121,1447
"2009/2010",2010,120,120,100,80.9153039828686,3805.35128977004,905
"2010/2011",2011,120,120,100,71.9657446650785,5501.49545149843,1001
"2011/2012",2012,120,120,100,82.2983620077002,3696.5980032254,754
"2012/2013",2013,121,121,100,73.3850457315143,3129.32095761935,1279
"2013/2014",2014,120,120,100,68.1681213622524,5450.46932251763,1028
"2014/2015",2015,120,120,100,79.1818072075014,3617.90004213341,916
"2015/2016",2016,120,120,100,76.7230395388692,4293.99357769464,984
"2016/2017",2017,121,121,100,74.2393439571472,3256.9703972782,1284
"2017/2018",2018,120,120,100,78.9446770532927,4260.28751315968,937
"2018/2019",2019,120,120,100,81.1822513878719,6036.04730561667,529
"2019/2020",2020,120,120,100,75.4806057961082,4278.81470214529,1049
"2020/2021",2021,121,121,100,70.8486018805966,2939.15091342595,1302
"2021/2022",2022,120,120,100,81.3541031096902,3866.47454583435,846
"2022/2023",2023,120,120,100,78.5283175267982,5409.85815604893,822
"2023/2024",2024,120,120,100,75.8953437896007,3167.71183015895,1205
"2024/2025",2025,121,121,100,77.1232256769958,5729.86890938971,817
"2025/2026",2026,120,120,100,75.5131277412584,3071.09197785892,1098
"2026/2027",2027,120,120,100,64.8316450949133,5065.90937338513,1292
"2027/2028",2028,120,120,100,82.3046000193012,5314.38689215691,683
"2028/2029",2029,121,121,100,77.2962882106685,1834.10942924488,1286
"2029/2030",2030,120,120,100,77.4433909233171,4115.08914428065,943
"2030/2031",2031,120,120,100,63.115950707615,3630.62104252609,1537
"2031/2032",2032,120,120,100,73.30531018388,2658.87057035719,1277
"2032/2033",2033,121,121,100,77.0903877594251,4561.14168217173,940
"2033/2034",2034,120,120,100,72.1452284174516,3436.86551962886,1185
"2034/2035",2035,120,120,100,77.8386567549624,4909.61837204895,799
"2035/2036",2036,120,120,100,78.6878407969202,4786.52238586196,880
"2036/2037",2037,121,121,100,77.2583387484328,3155.96137435222,1130
"2037/2038",2038,120,120,100,80.4499975493254,4946.28924828302,800
"2038/2039",2039,120,120,100,74.1795965125102,5265.3279682789,906
"2039/2040",2040,120,120,100,71.2336196670512,3873.85480861599,1204
"2040/2041",2041,121,121,100,79.2388855193967,3858.15685245488,1080
"2041/2042",2042,120,120,100,75.4620433823911,8116.94795941235,545
"2042/2043",2043,120,120,100,79.5232972093718,2278.736786352,1076
"2043/2044",2044,120,120,100,74.6539696133723,4067.71171163674,1075
"2044/2045",2045,121,121,100,81.8241601230829,2755.80354777304,965
"2045/2046",2046,120,120,100,73.3931998971948,2272.9249421861,1269
"2046/2047",2047,120,120,100,78.2274201393229,4556.73163829464,790
"2047/2048",2048,120,120,100,77.2779333148119,5586.85054292437,767
"2048/2049",2049,121,121,100,77.2710332879496,2480.93869481515,1226
"2049/2050",2050,120,120,100,75.664197351136,2897.61092465045,983
"2050/2051",2051,120,120,100,76.8784642671526,3532.17676246399,1041
"2051/2052",2052,120,120,100,72.4512700776277,5278.70868329518,1098
"2052/2053",2053,121,121,100,75.8851482125419,6101.93891775515,789
"2053/2054",2054,120,120,100,74.5866845843757,5273.88725395268,975
"2054/2055",2055,120,120,100,79.0747919829346,4151.28698417731,933
"2055/2056",2056,120,120,100,80.1763786497295,3950.86561466381,823
"2056/2057",2057,121,121,100,79.3472243055576,5650.12879128475,776
"2057/2058",2058,120,120,100,67.5261385437043,6139.58742372878,1032
"2058/2059",2059,120,120,100,73.3719381213732,2594.52394627593,1226
"2059/2060",2060,120,120,100,75.4277649611577,4607.55222968245,1038
"2060/2061",2061,121,121,100,72.3857730807022,4043.20352305239,1158
"2061/2062",2062,120,120,100,76.5899448169366,4611.77708609588,947
"2062/2063",2063,120,120,100,73.8098396087653,3696.99907161156,1097
"2063/2064",2064,120,120,100,75.3750992633859,5207.04087700974,969
"2064/2065",2065,121,121,100,75.4748176292987,5080.98874982772,959
"2065/2066",2066,120,120,100,71.2649529905229,4123.31507492624,1268
"2066/2067",2067,120,120,100,76.5159867003458,3011.23024715949,1094
"2067/2068",2068,120,120,100,73.8378326308921,4332.30809154082,1127
"2068/2069",2069,121,121,100,74.3763442945083,3669.20658357628,1098
"2069/2070",2070,120,120,100,71.8152291531069,3983.45043484727,1207
"2070/2071",2071,120,120,100,77.669718494366,3509.8820776646,1003
"2071/2072",2072,120,120,100,79.4000199218972,5803.41391709074,755
"2072/2073",2073,121,121,100,75.5547102174251,3657.81959883217,1161
"2073/2074",2074,120,120,100,69.1977507065658,4748.96953784302,1037
"2074/2075",2075,120,120,100,72.0957121569336,3598.75240689144,1180
"2075/2076",2076,120,120,100,77.7960588380229,4409.1750894729,1073
"2076/2077",2077,121,121,100,76.9378258628749,3347.37050288357,978
"2077/2078",2078,120,120,100,74.5541676875655,4522.58207859844,917
"2078/2079",2079,120,120,100,82.2208197096534,5565.27675875183,691
"2079/2080",2080,120,120,100,79.4185944396904,5494.15891693067,853
"2080/2081",2081,121,121,100,82.5668839320533,4785.09203084279,892
"2081/2082",2082,120,120,100,76.7795709166785,3799.99090845976,1114
"2082/2083",2083,120,120,100,78.1311756936211,4417.88014633115,879
"2083/2084",2084,120,120,100,71.8593096594068,2755.31052911468,1457
"2084/2085",2085,121,121,100,79.6091936622579,4168.69264561497,962
"2085/2086",2086,120,120,100,74.1403681663414,3834.26035599317,1127
"2086/2087",2087,120,120,100,75.9679578314535,4507.39004859701,995
"2087/2088",2088,120,120,100,78.653132954465,3743.36447638273,922
"2088/2089",2089,121,121,100,76.7162360181537,3010.90705392603,1238
"2089/2090",2090,120,120,100,76.5871668821273,2523.63970894087,1177
"2090/2091",2091,120,120,100,79.4764527805546,4154.88270681072,821
"2091/2092",2092,120,120,100,81.2161214978751,3494.45299501996,888
"2092/2093",2093,121,121,100,79.2631691172919,5490.87458727229,824
"2093/2094",2094,120,120,100,81.193274247813,5153.29363472015,739
"2094/2095",2095,120,120,100,78.7929205279706,3596.33424770087,877
"2095/2096",2096,120,120,100,76.457603742987,3834.02030081488,1121
"2096/2097",2097,121,121,100,70.9152249050567,3312.6598991733,1348
"2097/2098",2098,120,120,100,77.1173028340145,3028.7777234586,1044
"2098/2099",2099,120,120,100,72.3413409479781,3869.44134838786,1224
"2099/2100",2100,120,120,100,76.3593057154067,4904.29393635131,937
"2100/2101",2101,120,120,100,82.2046024734536,3363.0442449078,948
