"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.3605663870434,3020.4179892696,1043
"2002/2003",2003,120,120,100,74.6838505947922,4195.36126337324,1022
"2003/2004",2004,120,120,100,74.2022362607642,2983.4798211919,1283
"2004/2005",2005,121,121,100,78.216466598084,2730.45865391215,1185
"2005/2006",2006,120,120,100,74.1270527408847,3183.76485093986,1237
"2006/2007",2007,120,120,100,67.8941388279519,2349.53313353145,1537
"2007/2008",2008,120,120,100,81.4608588047367,3489.20521600341,848
"2008/2009",2009,121,121,100,70.6804779316009,2451.17117025016,1494
"2009/2010",2010,120,120,100,81.078846721436,3140.08934823517,950
"2010/2011",2011,120,120,100,72.0114922389264,4803.88521809422,1048
"2011/2012",2012,120,120,100,83.8072869300802,3192.40865404636,791
"2012/2013",2013,121,121,100,73.0349336838201,2826.3839443085,1329
"2013/2014",2014,120,120,100,68.9766929358516,5015.38096169638,1043
"2014/2015",2015,120,120,100,79.6574048287794,3178.7532825995,957
"2015/2016",2016,120,120,100,76.2601544215197,4042.41843185353,1034
"2016/2017",2017,121,121,100,72.7402399991904,2986.42262529756,1366
"2017/2018",2018,120,120,100,77.6942808011556,3795.60292967351,971
"2018/2019",2019,120,120,100,81.9549729779314,5461.1704704056,585
"2019/2020",2020,120,120,100,75.7990404812176,3715.81317401724,1101
"2020/2021",2021,121,121,100,71.1368221863304,2710.66414585127,1348
"2021/2022",2022,120,120,100,81.9099580737916,3225.00990473968,869
"2022/2023",2023,120,120,100,78.9237521348523,4816.88829423557,839
"2023/2024",2024,120,120,100,76.1181843123582,2806.08286643284,1260
"2024/2025",2025,121,121,100,78.6614639994923,5030.13378720009,860
"2025/2026",2026,120,120,100,74.2652054809923,2802.46887594764,1130
"2026/2027",2027,120,120,100,64.3571762387292,4628.66872499185,1352
"2027/2028",2028,120,120,100,83.0435849738183,4733.95483560371,699
"2028/2029",2029,121,121,100,76.1940463271162,1585.877170166,1384
"2029/2030",2030,120,120,100,76.4450106229906,3718.1864236882,1008
