"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.6315162544414,5453.90123440037,676
"2002/2003",2003,120,120,100,75.0847555076488,6994.02510250034,678
"2003/2004",2004,120,120,100,75.852739464146,5223.39863756992,972
"2004/2005",2005,121,121,100,78.1459404578492,4860.52599765704,810
"2005/2006",2006,120,120,100,74.164182625553,5521.92883496213,909
"2006/2007",2007,120,120,100,71.4636528088271,4150.8705010346,1219
"2007/2008",2008,120,120,100,77.0791384772717,6831.40523373516,560
"2008/2009",2009,121,121,100,72.143971770786,4405.66134580731,1159
"2009/2010",2010,120,120,100,83.4040096318811,6034.4965154333,601
"2010/2011",2011,120,120,100,68.4246958750157,7765.45497963054,722
"2011/2012",2012,120,120,100,84.943875466636,6403.70090415014,531
"2012/2013",2013,121,121,100,75.3248061696465,4924.19297557895,961
"2013/2014",2014,120,120,100,64.6397997973861,7679.74498931516,767
"2014/2015",2015,120,120,100,78.4821474289174,5637.92085810949,587
"2015/2016",2016,120,120,100,74.4376458279046,6446.48767196957,715
"2016/2017",2017,121,121,100,72.6625533609299,4848.44223500497,966
"2017/2018",2018,120,120,100,78.1451830455192,6625.65633568505,649
"2018/2019",2019,120,120,100,76.7100567913972,9049.90777184092,281
"2019/2020",2020,120,120,100,74.8855755238287,6453.78578746296,773
"2020/2021",2021,121,121,100,72.8256129348401,4666.29887519055,988
"2021/2022",2022,120,120,100,81.1979783387592,6274.18574936641,571
"2022/2023",2023,120,120,100,75.833557660183,8177.27897648071,574
"2023/2024",2024,120,120,100,76.2275255507443,5016.87921187887,911
"2024/2025",2025,121,121,100,77.1179384578309,8343.97102652513,542
"2025/2026",2026,120,120,100,74.4365838435556,5067.40845622448,822
"2026/2027",2027,120,120,100,67.2156020101434,6648.67967020092,1016
"2027/2028",2028,120,120,100,77.9165247011797,8103.19164932217,415
"2028/2029",2029,121,121,100,81.6437370514391,3268.56063442281,881
"2029/2030",2030,120,120,100,78.2183871379348,6320.55393327447,662
"2030/2031",2031,120,120,100,60.9994996725732,5182.9109085009,1309
"2031/2032",2032,120,120,100,76.5603839147179,4350.23893679888,1041
"2032/2033",2033,121,121,100,77.3281432030349,6911.95448611584,642
"2033/2034",2034,120,120,100,73.2774246383815,5203.88799762772,861
"2034/2035",2035,120,120,100,76.4006312534598,7445.9406556515,511
"2035/2036",2036,120,120,100,77.2113799566951,7199.40962344175,565
"2036/2037",2037,121,121,100,79.4699379045474,5146.68819132261,836
"2037/2038",2038,120,120,100,76.5932756252587,7626.9015504769,502
"2038/2039",2039,120,120,100,74.0693903032529,7513.20892332448,652
"2039/2040",2040,120,120,100,73.9509153185068,5691.44059232343,847
"2040/2041",2041,121,121,100,78.561416322435,6057.60795150744,725
"2041/2042",2042,120,120,100,71.9302486592951,11282.5701376586,319
"2042/2043",2043,120,120,100,81.265600176866,4031.83863267908,755
"2043/2044",2044,120,120,100,75.7783598919868,6051.69868243532,738
"2044/2045",2045,121,121,100,83.9971391172849,4673.88685130188,591
"2045/2046",2046,120,120,100,77.8762229006725,3625.94159210334,904
"2046/2047",2047,120,120,100,79.1300342400809,7086.1332581169,523
"2047/2048",2048,120,120,100,75.3004548294339,8314.71184295136,563
"2048/2049",2049,121,121,100,78.9363561854079,4158.9650959149,915
"2049/2050",2050,120,120,100,78.0801918012148,4753.78707005084,712
"2050/2051",2051,120,120,100,78.1353160236749,5528.08107732097,739
"2051/2052",2052,120,120,100,71.0591440395383,7325.04448002111,798
"2052/2053",2053,121,121,100,73.0939487201313,8751.87076665601,486
"2053/2054",2054,120,120,100,73.9223447603681,7630.74519621208,670
"2054/2055",2055,120,120,100,75.8989751941881,6329.64893180504,635
"2055/2056",2056,120,120,100,80.4451217927426,6125.78469162527,494
"2056/2057",2057,121,121,100,76.6638523864949,8535.81425543968,540
"2057/2058",2058,120,120,100,68.0580351303715,8633.69754436659,808
"2058/2059",2059,120,120,100,78.4148469273869,4195.09421998356,871
"2059/2060",2060,120,120,100,73.6179899394892,6961.27033947967,758
"2060/2061",2061,121,121,100,72.078702248662,5964.94642017595,896
"2061/2062",2062,120,120,100,74.4439751039936,6889.37065782025,742
"2062/2063",2063,120,120,100,75.7032246582812,5692.02171399258,807
"2063/2064",2064,120,120,100,75.4578254070575,7342.02421438321,703
