"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.9095449574824,5649.07257255691,580
"2002/2003",2003,120,120,100,72.7703776063841,7420.56950952903,633
"2003/2004",2004,120,120,100,77.326785176297,5587.98407731752,917
"2004/2005",2005,121,121,100,78.6610333467667,5128.62368635065,768
"2005/2006",2006,120,120,100,75.7854502329149,5622.88751529122,865
"2006/2007",2007,120,120,100,70.7418882369518,4440.1027805598,1139
"2007/2008",2008,120,120,100,78.9902839378093,6977.30829646613,511
"2008/2009",2009,121,121,100,72.6792581383208,4602.97411745723,1088
"2009/2010",2010,120,120,100,81.9536733245833,6234.90059413505,519
"2010/2011",2011,120,120,100,67.5885808627983,8134.79603992554,712
"2011/2012",2012,120,120,100,83.7257852884088,6612.2821831567,472
"2012/2013",2013,121,121,100,73.858314062486,5108.4929768818,920
"2013/2014",2014,120,120,100,66.1211041734532,8120.88303966809,712
"2014/2015",2015,120,120,100,76.8785404605389,5983.38940382074,535
"2015/2016",2016,120,120,100,75.9233596104734,6844.87891861936,663
"2016/2017",2017,121,121,100,73.8922302828944,5274.10619572713,925
"2017/2018",2018,120,120,100,77.6715715520211,7025.62297618203,607
"2018/2019",2019,120,120,100,77.4899021928734,9402.57327985251,248
"2019/2020",2020,120,120,100,73.7495167366758,6706.75494777132,751
"2020/2021",2021,121,121,100,72.2178434814332,4855.55090068025,921
"2021/2022",2022,120,120,100,82.0211395146912,6367.9010140209,491
"2022/2023",2023,120,120,100,78.1291833023733,8356.45884853788,509
"2023/2024",2024,120,120,100,75.2125139317213,5158.72437952366,845
"2024/2025",2025,121,121,100,76.8230977808812,8643.6119063131,515
"2025/2026",2026,120,120,100,76.140925801747,5596.91985171568,815
"2026/2027",2027,120,120,100,68.6850885321546,6915.33527978347,961
"2027/2028",2028,120,120,100,76.7011831507193,8603.77988689765,349
"2028/2029",2029,121,121,100,83.2131418316326,3415.62715471652,821
"2029/2030",2030,120,120,100,76.5013397141915,6682.65694708144,613
"2030/2031",2031,120,120,100,62.3955752182073,5505.69077674183,1277
"2031/2032",2032,120,120,100,77.0152414766394,4488.18865609751,985
"2032/2033",2033,121,121,100,75.2013009925845,7243.68756502983,620
"2033/2034",2034,120,120,100,74.8039218017029,5497.85093418509,823
"2034/2035",2035,120,120,100,75.4991929103276,7610.85245436011,450
"2035/2036",2036,120,120,100,75.938585260099,7670.13422375778,529
"2036/2037",2037,121,121,100,79.6872135671083,5502.32587662991,800
"2037/2038",2038,120,120,100,78.1225781557964,7838.99851358263,452
"2038/2039",2039,120,120,100,72.1427125152818,7860.65214870684,602
"2039/2040",2040,120,120,100,74.1627610058822,6043.07069411967,814
"2040/2041",2041,121,121,100,77.8756716338789,6265.93161236821,662
"2041/2042",2042,120,120,100,72.1152650304007,11653.4838431966,269
"2042/2043",2043,120,120,100,81.1092210914767,4179.87502128398,710
"2043/2044",2044,120,120,100,75.8652354916176,6470.98734378815,727
"2044/2045",2045,121,121,100,83.4934752249364,4950.07640862651,529
"2045/2046",2046,120,120,100,78.3277611070398,3838.96702278592,863
"2046/2047",2047,120,120,100,78.4273253763713,7362.71002758853,477
"2047/2048",2048,120,120,100,73.9539766878852,8560.38914294401,519
"2048/2049",2049,121,121,100,78.635099795626,4374.81680781022,834
"2049/2050",2050,120,120,100,78.5053856742088,5021.63070768025,675
