"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.0895386648695,2928.0918684432,1116
"2002/2003",2003,120,120,100,73.713343820936,4127.29067697872,1041
"2003/2004",2004,120,120,100,73.6415789236958,2933.35634080795,1326
"2004/2005",2005,121,121,100,75.9496447209885,2667.13719048968,1239
"2005/2006",2006,120,120,100,72.3446556250916,3194.82700246561,1285
"2006/2007",2007,120,120,100,67.7784570813075,2345.54127297527,1590
"2007/2008",2008,120,120,100,81.3304068592835,3636.18367609312,885
"2008/2009",2009,121,121,100,69.1462177559986,2480.77603023895,1515
"2009/2010",2010,120,120,100,81.0287611570175,3151.80550939782,973
"2010/2011",2011,120,120,100,69.9209204740596,4829.82886709983,1060
"2011/2012",2012,120,120,100,82.9203628510786,3202.30853786296,831
"2012/2013",2013,121,121,100,71.6749956628887,2745.4506453115,1325
"2013/2014",2014,120,120,100,67.2885737789277,4933.65687633457,1114
"2014/2015",2015,120,120,100,80.7573209447353,3051.62871235935,1034
"2015/2016",2016,120,120,100,75.6075777595922,3824.77854740317,1057
"2016/2017",2017,121,121,100,72.8770420011074,2775.68947112083,1380
"2017/2018",2018,120,120,100,78.1131772207896,3696.97169689753,1023
"2018/2019",2019,120,120,100,81.4968058374216,5302.14891932753,597
"2019/2020",2020,120,120,100,73.9773373685175,3730.18224331294,1106
"2020/2021",2021,121,121,100,68.7435007049958,2686.51962600392,1424
"2021/2022",2022,120,120,100,79.6855995004757,3332.57406469947,918
"2022/2023",2023,120,120,100,76.4634721922471,4881.19754285086,908
"2023/2024",2024,120,120,100,73.966548891216,2820.82728604716,1284
"2024/2025",2025,121,121,100,78.2524289022144,5076.26972389896,886
"2025/2026",2026,120,120,100,72.5990352239114,2550.43403715361,1210
"2026/2027",2027,120,120,100,64.06459892372,4624.4124890198,1381
"2027/2028",2028,120,120,100,82.5438254578908,4560.88133711531,738
"2028/2029",2029,121,121,100,75.7403326776371,1518.76638584468,1405
"2029/2030",2030,120,120,100,76.0817474889745,3579.78665059479,1028
"2030/2031",2031,120,120,100,60.12401253702,3262.36824841984,1622
"2031/2032",2032,120,120,100,73.4658309159049,2337.8973576529,1339
"2032/2033",2033,121,121,100,78.0803527808662,3989.60683183023,1029
"2033/2034",2034,120,120,100,72.4963834456707,2895.88789232355,1279
"2034/2035",2035,120,120,100,78.4916990418378,4377.67689967132,895
"2035/2036",2036,120,120,100,78.2322797171737,4222.84087344492,978
"2036/2037",2037,121,121,100,75.8536231012295,2684.52741940343,1200
"2037/2038",2038,120,120,100,79.1252729771295,4379.94220888801,890
"2038/2039",2039,120,120,100,73.1201610724811,4658.45569216739,992
"2039/2040",2040,120,120,100,72.7275158952452,3305.29773170734,1258
"2040/2041",2041,121,121,100,77.0225877600842,3382.37779121799,1168
"2041/2042",2042,120,120,100,77.3075323412404,7230.21340454975,591
"2042/2043",2043,120,120,100,78.1741525515254,1886.49712049402,1152
"2043/2044",2044,120,120,100,74.7032436144327,3496.82811991638,1152
"2044/2045",2045,121,121,100,82.015272037951,2205.57632067427,1039
"2045/2046",2046,120,120,100,73.6788349679528,1850.77726996178,1348
"2046/2047",2047,120,120,100,79.0802206487951,3927.19258918054,857
"2047/2048",2048,120,120,100,76.2325810996572,4948.91647098586,794
"2048/2049",2049,121,121,100,75.6061213027024,2173.82670277916,1317
"2049/2050",2050,120,120,100,75.5690879792855,2427.44650268694,1085
"2050/2051",2051,120,120,100,76.1578219500216,3054.17095605377,1132
"2051/2052",2052,120,120,100,69.6856303494505,4688.79455442913,1168
"2052/2053",2053,121,121,100,76.8216980759335,5465.84317822848,878
"2053/2054",2054,120,120,100,74.9656793008726,4644.54152985942,1047
"2054/2055",2055,120,120,100,75.7420290585351,3606.08919740375,1016
"2055/2056",2056,120,120,100,80.1979634780982,3432.55635026982,915
"2056/2057",2057,121,121,100,79.2175381293673,5039.03732555965,833
"2057/2058",2058,120,120,100,67.1735888738267,5621.02528008074,1102
"2058/2059",2059,120,120,100,72.5713049360311,2210.18161451165,1338
"2059/2060",2060,120,120,100,73.3269421418863,4093.01493669348,1092
"2060/2061",2061,121,121,100,69.814164525279,3570.70155990496,1253
"2061/2062",2062,120,120,100,76.1326061402733,3839.26803704957,1032
"2062/2063",2063,120,120,100,73.7421670731428,3259.68555962434,1179
"2063/2064",2064,120,120,100,74.2095767477022,4773.75337349065,1049
"2064/2065",2065,121,121,100,75.6514834418722,4484.18175288336,1041
"2065/2066",2066,120,120,100,71.7762754935247,3645.34549702797,1365
"2066/2067",2067,120,120,100,73.7347797843122,2589.18644417962,1169
"2067/2068",2068,120,120,100,71.9105492813378,3963.98011768237,1207
"2068/2069",2069,121,121,100,73.0256709310916,3250.09438106185,1204
"2069/2070",2070,120,120,100,69.821296898318,3462.59111016802,1275
"2070/2071",2071,120,120,100,78.4514317879912,2943.29265406448,1078
"2071/2072",2072,120,120,100,78.2687718239777,5184.07453978574,822
"2072/2073",2073,121,121,100,74.298217945292,3184.35218131915,1204
"2073/2074",2074,120,120,100,69.0231165180721,4231.57235151343,1130
"2074/2075",2075,120,120,100,73.6355847673512,3084.43491513468,1279
"2075/2076",2076,120,120,100,77.2720650133415,3912.66842732858,1159
"2076/2077",2077,121,121,100,75.0674188621651,2885.75622434635,1072
"2077/2078",2078,120,120,100,74.2841252930448,4074.11108144745,985
"2078/2079",2079,120,120,100,80.0953434330149,4893.52406386286,753
"2079/2080",2080,120,120,100,78.6932655926812,4753.62938747276,915
"2080/2081",2081,121,121,100,82.2455844653468,4145.58388841059,936
"2081/2082",2082,120,120,100,76.1872448873037,3224.5192718301,1184
"2082/2083",2083,120,120,100,78.0994393432393,3797.56902244687,952
"2083/2084",2084,120,120,100,70.2671108860941,2309.92253477871,1554
"2084/2085",2085,121,121,100,79.7082280694649,3550.83137400355,1061
"2085/2086",2086,120,120,100,72.9972942594122,3382.77707934938,1188
"2086/2087",2087,120,120,100,73.5002289134572,4042.00315437373,1073
"2087/2088",2088,120,120,100,77.97699515356,3268.94088794757,1007
"2088/2089",2089,121,121,100,75.3486975817759,2637.0706474781,1353
"2089/2090",2090,120,120,100,75.9960575593032,2180.10140572954,1276
"2090/2091",2091,120,120,100,80.3779604728679,3546.73869343847,899
"2091/2092",2092,120,120,100,80.0039450672866,2979.60381535999,1007
"2092/2093",2093,121,121,100,79.6920773331676,4891.72383639589,902
"2093/2094",2094,120,120,100,79.5415993374791,4592.16261954047,830
"2094/2095",2095,120,120,100,78.6378296103285,3056.54193451162,989
"2095/2096",2096,120,120,100,76.7634925598595,3375.70362231974,1203
"2096/2097",2097,121,121,100,72.4731607366666,2845.47877974529,1419
"2097/2098",2098,120,120,100,75.66634868652,2609.06168716121,1165
"2098/2099",2099,120,120,100,70.2773453869031,3357.77115002275,1279
"2099/2100",2100,120,120,100,76.6503624209963,4142.50103906356,1031
"2100/2101",2101,120,120,100,81.005261174394,2806.77974153217,1022
