"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,73.8456317972102,1714.79542777239,1574
"2002/2003",2003,120,120,100,70.3934305290006,2698.18474595442,1428
"2003/2004",2004,120,120,100,67.6139172121305,1881.36131272253,1686
"2004/2005",2005,121,121,100,70.1585020068202,1624.27552182821,1660
"2005/2006",2006,120,120,100,66.6711669506,2053.48673333917,1685
"2006/2007",2007,120,120,100,61.1145481445668,1548.39560873655,1910
"2007/2008",2008,120,120,100,77.1596867540967,1875.2207460035,1368
"2008/2009",2009,121,121,100,63.2725452785298,1564.33674269996,1895
"2009/2010",2010,120,120,100,77.0823694657799,1644.69193619618,1424
"2010/2011",2011,120,120,100,68.6533527711404,3247.4477793675,1473
"2011/2012",2012,120,120,100,79.3567384229289,1582.17896278761,1208
"2012/2013",2013,121,121,100,67.0045282893345,1729.24987066351,1744
"2013/2014",2014,120,120,100,63.1241650757299,3522.37427023542,1435
"2014/2015",2015,120,120,100,74.6512464303767,1875.30158944544,1507
"2015/2016",2016,120,120,100,69.8466003293779,2637.82192494802,1525
"2016/2017",2017,121,121,100,64.4948052831774,1883.63410482206,1843
"2017/2018",2018,120,120,100,73.2221321650743,2296.8940830878,1388
"2018/2019",2019,120,120,100,78.3289947422541,3325.04241993418,1079
"2019/2020",2020,120,120,100,70.3321378557339,2295.28422527621,1547
"2020/2021",2021,121,121,100,62.1897035971497,1741.55836357665,1792
"2021/2022",2022,120,120,100,74.809095034323,1737.11335919378,1374
"2022/2023",2023,120,120,100,74.5400863159512,2957.65403787047,1311
"2023/2024",2024,120,120,100,68.4074054682214,1782.00560380053,1717
"2024/2025",2025,121,121,100,72.3970352071942,3327.34878676175,1356
"2025/2026",2026,120,120,100,68.6879464826789,1469.79603830143,1561
"2026/2027",2027,120,120,100,62.7820820543957,3526.21845418913,1758
"2027/2028",2028,120,120,100,78.741109373188,2809.02325645764,1207
"2028/2029",2029,121,121,100,68.431643037386,790.124991061632,1902
"2029/2030",2030,120,120,100,70.5926151789586,2317.70852096169,1503
"2030/2031",2031,120,120,100,56.0522445499914,2328.92041778634,1937
"2031/2032",2032,120,120,100,67.7083230479552,1427.75647995109,1785
"2032/2033",2033,121,121,100,72.8770082098627,2360.63026101864,1493
"2033/2034",2034,120,120,100,66.4465760028925,1781.80946535734,1734
"2034/2035",2035,120,120,100,73.6471582525428,2561.52695676335,1407
"2035/2036",2036,120,120,100,71.7669643872741,2751.14702895423,1432
"2036/2037",2037,121,121,100,71.7324263347118,1582.12676992128,1619
"2037/2038",2038,120,120,100,76.4608681385016,2631.63934418233,1374
"2038/2039",2039,120,120,100,71.7351017049805,3212.25656287372,1474
"2039/2040",2040,120,120,100,64.8255210220686,2080.73699915921,1734
"2040/2041",2041,121,121,100,72.4913664373034,2077.50662204577,1592
"2041/2042",2042,120,120,100,77.2271119577017,4948.72983159125,1009
"2042/2043",2043,120,120,100,71.7012549987321,887.318500193767,1635
"2043/2044",2044,120,120,100,70.684546850096,2307.41411276767,1591
"2044/2045",2045,121,121,100,74.9044051896744,1147.68988677347,1520
"2045/2046",2046,120,120,100,64.8622692636372,1028.3457810916,1865
"2046/2047",2047,120,120,100,74.9347602736934,2255.15896665957,1292
"2047/2048",2048,120,120,100,74.514126689799,3074.2987912898,1254
"2048/2049",2049,121,121,100,68.4399637420456,1264.77050150651,1744
"2049/2050",2050,120,120,100,68.567844969034,1370.74801404495,1613
"2050/2051",2051,120,120,100,69.8771840862346,1849.01044276124,1586
"2051/2052",2052,120,120,100,68.2168495171491,3420.27501651645,1516
"2052/2053",2053,121,121,100,73.9081152341241,3707.88445433462,1375
"2053/2054",2054,120,120,100,70.3864278647761,3118.67287073378,1440
"2054/2055",2055,120,120,100,72.7487152462181,2255.89840249857,1487
"2055/2056",2056,120,120,100,74.4509597165961,2038.96003996022,1457
"2056/2057",2057,121,121,100,75.3030600034535,3130.37393723056,1277
"2057/2058",2058,120,120,100,66.6956550225323,3694.36829555128,1500
"2058/2059",2059,120,120,100,63.0724496073481,1376.81552406214,1777
"2059/2060",2060,120,120,100,69.0812008354096,2446.46402971912,1505
"2060/2061",2061,121,121,100,68.5698746900016,2502.10982664488,1620
"2061/2062",2062,120,120,100,73.2578774862168,2092.64825351909,1386
