"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.1602464808124,4020.24016673798,983
"2002/2003",2003,120,120,100,74.6335075085989,4840.977313108,887
"2003/2004",2004,120,120,100,74.0894002856365,2903.90676166432,1279
"2004/2005",2005,121,121,100,74.5257690310509,2682.23315231549,1247
"2005/2006",2006,120,120,100,79.7799769552317,3273.04564628954,1085
"2006/2007",2007,120,120,100,68.139779230728,2717.7092506531,1494
"2007/2008",2008,120,120,100,82.5102431223891,3923.03656694811,680
"2008/2009",2009,121,121,100,67.5815493098127,1990.30731098284,1632
"2009/2010",2010,120,120,100,80.5823677727852,3148.9079741647,932
"2010/2011",2011,120,120,100,73.5215154457214,4769.57478895772,1006
"2011/2012",2012,120,120,100,78.6181139550376,4272.83929563838,775
"2012/2013",2013,121,121,100,74.608336855207,2964.71649395116,1255
"2013/2014",2014,120,120,100,79.2420215491175,3853.03459864622,938
"2014/2015",2015,120,120,100,77.2956862357314,2575.32005454565,1108
"2015/2016",2016,120,120,100,75.9167213001201,4635.07410242199,980
"2016/2017",2017,121,121,100,77.6373157962025,2487.77248521999,1296
"2017/2018",2018,120,120,100,77.750910109628,4583.51952366368,896
"2018/2019",2019,120,120,100,82.7427421026232,4950.20798033418,557
"2019/2020",2020,120,120,100,77.8599795875639,3213.82803690771,1040
"2020/2021",2021,121,121,100,73.6351523178732,3827.54699873412,1232
"2021/2022",2022,120,120,100,78.0809405116011,2876.60120884445,964
"2022/2023",2023,120,120,100,73.9167988556828,5257.07933071675,813
"2023/2024",2024,120,120,100,77.3458630757568,2465.12479598634,1242
"2024/2025",2025,121,121,100,77.7886554923057,5585.35973689775,825
"2025/2026",2026,120,120,100,78.3192711357933,4378.45968821528,1033
"2026/2027",2027,120,120,100,66.2667591943841,2676.58445002418,1458
"2027/2028",2028,120,120,100,78.268582832769,6198.31035161554,641
"2028/2029",2029,121,121,100,75.9984848126569,1200.7315998429,1400
"2029/2030",2030,120,120,100,75.2658425851328,4090.23746829387,956
"2030/2031",2031,120,120,100,64.5321631629758,3606.36050759186,1605
"2031/2032",2032,120,120,100,73.2182608012472,1857.21744828904,1365
"2032/2033",2033,121,121,100,81.6631027430535,4302.54218786373,853
"2033/2034",2034,120,120,100,72.318715326322,2816.60648615612,1286
"2034/2035",2035,120,120,100,78.0701521558244,3436.0010486485,862
"2035/2036",2036,120,120,100,75.4615986269205,4720.31330065336,934
"2036/2037",2037,121,121,100,77.2859453018182,3679.03929935745,1007
"2037/2038",2038,120,120,100,80.6877476410527,3414.40267723962,834
"2038/2039",2039,120,120,100,82.0659642984519,3387.44759359444,938
"2039/2040",2040,120,120,100,75.7145159187539,3742.2701490405,1149
"2040/2041",2041,121,121,100,75.0217157614452,3935.76356566558,1092
"2041/2042",2042,120,120,100,77.7721725345236,6117.95910256635,592
"2042/2043",2043,120,120,100,80.4794931574424,4553.39252464287,951
"2043/2044",2044,120,120,100,75.3562066454324,2891.40744536556,1213
"2044/2045",2045,121,121,100,82.7165667817753,3663.15283959638,865
"2045/2046",2046,120,120,100,74.7807032595028,1452.22862735484,1354
"2046/2047",2047,120,120,100,80.1227110542841,3684.25917026959,844
"2047/2048",2048,120,120,100,78.0644677446689,4851.73877300182,836
"2048/2049",2049,121,121,100,77.5212123722677,2761.10304569826,1131
"2049/2050",2050,120,120,100,77.6079254288725,2600.68880608398,1097
"2050/2051",2051,120,120,100,79.0315918627412,1669.41353947157,1101
"2051/2052",2052,120,120,100,73.6426660039706,4033.01665034331,1102
"2052/2053",2053,121,121,100,76.2587552525511,5836.63780980185,810
"2053/2054",2054,120,120,100,72.8148130762274,5097.54695031047,1021
"2054/2055",2055,120,120,100,80.3712262855333,3888.74804392457,894
"2055/2056",2056,120,120,100,82.5818285566311,2890.37988577923,928
"2056/2057",2057,121,121,100,75.9002781063655,5536.1838090457,812
"2057/2058",2058,120,120,100,78.005154079141,3885.63410383789,1011
"2058/2059",2059,120,120,100,77.1334171187555,2876.66619156208,1188
"2059/2060",2060,120,120,100,76.2914493679536,2597.16009187046,1144
"2060/2061",2061,121,121,100,70.4445333681642,3517.144771202,1217
"2061/2062",2062,120,120,100,81.4569177849171,5121.14853681438,761
"2062/2063",2063,120,120,100,75.9336745658147,2821.99677717825,1187
"2063/2064",2064,120,120,100,73.9301702366365,4965.64219697751,1022
"2064/2065",2065,121,121,100,80.0107315380283,3328.33570195222,1034
"2065/2066",2066,120,120,100,74.0085491359778,3379.44674662407,1250
"2066/2067",2067,120,120,100,78.3259321296755,3336.1080625602,1019
"2067/2068",2068,120,120,100,72.0381907619312,2116.6621976723,1335
"2068/2069",2069,121,121,100,75.8243938772766,4295.9199351077,1068
"2069/2070",2070,120,120,100,75.0422184590225,2802.84148941049,1208
"2070/2071",2071,120,120,100,76.0303431807633,3768.21787214465,1115
"2071/2072",2072,120,120,100,79.3031743207766,5516.70167967351,681
"2072/2073",2073,121,121,100,73.9485836062622,2812.39831007412,1367
"2073/2074",2074,120,120,100,81.4649959052076,4002.30189164495,862
"2074/2075",2075,120,120,100,74.4029424383916,2839.47286419943,1153
"2075/2076",2076,120,120,100,75.1802044375854,4161.7416684553,1114
"2076/2077",2077,121,121,100,78.614991983939,4496.39972940646,925
"2077/2078",2078,120,120,100,77.3587167849873,3332.23830397427,981
"2078/2079",2079,120,120,100,82.1892592523891,3722.21989117749,713
"2079/2080",2080,120,120,100,76.7326808546677,5067.52973865438,867
"2080/2081",2081,121,121,100,78.8588580241922,4776.9260875266,896
"2081/2082",2082,120,120,100,79.0136125187382,2582.34700145107,1073
"2082/2083",2083,120,120,100,79.0220621763383,4099.37086669635,929
"2083/2084",2084,120,120,100,73.2741247328522,3133.73147202935,1348
"2084/2085",2085,121,121,100,79.4077835392036,3387.73521726951,988
"2085/2086",2086,120,120,100,74.3392788456513,3228.7307386538,1194
"2086/2087",2087,120,120,100,77.8465994466296,3310.95203188714,1028
"2087/2088",2088,120,120,100,83.1581584883315,3350.7099489104,811
"2088/2089",2089,121,121,100,77.999416100185,2479.60890090279,1172
"2089/2090",2090,120,120,100,71.4534815697371,3417.88788209762,1250
"2090/2091",2091,120,120,100,81.2569346119599,3232.12699786946,828
"2091/2092",2092,120,120,100,79.571577840039,3890.38550383504,845
"2092/2093",2093,121,121,100,83.7788089487585,3279.65963883139,863
"2093/2094",2094,120,120,100,82.2138878700862,5089.4941137759,694
"2094/2095",2095,120,120,100,78.8408475567685,3878.06617710087,940
"2095/2096",2096,120,120,100,77.0104995523579,2765.85397139937,1181
"2096/2097",2097,121,121,100,77.714890133595,2870.89284862299,1198
"2097/2098",2098,120,120,100,73.3255846158609,4528.00189989526,1114
"2098/2099",2099,120,120,100,73.6118201962418,2954.22741926461,1228
"2099/2100",2100,120,120,100,74.9685576296833,4308.37438169867,1014
