"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.361225346465,4237.71688485143,815
"2002/2003",2003,120,120,100,75.3017273637281,5206.94471181132,781
"2003/2004",2004,120,120,100,73.0070933589004,3189.41707948365,1136
"2004/2005",2005,121,121,100,76.8517670955814,2798.01967988184,1042
"2005/2006",2006,120,120,100,81.2875198907158,3412.83158694726,968
"2006/2007",2007,120,120,100,69.8769366675792,2886.26246313314,1343
"2007/2008",2008,120,120,100,84.5450762090811,4203.2281537599,581
"2008/2009",2009,121,121,100,69.1148836892656,2079.44022115308,1548
"2009/2010",2010,120,120,100,83.0248847185735,3235.06219133671,752
"2010/2011",2011,120,120,100,76.052779699233,4987.97047856438,901
"2011/2012",2012,120,120,100,82.2517515052912,4433.9318577128,660
"2012/2013",2013,121,121,100,73.4872257176055,3154.56861139077,1124
"2013/2014",2014,120,120,100,78.2813370359574,4153.28338749008,825
"2014/2015",2015,120,120,100,78.110621701205,2731.92164647183,976
"2015/2016",2016,120,120,100,78.0430554802795,4977.93326118751,823
"2016/2017",2017,121,121,100,77.9569727844739,2620.70829100709,1141
"2017/2018",2018,120,120,100,77.5521489507294,4867.55221125879,748
"2018/2019",2019,120,120,100,81.5646302091454,5358.34665199602,435
"2019/2020",2020,120,120,100,78.4886215735451,3466.66761243949,929
"2020/2021",2021,121,121,100,75.2456856969884,4011.24799833354,1124
"2021/2022",2022,120,120,100,79.1465889261976,2897.54109530943,841
"2022/2023",2023,120,120,100,76.0210305251853,5471.30956523004,670
"2023/2024",2024,120,120,100,78.0978513585146,2541.29320731526,1059
"2024/2025",2025,121,121,100,78.4811242059268,5869.200015296,628
"2025/2026",2026,120,120,100,76.9155419038857,4838.48900535097,911
"2026/2027",2027,120,120,100,69.1019610287644,2911.56436488684,1340
"2027/2028",2028,120,120,100,79.2596794866072,6573.25192962191,509
"2028/2029",2029,121,121,100,77.4972779425534,1199.62951908773,1270
"2029/2030",2030,120,120,100,77.3689739687738,4439.86282553291,831
"2030/2031",2031,120,120,100,64.855988841115,3902.69307491253,1504
"2031/2032",2032,120,120,100,75.8448490398073,2008.26075137919,1217
"2032/2033",2033,121,121,100,82.9549804838116,4529.84817117476,718
"2033/2034",2034,120,120,100,74.0305966993692,2949.37796634994,1134
"2034/2035",2035,120,120,100,78.6663219448501,3655.18674624292,683
"2035/2036",2036,120,120,100,76.6445663019495,5206.74441398331,843
"2036/2037",2037,121,121,100,78.3897910932619,3874.15472712438,857
"2037/2038",2038,120,120,100,82.6429855269553,3599.21579750534,709
"2038/2039",2039,120,120,100,82.9732524770116,3531.52935473993,766
"2039/2040",2040,120,120,100,75.0165579457307,3878.77236073045,992
"2040/2041",2041,121,121,100,75.0581422623936,4151.14178695064,921
"2041/2042",2042,120,120,100,78.3688600304376,6468.3005528613,477
"2042/2043",2043,120,120,100,80.3919534568713,4701.54468432302,793
"2043/2044",2044,120,120,100,75.0152356080225,3154.497116121,1090
"2044/2045",2045,121,121,100,84.6662372286883,3805.73222816875,691
"2045/2046",2046,120,120,100,76.6996529552544,1528.79465293139,1187
