"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.7433787513355,4647.01338898667,988
"2002/2003",2003,120,120,100,70.6206870838656,5695.32308191502,925
"2003/2004",2004,120,120,100,71.8504501390618,3776.67280611681,1298
"2004/2005",2005,121,121,100,73.5023123483603,3348.57946853564,1263
"2005/2006",2006,120,120,100,77.4418664256766,4110.45449092594,1106
"2006/2007",2007,120,120,100,68.0915009134345,3485.56549429201,1496
"2007/2008",2008,120,120,100,80.0046081220619,4804.85292284167,738
"2008/2009",2009,121,121,100,67.6894709313981,2544.04166339332,1617
"2009/2010",2010,120,120,100,81.238124470036,3674.6460522401,977
"2010/2011",2011,120,120,100,72.5218048229437,5789.49884811521,1031
"2011/2012",2012,120,120,100,78.9197079520677,5014.10796347784,819
"2012/2013",2013,121,121,100,73.0052183815794,3569.2506040032,1284
"2013/2014",2014,120,120,100,74.2702972375803,4884.96166895924,993
"2014/2015",2015,120,120,100,75.3125731936104,3220.50696597679,1157
"2015/2016",2016,120,120,100,71.8920855905787,5697.97512417077,1027
"2016/2017",2017,121,121,100,75.2203054262643,3019.80883770657,1274
"2017/2018",2018,120,120,100,75.4797589564103,5663.85215517075,949
"2018/2019",2019,120,120,100,78.9294996637832,5708.15564621461,619
"2019/2020",2020,120,120,100,75.2604443214568,4119.97638368304,1081
"2020/2021",2021,121,121,100,70.7375796212323,4530.85114720766,1274
"2021/2022",2022,120,120,100,77.8828287596766,3279.86353079695,968
"2022/2023",2023,120,120,100,74.5030395515414,5981.01988398633,865
"2023/2024",2024,120,120,100,76.9551824288937,3209.08780959342,1305
"2024/2025",2025,121,121,100,72.100855187447,6560.85957622807,896
"2025/2026",2026,120,120,100,73.5841269311541,5196.93875715346,1026
"2026/2027",2027,120,120,100,64.9600617303713,3561.17115351581,1489
"2027/2028",2028,120,120,100,72.238574322826,7218.52266115067,715
"2028/2029",2029,121,121,100,76.7791927394746,1537.32674496528,1408
"2029/2030",2030,120,120,100,73.3647715853112,4855.02948145219,1014
"2030/2031",2031,120,120,100,61.4087523207127,4313.56140228291,1579
"2031/2032",2032,120,120,100,70.5544916151825,2582.35322697461,1392
"2032/2033",2033,121,121,100,80.1809851485009,5107.27701793495,909
"2033/2034",2034,120,120,100,71.0980443915123,3389.65728002088,1308
"2034/2035",2035,120,120,100,76.9211419275694,4081.21031342121,912
"2035/2036",2036,120,120,100,74.6499026723159,5497.09538428416,956
"2036/2037",2037,121,121,100,73.7357317837755,4586.453715852,1060
"2037/2038",2038,120,120,100,80.2241878875507,4044.76989578875,868
"2038/2039",2039,120,120,100,82.7009283142006,4381.30614286475,979
"2039/2040",2040,120,120,100,73.7260464349024,4637.63396391552,1178
"2040/2041",2041,121,121,100,71.1144167592388,4867.54103094293,1155
"2041/2042",2042,120,120,100,75.1437295759333,7123.26845697826,694
"2042/2043",2043,120,120,100,78.3056642579422,5078.75587375369,993
"2043/2044",2044,120,120,100,73.5380129935593,3806.18460961618,1226
"2044/2045",2045,121,121,100,80.5552010185029,4414.06222921936,932
"2045/2046",2046,120,120,100,75.846549059188,1794.9652038957,1357
"2046/2047",2047,120,120,100,78.6864703264919,4461.90553081082,871
"2047/2048",2048,120,120,100,72.0035932513183,5899.90689142048,873
"2048/2049",2049,121,121,100,77.8140608407894,3447.02072146954,1209
"2049/2050",2050,120,120,100,76.4174087257352,3355.05176853156,1099
"2050/2051",2051,120,120,100,79.0215073096642,2308.26978781773,1154
"2051/2052",2052,120,120,100,70.3717366826868,5060.71312382678,1177
"2052/2053",2053,121,121,100,69.9431135237046,6725.23487149552,867
"2053/2054",2054,120,120,100,67.8842390454238,6255.98691425379,1068
"2054/2055",2055,120,120,100,77.8063241857344,4751.2752329642,968
"2055/2056",2056,120,120,100,80.6304425104208,3513.89848927548,994
"2056/2057",2057,121,121,100,70.795798660205,6346.8443213203,877
"2057/2058",2058,120,120,100,77.2396067793625,4640.71728092618,1021
"2058/2059",2059,120,120,100,76.360263599564,3656.13314452441,1185
"2059/2060",2060,120,120,100,75.1306114417303,3494.93357195705,1173
"2060/2061",2061,121,121,100,69.422838983508,4424.8052317067,1230
"2061/2062",2062,120,120,100,75.0807015622422,6225.62761894055,803
"2062/2063",2063,120,120,100,73.7671108439999,3552.52420283202,1226
"2063/2064",2064,120,120,100,72.4294680085923,5629.84800466849,1050
"2064/2065",2065,121,121,100,77.6686951660877,4347.94258238608,1094
"2065/2066",2066,120,120,100,70.2284034341765,4350.78421191126,1272
"2066/2067",2067,120,120,100,77.8440048038383,4181.64309124555,1071
"2067/2068",2068,120,120,100,69.0050858947488,2788.34991646791,1374
"2068/2069",2069,121,121,100,71.7741573545181,5163.66505773179,1105
"2069/2070",2070,120,120,100,73.342706913555,3676.47736714687,1245
"2070/2071",2071,120,120,100,73.8832527964578,3982.76364674373,1113
"2071/2072",2072,120,120,100,75.0517222832395,6658.94158186205,757
"2072/2073",2073,121,121,100,72.6743407200538,3610.80153415166,1358
"2073/2074",2074,120,120,100,77.5747021302313,4944.94176944345,931
"2074/2075",2075,120,120,100,72.0032726334048,3670.06309266109,1186
"2075/2076",2076,120,120,100,71.5183206524507,5130.94693268649,1141
"2076/2077",2077,121,121,100,77.8552450709894,5392.87809505314,976
"2077/2078",2078,120,120,100,74.5548146251949,4047.01012507919,1032
"2078/2079",2079,120,120,100,78.6757704207066,4642.63060626946,807
"2079/2080",2080,120,120,100,74.7621024160808,6117.21384909749,954
"2080/2081",2081,121,121,100,77.6007998300665,5565.73245705571,941
"2081/2082",2082,120,120,100,77.1746975337373,3313.92580251582,1111
"2082/2083",2083,120,120,100,76.3936616797437,4846.7200333951,950
"2083/2084",2084,120,120,100,68.8965286501498,4136.54450166319,1387
"2084/2085",2085,121,121,100,76.4639604954809,4028.57578822598,1044
"2085/2086",2086,120,120,100,74.3293441910027,4171.1617139075,1212
"2086/2087",2087,120,120,100,75.0012754473591,4204.10297451075,1037
"2087/2088",2088,120,120,100,79.6518566916147,4187.15872278623,874
"2088/2089",2089,121,121,100,76.5485749261861,3117.6160006579,1208
"2089/2090",2090,120,120,100,71.1608626265897,3888.11231112387,1255
"2090/2091",2091,120,120,100,79.6833098564402,3858.55066668522,847
"2091/2092",2092,120,120,100,76.8219375169592,4830.15323424898,930
"2092/2093",2093,121,121,100,82.4873772159572,3931.13996969443,905
"2093/2094",2094,120,120,100,76.195765896684,6153.19452027604,760
"2094/2095",2095,120,120,100,74.1180984063303,4710.30092096236,974
"2095/2096",2096,120,120,100,73.5316536970986,3391.6105149556,1205
"2096/2097",2097,121,121,100,75.8610433496196,3631.15347570553,1215
"2097/2098",2098,120,120,100,66.8905061659971,5345.80766476225,1107
"2098/2099",2099,120,120,100,71.9106296418995,3875.25909074955,1261
"2099/2100",2100,120,120,100,74.5034411845882,5063.04922665004,1030
