"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.4343100499953,6026.00025424459,493
"2002/2003",2003,120,120,100,81.2550377534745,5993.46997348734,386
"2003/2004",2004,120,120,100,79.478189372245,3678.28423939191,786
"2004/2005",2005,121,121,100,77.8009208519675,3634.95310690228,647
"2005/2006",2006,120,120,100,82.1037988282126,5042.53048932337,603
"2006/2007",2007,120,120,100,76.3090378416645,3342.9721574132,967
"2007/2008",2008,120,120,100,87.4095313761915,6195.93549458205,280
"2008/2009",2009,121,121,100,72.051434100359,2798.84126314789,1210
"2009/2010",2010,120,120,100,87.4318931755757,4818.72254680947,424
"2010/2011",2011,120,120,100,81.1434618466383,6132.37573970121,510
"2011/2012",2012,120,120,100,79.3428673313142,7134.55378870969,405
"2012/2013",2013,121,121,100,77.9895643714196,4440.77386418148,806
"2013/2014",2014,120,120,100,82.4161143893743,5408.8228023682,498
"2014/2015",2015,120,120,100,84.238335950394,3453.36838361202,452
"2015/2016",2016,120,120,100,82.9182584309431,5638.48755712179,383
"2016/2017",2017,121,121,100,84.5243972939463,2918.1868492146,613
"2017/2018",2018,120,120,100,82.8572958541854,6128.90103447821,368
"2018/2019",2019,120,120,100,86.1151442631626,7288.70385520358,165
"2019/2020",2020,120,120,100,83.862339025613,4522.85053716064,601
"2020/2021",2021,121,121,100,78.1670449054322,5137.79699166212,736
"2021/2022",2022,120,120,100,79.7014591444663,5411.77725767298,620
"2022/2023",2023,120,120,100,73.4630939408671,8231.77014468261,429
"2023/2024",2024,120,120,100,85.1494281730465,3350.99195229122,637
"2024/2025",2025,121,121,100,82.0497656791863,7495.04569501802,256
"2025/2026",2026,120,120,100,84.1911450840366,5125.55013868026,337
"2026/2027",2027,120,120,100,73.0544503978817,3571.30389755475,999
"2027/2028",2028,120,120,100,82.0037407714822,8324.18747069291,194
"2028/2029",2029,121,121,100,84.1219265775139,2053.43240666878,782
"2029/2030",2030,120,120,100,81.7899560252094,5506.53855823306,407
"2030/2031",2031,120,120,100,70.3245812266073,4095.68181675998,1109
"2031/2032",2032,120,120,100,82.2949916191815,2641.85211295076,837
"2032/2033",2033,121,121,100,85.7717883693795,6464.44835234201,381
"2033/2034",2034,120,120,100,77.8689817689578,4130.22965273215,804
"2034/2035",2035,120,120,100,81.6822470671877,5718.84940613061,427
"2035/2036",2036,120,120,100,82.6358578113136,5841.75479013612,361
"2036/2037",2037,121,121,100,84.4098567429965,4818.76689084806,517
"2037/2038",2038,120,120,100,84.0911184217912,5758.98979874142,421
"2038/2039",2039,120,120,100,87.626432206368,4914.53401484201,305
"2039/2040",2040,120,120,100,79.4729921162325,4946.63048409391,529
"2040/2041",2041,121,121,100,81.1012090940312,5196.94003837509,506
"2041/2042",2042,120,120,100,83.415371605538,8350.13511347957,137
"2042/2043",2043,120,120,100,80.6871445952593,7029.2000012896,531
"2043/2044",2044,120,120,100,81.2814721247541,3708.55936195096,523
"2044/2045",2045,121,121,100,89.6236878541113,5277.92602319969,322
"2045/2046",2046,120,120,100,81.2363753703421,2283.69620142644,801
"2046/2047",2047,120,120,100,84.4518414821068,5611.23872981826,358
"2047/2048",2048,120,120,100,81.5959759625093,7159.46794616524,412
"2048/2049",2049,121,121,100,82.5861128967545,4061.24083815282,612
"2049/2050",2050,120,120,100,86.8186957051203,3539.32013973733,479
"2050/2051",2051,120,120,100,85.7103096616684,2924.63329219399,549
"2051/2052",2052,120,120,100,79.7257519102614,4899.93107278831,553
"2052/2053",2053,121,121,100,79.5490708485313,7526.73249759013,335
"2053/2054",2054,120,120,100,75.9265728611899,6646.1310074022,499
"2054/2055",2055,120,120,100,85.610736252821,5351.79696637345,271
"2055/2056",2056,120,120,100,85.9135092642327,4574.63574646041,390
"2056/2057",2057,121,121,100,79.8280037679269,7625.57296149572,340
"2057/2058",2058,120,120,100,80.9028875920421,6478.15216169972,610
"2058/2059",2059,120,120,100,85.10199472367,3522.66087462194,436
"2059/2060",2060,120,120,100,80.2202897718316,4226.9103176808,643
"2060/2061",2061,121,121,100,79.9159386039573,4048.80607221834,648
"2061/2062",2062,120,120,100,81.5606235427731,7669.57701036986,380
"2062/2063",2063,120,120,100,80.2283594584651,4396.98194566416,770
"2063/2064",2064,120,120,100,76.723292415797,7167.09246882424,568
"2064/2065",2065,121,121,100,85.032584742904,5034.63472142396,540
"2065/2066",2066,120,120,100,80.3154207013995,4150.11178356921,564
"2066/2067",2067,120,120,100,83.6735339237812,4777.59931273106,460
"2067/2068",2068,120,120,100,76.7126253950346,3266.5678910967,839
"2068/2069",2069,121,121,100,78.8608058403352,6348.74867134402,619
"2069/2070",2070,120,120,100,77.5614690623015,4757.32254662598,771
"2070/2071",2071,120,120,100,77.5413265549278,5551.33510547644,622
"2071/2072",2072,120,120,100,78.8489812383577,8773.41701598931,311
"2072/2073",2073,121,121,100,81.8669040761633,3726.81306805508,796
"2073/2074",2074,120,120,100,87.873410709668,5384.70613700524,284
"2074/2075",2075,120,120,100,78.7457590204722,4125.97236821242,664
"2075/2076",2076,120,120,100,74.8630273241633,6198.90639891569,582
"2076/2077",2077,121,121,100,80.5579301945745,6852.09283539373,405
"2077/2078",2078,120,120,100,78.2944096916526,5583.41348422039,593
"2078/2079",2079,120,120,100,85.632893609707,5698.35591719765,267
"2079/2080",2080,120,120,100,83.3146814166903,6507.21651013382,413
"2080/2081",2081,121,121,100,78.0940512740144,7707.74584667664,481
"2081/2082",2082,120,120,100,86.5224664570505,3527.54614314344,548
"2082/2083",2083,120,120,100,83.4992708729969,5433.79511963762,380
"2083/2084",2084,120,120,100,77.1882611513793,3881.38274912164,820
"2084/2085",2085,121,121,100,83.872838849149,4934.19671471603,445
"2085/2086",2086,120,120,100,80.3898326482104,4579.91303781047,668
"2086/2087",2087,120,120,100,80.7782699793825,5317.90320224594,524
"2087/2088",2088,120,120,100,85.1853130349482,5309.51137495041,327
"2088/2089",2089,121,121,100,83.8325351698077,3411.68171566073,658
"2089/2090",2090,120,120,100,77.4414666430421,4163.35548656713,697
"2090/2091",2091,120,120,100,85.7950719373821,5158.7834718246,364
"2091/2092",2092,120,120,100,85.8090286790557,5161.6250755256,255
"2092/2093",2093,121,121,100,85.544112955984,5577.67252027802,395
"2093/2094",2094,120,120,100,78.7049391704677,8213.14809143823,345
"2094/2095",2095,120,120,100,83.0789868139236,4948.39627174288,444
"2095/2096",2096,120,120,100,81.5604823075319,3553.50199774001,555
"2096/2097",2097,121,121,100,83.143470327761,3814.03804402146,640
"2097/2098",2098,120,120,100,77.3308660711918,6096.64097126294,605
"2098/2099",2099,120,120,100,79.5204775426719,3814.66462937184,688
"2099/2100",2100,120,120,100,79.176073770619,6163.37961340975,625
