"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.9351367102936,5797.89238980639,725
"2002/2003",2003,120,120,100,75.0727062651791,6729.41470922057,652
"2003/2004",2004,120,120,100,72.0327875547388,4659.48654827356,1090
"2004/2005",2005,121,121,100,74.0090294728057,4283.76340748131,992
"2005/2006",2006,120,120,100,79.9995413079426,4961.52877528465,844
"2006/2007",2007,120,120,100,71.29283779771,4034.24723540962,1254
"2007/2008",2008,120,120,100,83.5604615096895,5945.66967138066,475
"2008/2009",2009,121,121,100,69.4398189974986,3510.48125125282,1406
"2009/2010",2010,120,120,100,79.768847264787,5009.67995242437,702
"2010/2011",2011,120,120,100,72.5501339776358,7098.28063618811,851
"2011/2012",2012,120,120,100,80.893694107117,6089.83928883797,593
"2012/2013",2013,121,121,100,75.0846625305089,4389.77685520565,1045
"2013/2014",2014,120,120,100,76.8404924299089,5778.57230647432,751
"2014/2015",2015,120,120,100,77.283440207596,3992.92966297118,867
"2015/2016",2016,120,120,100,75.2338510978602,6630.68589913798,776
"2016/2017",2017,121,121,100,79.4847627741572,3669.48366159492,997
"2017/2018",2018,120,120,100,73.6156900847843,6772.93028356996,655
"2018/2019",2019,120,120,100,79.3080653824352,7123.23278953042,368
"2019/2020",2020,120,120,100,78.3422300277775,5051.80803061486,876
"2020/2021",2021,121,121,100,74.7908465243368,5416.4831537907,1037
"2021/2022",2022,120,120,100,79.4252836720898,4567.89368018578,730
"2022/2023",2023,120,120,100,74.0679257707479,6986.3948598362,633
"2023/2024",2024,120,120,100,80.8539260270318,3759.4961521572,989
"2024/2025",2025,121,121,100,74.0165190493035,7835.58242398663,637
"2025/2026",2026,120,120,100,76.7283428488145,6211.76344173122,793
"2026/2027",2027,120,120,100,70.1237045341991,4025.66183569655,1221
"2027/2028",2028,120,120,100,72.7176963669563,8768.19787843083,482
"2028/2029",2029,121,121,100,79.4595745583028,2203.29148883699,1107
"2029/2030",2030,120,120,100,77.6131686523304,5606.68401063886,714
"2030/2031",2031,120,120,100,64.111886872367,4867.37361840485,1377
"2031/2032",2032,120,120,100,74.4612175922011,3142.6421050604,1153
"2032/2033",2033,121,121,100,79.3118475942242,6362.72759909695,639
"2033/2034",2034,120,120,100,70.8090555477802,4654.41687734146,1077
"2034/2035",2035,120,120,100,81.3072178571088,5049.87191251502,622
"2035/2036",2036,120,120,100,74.337175116586,6441.03554996848,705
"2036/2037",2037,121,121,100,76.536729414212,5501.01029989962,793
"2037/2038",2038,120,120,100,81.41832033643,5108.1134401029,616
"2038/2039",2039,120,120,100,83.114253839467,5392.06266056327,731
"2039/2040",2040,120,120,100,74.3001570111223,5656.36975999363,881
"2040/2041",2041,121,121,100,74.1915104322934,5740.12108448381,864
"2041/2042",2042,120,120,100,72.770089793351,8707.67878133059,437
"2042/2043",2043,120,120,100,80.3368835813599,6200.00707874121,723
"2043/2044",2044,120,120,100,77.2733410555275,4856.18245745543,976
"2044/2045",2045,121,121,100,81.6126455409103,5818.6040797513,637
