"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.9085533824218,4225.15416796594,943
"2002/2003",2003,120,120,100,74.0359689964604,4917.30297382895,850
"2003/2004",2004,120,120,100,74.3357033038037,2959.24166015416,1256
"2004/2005",2005,121,121,100,74.4357671522925,2879.73642097795,1220
"2005/2006",2006,120,120,100,79.6021099635491,3387.83430524514,1027
"2006/2007",2007,120,120,100,69.5269235005754,2656.81073206168,1433
"2007/2008",2008,120,120,100,83.5171272615381,4096.79860871419,633
"2008/2009",2009,121,121,100,66.4438834904122,2234.36940844171,1594
"2009/2010",2010,120,120,100,82.5416957125534,3511.25721637567,881
"2010/2011",2011,120,120,100,73.375466128824,5070.79265385598,988
"2011/2012",2012,120,120,100,79.8240755993181,4491.25013942667,753
"2012/2013",2013,121,121,100,72.6780240034043,3068.47607667756,1223
"2013/2014",2014,120,120,100,78.2373762416225,3868.35280068452,901
"2014/2015",2015,120,120,100,76.4633204323418,2666.51678845391,1061
"2015/2016",2016,120,120,100,77.9023314108092,4641.25327160768,952
"2016/2017",2017,121,121,100,77.8444963307534,2524.71506607078,1264
"2017/2018",2018,120,120,100,78.6222824921479,4741.17028493097,857
"2018/2019",2019,120,120,100,83.4210822900372,5128.66193121113,529
"2019/2020",2020,120,120,100,77.4914273848713,3340.52973154094,1046
"2020/2021",2021,121,121,100,74.3294003586052,3872.87549105356,1178
"2021/2022",2022,120,120,100,78.9979398622495,3236.32133790967,906
"2022/2023",2023,120,120,100,74.9155377214802,5325.71569858678,796
"2023/2024",2024,120,120,100,79.1084103656863,2447.82465710677,1204
"2024/2025",2025,121,121,100,77.8614081910973,5740.35577375325,794
"2025/2026",2026,120,120,100,78.816361590169,4414.27779680071,996
"2026/2027",2027,120,120,100,69.0679460003926,2589.75163214235,1433
"2027/2028",2028,120,120,100,78.5604596728713,6494.12925773393,628
"2028/2029",2029,121,121,100,76.4413072953635,1332.81073966599,1331
"2029/2030",2030,120,120,100,76.1862208901271,4027.68776107486,910
"2030/2031",2031,120,120,100,64.5246375298357,3547.32801807811,1578
"2031/2032",2032,120,120,100,74.8722347794601,1904.20322153624,1350
"2032/2033",2033,121,121,100,81.0157335161994,4545.96165976487,811
"2033/2034",2034,120,120,100,74.3338527076394,3220.73205459351,1265
"2034/2035",2035,120,120,100,78.7279701227258,3639.5691992268,811
"2035/2036",2036,120,120,100,78.7174532967729,4718.88864626177,899
"2036/2037",2037,121,121,100,77.9113517257247,3796.41024134774,960
"2037/2038",2038,120,120,100,80.6774228990816,3579.9952071372,795
"2038/2039",2039,120,120,100,81.5763939775325,3541.79383256752,898
"2039/2040",2040,120,120,100,75.1554289405676,4033.9391609598,1120
"2040/2041",2041,121,121,100,76.2016686237366,4025.31647058623,1045
"2041/2042",2042,120,120,100,76.6776589119263,6467.61199822929,557
"2042/2043",2043,120,120,100,78.7646581168656,4816.41049881885,931
"2043/2044",2044,120,120,100,76.7001544360273,3059.11139415018,1176
"2044/2045",2045,121,121,100,83.2049629100156,4018.44506599288,814
"2045/2046",2046,120,120,100,74.173824588258,1696.2394798887,1308
"2046/2047",2047,120,120,100,81.426189943094,3915.06357092643,813
"2047/2048",2048,120,120,100,78.292985331319,5025.4251795793,806
"2048/2049",2049,121,121,100,79.4434112547615,2924.27009687014,1103
"2049/2050",2050,120,120,100,80.6829035113687,2744.06901627826,1035
"2050/2051",2051,120,120,100,80.0306256987078,1808.60576652968,1046
"2051/2052",2052,120,120,100,76.6505296023097,4066.89867506456,1094
"2052/2053",2053,121,121,100,78.7005949555787,5923.61019038316,761
"2053/2054",2054,120,120,100,72.1644471658201,5229.72067983076,949
