"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.2082112243809,3902.09214472057,1023
"2002/2003",2003,120,120,100,72.7006908086123,4880.55886256114,945
"2003/2004",2004,120,120,100,74.9696536021727,2994.62367505167,1327
"2004/2005",2005,121,121,100,73.5326295525276,2811.74123720368,1303
"2005/2006",2006,120,120,100,79.0609974715621,3295.09194088361,1128
"2006/2007",2007,120,120,100,67.738170490844,2700.63830764301,1525
"2007/2008",2008,120,120,100,81.9312118865765,3948.21051822195,730
"2008/2009",2009,121,121,100,67.3942296728342,2204.57363212283,1686
"2009/2010",2010,120,120,100,80.9727392155114,3299.64543247217,1005
"2010/2011",2011,120,120,100,74.4288288390271,5076.20212095533,1082
"2011/2012",2012,120,120,100,78.5622264079855,4224.16197109781,840
"2012/2013",2013,121,121,100,72.3629162620296,2949.94041942258,1316
"2013/2014",2014,120,120,100,76.866432936318,3878.93872568291,997
"2014/2015",2015,120,120,100,74.9242216024488,2630.13159215322,1187
"2015/2016",2016,120,120,100,74.7510819958586,4700.38020765106,1041
"2016/2017",2017,121,121,100,77.3452299647333,2444.94386195566,1350
"2017/2018",2018,120,120,100,76.9175928047018,4714.44567240181,959
"2018/2019",2019,120,120,100,82.601328240698,4821.85653703089,624
"2019/2020",2020,120,120,100,75.2881700593412,3335.15722297435,1113
"2020/2021",2021,121,121,100,74.2682336708758,3753.18609623844,1269
"2021/2022",2022,120,120,100,79.230113037795,2898.89187218575,1012
"2022/2023",2023,120,120,100,75.069781933566,5144.80641838256,870
"2023/2024",2024,120,120,100,77.3855728292147,2424.73555489769,1332
"2024/2025",2025,121,121,100,77.2266950599487,5710.08995644283,896
"2025/2026",2026,120,120,100,75.5323631019896,4332.19839896145,1069
"2026/2027",2027,120,120,100,65.1689244420704,2699.94412939507,1517
"2027/2028",2028,120,120,100,75.7543421055902,6381.37793056178,735
"2028/2029",2029,121,121,100,75.7944627226361,1199.93553128606,1452
"2029/2030",2030,120,120,100,75.2828839318827,3985.68657196988,1036
"2030/2031",2031,120,120,100,62.7527426380007,3599.1527248018,1625
"2031/2032",2032,120,120,100,72.2421197966619,1955.38470381103,1444
"2032/2033",2033,121,121,100,80.5099109608991,4325.45895563019,914
"2033/2034",2034,120,120,100,71.6938674254729,3128.73491881089,1369
"2034/2035",2035,120,120,100,77.0879636650311,3433.47086808854,940
"2035/2036",2036,120,120,100,76.924969644328,4597.26891956967,974
"2036/2037",2037,121,121,100,77.2432160077924,3798.15770552983,1077
"2037/2038",2038,120,120,100,80.6908929563433,3361.74142382597,888
"2038/2039",2039,120,120,100,81.9730248216538,3509.27237484092,1005
