"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.5019814246626,3858.29377227414,1023
"2002/2003",2003,120,120,100,72.9197916247469,4888.56087607332,955
"2003/2004",2004,120,120,100,72.588204419618,2968.41625127461,1308
"2004/2005",2005,121,121,100,74.3342124597198,2719.33250403201,1293
"2005/2006",2006,120,120,100,79.4757880302443,3176.39487284207,1142
"2006/2007",2007,120,120,100,67.6514944782767,2712.29278770398,1534
"2007/2008",2008,120,120,100,82.8100443852271,3846.09551277198,737
"2008/2009",2009,121,121,100,66.8578450594588,2038.40170410142,1675
"2009/2010",2010,120,120,100,80.5543303040845,3166.11196669337,1002
"2010/2011",2011,120,120,100,73.9188737356367,4912.28456021228,1065
"2011/2012",2012,120,120,100,80.147008297296,4089.90431802336,836
"2012/2013",2013,121,121,100,71.5802915422521,2922.56980452931,1309
"2013/2014",2014,120,120,100,77.5453150086294,3853.60491113784,980
"2014/2015",2015,120,120,100,76.2361077812907,2619.50260853127,1189
"2015/2016",2016,120,120,100,75.4692163583807,4697.88879917946,1034
"2016/2017",2017,121,121,100,74.9877354916021,2494.00475088356,1354
"2017/2018",2018,120,120,100,76.4746404436735,4603.23122285132,948
"2018/2019",2019,120,120,100,80.2396945699452,4831.68599018652,632
"2019/2020",2020,120,120,100,76.4141626604182,3267.1919536863,1104
"2020/2021",2021,121,121,100,74.0974201080608,3707.48305674968,1275
"2021/2022",2022,120,120,100,76.8963009075046,2724.6516558961,1029
"2022/2023",2023,120,120,100,75.1228366363284,5043.55995286047,862
"2023/2024",2024,120,120,100,77.055046328237,2403.1113680657,1331
"2024/2025",2025,121,121,100,76.4016105829028,5580.25392389018,880
"2025/2026",2026,120,120,100,75.3451378385662,4409.34017613879,1069
"2026/2027",2027,120,120,100,65.505773716462,2656.04108534101,1498
"2027/2028",2028,120,120,100,76.045126718916,6253.61956506525,723
"2028/2029",2029,121,121,100,74.9800327876983,1145.54905453837,1473
"2029/2030",2030,120,120,100,74.435373351675,4059.75487004337,1044
"2030/2031",2031,120,120,100,61.2256379713758,3635.70988051291,1628
"2031/2032",2032,120,120,100,73.37595904727,1907.58402202092,1433
"2032/2033",2033,121,121,100,81.7915431699407,4215.03798232554,917
"2033/2034",2034,120,120,100,73.16114995525,2923.83971312386,1348
"2034/2035",2035,120,120,100,77.7327865079728,3337.01224758592,939
"2035/2036",2036,120,120,100,76.224142208348,4682.91469344427,987
"2036/2037",2037,121,121,100,76.4318327691226,3709.36708596698,1058
"2037/2038",2038,120,120,100,80.1093636548521,3268.53674034961,898
"2038/2039",2039,120,120,100,81.4595250303391,3417.42432350433,991
"2039/2040",2040,120,120,100,74.6364059588968,3839.25138385827,1221
"2040/2041",2041,121,121,100,73.6888141978443,3965.54027546709,1163
"2041/2042",2042,120,120,100,76.4395526556818,6195.67804661719,692
"2042/2043",2043,120,120,100,78.828335112029,4355.94824327482,1007
"2043/2044",2044,120,120,100,73.1749090861367,3042.86033358146,1256
"2044/2045",2045,121,121,100,81.5560907534691,3730.04968668614,961
"2045/2046",2046,120,120,100,73.7077040007198,1507.55681693275,1390
"2046/2047",2047,120,120,100,79.3281709354487,3635.28516579513,903
"2047/2048",2048,120,120,100,76.4874130134867,4864.60880112974,895
"2048/2049",2049,121,121,100,78.3421868304013,2714.09029908944,1211
