"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.4428448028835,3297.35579145367,1119
"2002/2003",2003,120,120,100,75.6620381459757,4192.29648191281,1036
"2003/2004",2004,120,120,100,71.3681393443104,2500.82550208727,1427
"2004/2005",2005,121,121,100,72.2242350238081,2394.58655305291,1451
"2005/2006",2006,120,120,100,77.6524978034626,2924.31098645256,1226
"2006/2007",2007,120,120,100,67.557066246093,2294.46676454943,1621
"2007/2008",2008,120,120,100,81.6084524140975,3435.89537189016,854
"2008/2009",2009,121,121,100,64.9378229546519,1947.81281313917,1766
"2009/2010",2010,120,120,100,77.8462923716817,2825.05894383503,1092
"2010/2011",2011,120,120,100,72.8072393494976,4534.82133730967,1162
"2011/2012",2012,120,120,100,77.028535873543,3775.0627408271,923
"2012/2013",2013,121,121,100,73.2868824791972,2516.53807320225,1416
"2013/2014",2014,120,120,100,75.9736709499841,3314.31757011707,1108
"2014/2015",2015,120,120,100,73.939763282805,2192.15143946966,1324
"2015/2016",2016,120,120,100,76.2574213121557,4051.01467814122,1136
"2016/2017",2017,121,121,100,76.591132102553,1950.18546991993,1464
"2017/2018",2018,120,120,100,76.0764120781971,4150.60369539913,1070
"2018/2019",2019,120,120,100,83.4154607077203,4016.03806388157,721
"2019/2020",2020,120,120,100,74.6780866419881,2852.26933624677,1234
"2020/2021",2021,121,121,100,72.5690212037066,3266.99884439074,1361
"2021/2022",2022,120,120,100,77.0954930091798,2525.56270377105,1080
"2022/2023",2023,120,120,100,72.5131651232396,4709.87034165813,995
"2023/2024",2024,120,120,100,77.5871200695265,2035.81615472073,1425
"2024/2025",2025,121,121,100,76.2286581071362,5156.42165590078,1013
"2025/2026",2026,120,120,100,77.6106630785621,3592.67649332248,1168
"2026/2027",2027,120,120,100,62.5671251513231,2392.67197430879,1606
"2027/2028",2028,120,120,100,75.750896293815,5657.83601536416,844
"2028/2029",2029,121,121,100,75.088485972145,939.415106955683,1543
"2029/2030",2030,120,120,100,74.1129854503779,3373.8096704823,1105
"2030/2031",2031,120,120,100,60.7458233165921,3145.51087270305,1695
"2031/2032",2032,120,120,100,68.6161727408839,1665.15000931593,1558
"2032/2033",2033,121,121,100,81.7491090736667,3741.4798657652,1007
"2033/2034",2034,120,120,100,70.1862094662288,2792.89936953294,1476
"2034/2035",2035,120,120,100,76.9626539601368,2985.97778584808,1053
"2035/2036",2036,120,120,100,77.1967951853517,3857.08826941857,1079
"2036/2037",2037,121,121,100,74.7514203907131,3315.89277048944,1186
