"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.4770229117856,3385.80549233446,1137
"2002/2003",2003,120,120,100,73.3965435909431,4419.43309797438,1131
"2003/2004",2004,120,120,100,71.1283154693075,2618.86220636585,1404
"2004/2005",2005,121,121,100,73.674426592188,2410.53590151484,1423
"2005/2006",2006,120,120,100,79.407374803009,2800.14054375282,1253
"2006/2007",2007,120,120,100,65.4368708779083,2458.81295380776,1634
"2007/2008",2008,120,120,100,81.8209399515256,3357.17503471533,869
"2008/2009",2009,121,121,100,65.7428467316239,1847.37425558141,1781
"2009/2010",2010,120,120,100,80.3763508655976,2867.67550325132,1138
"2010/2011",2011,120,120,100,72.8554456961592,4510.55363640946,1208
"2011/2012",2012,120,120,100,79.3595238921212,3534.80857273063,962
"2012/2013",2013,121,121,100,69.7226998492852,2597.52106452105,1414
"2013/2014",2014,120,120,100,75.4272814537933,3342.72933628166,1106
"2014/2015",2015,120,120,100,72.7549944478508,2417.43406543136,1347
"2015/2016",2016,120,120,100,74.042505407989,4223.70077688294,1170
"2016/2017",2017,121,121,100,73.11832255287,2238.08540715801,1521
"2017/2018",2018,120,120,100,76.0958855630663,4113.96163002367,1092
"2018/2019",2019,120,120,100,82.044761744929,4262.86419599375,786
"2019/2020",2020,120,120,100,74.1952033856278,2868.72891395306,1258
"2020/2021",2021,121,121,100,74.3950050595777,3299.18972998066,1361
"2021/2022",2022,120,120,100,76.1086385598655,2345.87309470866,1161
"2022/2023",2023,120,120,100,74.43465778579,4441.37165845651,996
"2023/2024",2024,120,120,100,75.6852978148399,2095.1680366341,1456
"2024/2025",2025,121,121,100,76.984365484539,5028.99230452604,989
"2025/2026",2026,120,120,100,76.1721361572922,3924.98834045674,1179
"2026/2027",2027,120,120,100,64.2311743586874,2297.38514559343,1597
"2027/2028",2028,120,120,100,76.3506421140114,5665.45394656877,863
"2028/2029",2029,121,121,100,72.9959989607014,968.067209492438,1589
"2029/2030",2030,120,120,100,72.9834861676427,3586.1416367772,1180
"2030/2031",2031,120,120,100,59.4310355292487,3363.02024449129,1728
"2031/2032",2032,120,120,100,69.8662825340198,1718.18206969765,1577
"2032/2033",2033,121,121,100,80.4466201985042,3681.08595347009,1049
"2033/2034",2034,120,120,100,71.1391170878633,2682.35488250689,1450
"2034/2035",2035,120,120,100,77.9731076102944,2909.2406698796,1100
"2035/2036",2036,120,120,100,75.6719945438858,4185.9518485337,1103
"2036/2037",2037,121,121,100,74.1124008576103,3352.92876919545,1215
"2037/2038",2038,120,120,100,78.6811869034918,2845.23100819369,1025
"2038/2039",2039,120,120,100,79.1984011007798,2975.29704974778,1111
"2039/2040",2040,120,120,100,72.7368666506536,3498.01404111693,1366
"2040/2041",2041,121,121,100,73.3008285602546,3609.33322484512,1305
"2041/2042",2042,120,120,100,75.8099296956061,5655.98396848049,825
"2042/2043",2043,120,120,100,77.4080360747548,3900.40098611685,1138
"2043/2044",2044,120,120,100,71.2581145621862,2700.16025213525,1367
"2044/2045",2045,121,121,100,81.8436738346982,3386.22223182442,1107
"2045/2046",2046,120,120,100,71.0076183318633,1382.83249576995,1502
"2046/2047",2047,120,120,100,78.406075229349,3213.27253449569,1044
"2047/2048",2048,120,120,100,75.5560477154941,4342.47019127989,1015
"2048/2049",2049,121,121,100,77.9806980259045,2326.06006020866,1357
"2049/2050",2050,120,120,100,76.3619696662763,2403.58068457665,1301
"2050/2051",2051,120,120,100,76.5367059679074,1432.05626797676,1357
"2051/2052",2052,120,120,100,72.8910463125467,3768.1732665021,1329
"2052/2053",2053,121,121,100,74.831339129194,5243.87447246257,1007
"2053/2054",2054,120,120,100,71.8422800066737,4646.00656916108,1214
"2054/2055",2055,120,120,100,76.9127169835419,3482.17622019676,1121
"2055/2056",2056,120,120,100,78.2564621832234,2491.83729348239,1177
"2056/2057",2057,121,121,100,73.9035103395317,4928.30612156494,1001
"2057/2058",2058,120,120,100,77.6684027722295,3251.06634213496,1155
"2058/2059",2059,120,120,100,74.9480478710739,2650.45870525576,1358
"2059/2060",2060,120,120,100,73.2647217048734,2339.76049561426,1368
"2060/2061",2061,121,121,100,70.0860678055769,3301.752356485,1384
"2061/2062",2062,120,120,100,80.0190951113818,4714.58290654328,921
"2062/2063",2063,120,120,100,74.0349534214502,2336.75397581188,1422
"2063/2064",2064,120,120,100,70.4303298696004,4408.00356223807,1199
"2064/2065",2065,121,121,100,78.4683922786853,2726.73562365258,1213
"2065/2066",2066,120,120,100,71.8282837317092,3039.63765621604,1391
"2066/2067",2067,120,120,100,75.4353311786908,3085.50857955078,1240
"2067/2068",2068,120,120,100,69.3710064442912,1649.63042141823,1514
"2068/2069",2069,121,121,100,75.2440985123676,3661.33441684162,1225
"2069/2070",2070,120,120,100,73.7364409111178,2465.51059179706,1372
"2070/2071",2071,120,120,100,71.4413585490538,3255.31019311445,1294
"2071/2072",2072,120,120,100,77.641554240281,4801.31188536249,896
"2072/2073",2073,121,121,100,70.6931964378036,2575.27251001354,1549
"2073/2074",2074,120,120,100,78.1739349235231,3607.18633509194,1084
"2074/2075",2075,120,120,100,73.5997040350485,2548.17394212354,1355
"2075/2076",2076,120,120,100,71.5934555975145,3652.27731594909,1263
"2076/2077",2077,121,121,100,78.9584112690645,3871.6016157819,1125
