"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.9679123533972,5351.56518986381,761
"2002/2003",2003,120,120,100,73.1058205807882,6050.34994547025,650
"2003/2004",2004,120,120,100,74.9324809450623,3922.25864648493,1098
"2004/2005",2005,121,121,100,76.4342704174531,3720.78467322356,1008
"2005/2006",2006,120,120,100,80.672720921944,4318.16638581175,846
"2006/2007",2007,120,120,100,71.7179456838339,3411.97010077024,1262
"2007/2008",2008,120,120,100,82.1479204860899,5262.43753256276,468
"2008/2009",2009,121,121,100,70.1261169424573,2936.18634169787,1441
"2009/2010",2010,120,120,100,79.7830621667327,4550.98104827444,683
"2010/2011",2011,120,120,100,73.8261220799081,6253.46350352454,826
"2011/2012",2012,120,120,100,81.0982245906307,5603.04110583744,600
"2012/2013",2013,121,121,100,74.2627686447561,3927.29236222769,1051
"2013/2014",2014,120,120,100,80.341625837696,5003.89156937855,747
"2014/2015",2015,120,120,100,80.2091468312835,3482.52294319915,877
"2015/2016",2016,120,120,100,78.106626772553,5811.19973468012,780
"2016/2017",2017,121,121,100,80.8318257098606,3249.6019219358,1025
"2017/2018",2018,120,120,100,77.3334117532629,5963.4066329638,660
"2018/2019",2019,120,120,100,81.3563141658692,6514.04081495549,372
"2019/2020",2020,120,120,100,78.7672112387004,4368.14643788571,882
"2020/2021",2021,121,121,100,74.0502027978773,4811.88862906024,1027
"2021/2022",2022,120,120,100,78.5836284692118,4221.38084476325,769
"2022/2023",2023,120,120,100,74.0278483675888,6473.77078877599,656
"2023/2024",2024,120,120,100,80.5577501948246,3193.6820049854,980
"2024/2025",2025,121,121,100,76.4435604680557,7005.51548902155,607
"2025/2026",2026,120,120,100,76.5287467188004,5578.05148130399,816
"2026/2027",2027,120,120,100,69.2231999236142,3296.73131827288,1231
"2027/2028",2028,120,120,100,75.894884308419,7968.33811244578,472
"2028/2029",2029,121,121,100,80.5266598144508,1885.67098680767,1125
"2029/2030",2030,120,120,100,78.3504739195942,5038.93486568867,730
"2030/2031",2031,120,120,100,68.1002743828303,4283.16290903464,1399
"2031/2032",2032,120,120,100,77.7696060080434,2565.25684340042,1157
"2032/2033",2033,121,121,100,83.5155879693766,5732.73789477721,639
"2033/2034",2034,120,120,100,71.9618610184539,4109.04735317244,1090
"2034/2035",2035,120,120,100,80.0215949186399,4601.89044803614,628
"2035/2036",2036,120,120,100,76.4664121651422,5824.55653771502,720
"2036/2037",2037,121,121,100,78.9170603853131,4791.11515992414,784
"2037/2038",2038,120,120,100,81.9705594490915,4604.03752586339,626
"2038/2039",2039,120,120,100,82.4360321721033,4668.95190314529,728
"2039/2040",2040,120,120,100,76.8403597248534,5006.7314940975,883
"2040/2041",2041,121,121,100,76.8051182332392,4972.74390504463,842
"2041/2042",2042,120,120,100,75.0545262654477,7949.27143123653,419
"2042/2043",2043,120,120,100,81.6301975665983,5876.0918323528,755
"2043/2044",2044,120,120,100,76.5628127164609,4074.73276764387,964
"2044/2045",2045,121,121,100,82.7394163399185,5200.74121996714,608
"2045/2046",2046,120,120,100,76.9014263031504,2353.2052739975,1129
"2046/2047",2047,120,120,100,79.3384994541839,5015.66793692112,628
"2047/2048",2048,120,120,100,77.3510384058045,6276.92088430189,646
"2048/2049",2049,121,121,100,80.2159663054172,3735.75004422246,897
"2049/2050",2050,120,120,100,78.314908076999,3648.43148302473,805
"2050/2051",2051,120,120,100,81.5097258080687,2581.70787686715,831
"2051/2052",2052,120,120,100,74.5897986880464,5165.08245496918,925
"2052/2053",2053,121,121,100,76.8048014049982,7226.63051535608,575
"2053/2054",2054,120,120,100,71.8818477824279,6394.53260532813,752
"2054/2055",2055,120,120,100,80.8821001872348,5173.88339641225,636
"2055/2056",2056,120,120,100,81.2084509073202,4106.90098966984,667
"2056/2057",2057,121,121,100,75.7403393430777,6774.29268052801,615
"2057/2058",2058,120,120,100,78.6999956869477,5181.23483844381,816
"2058/2059",2059,120,120,100,78.7516816472225,3946.11838222714,939
"2059/2060",2060,120,120,100,78.052263857965,3782.23627082119,941
"2060/2061",2061,121,121,100,74.0036532810354,4393.42942541838,974
"2061/2062",2062,120,120,100,79.4889260598411,7080.79512471426,661
"2062/2063",2063,120,120,100,77.4993690489964,3567.19381122896,943
"2063/2064",2064,120,120,100,74.2460641815505,6207.98633364495,782
"2064/2065",2065,121,121,100,82.5957352297728,4252.59402905591,791
"2065/2066",2066,120,120,100,75.7285971826541,4365.82565711625,994
"2066/2067",2067,120,120,100,78.5684765002143,4586.29868169921,790
"2067/2068",2068,120,120,100,74.8111044385387,2574.97796183592,1128
"2068/2069",2069,121,121,100,76.7782033207131,5374.49938707752,854
"2069/2070",2070,120,120,100,74.9058881644596,4127.39150094148,1003
