"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.6317289156625,3517.46583898056,1092
"2002/2003",2003,120,120,100,71.9132658916934,4561.07619444335,1020
"2003/2004",2004,120,120,100,71.9870916297002,2739.19324440934,1380
"2004/2005",2005,121,121,100,72.3970428750762,2561.56667385373,1408
"2005/2006",2006,120,120,100,78.2621748440366,3018.64075113297,1194
"2006/2007",2007,120,120,100,66.1536814324804,2501.03265362035,1598
"2007/2008",2008,120,120,100,81.854137363641,3627.50408702303,813
"2008/2009",2009,121,121,100,66.1897784097299,1989.21575753362,1729
"2009/2010",2010,120,120,100,78.9118236617746,2915.64469405601,1067
"2010/2011",2011,120,120,100,73.8696941148212,4708.40081922815,1127
"2011/2012",2012,120,120,100,79.6102223561047,3894.0675664997,891
"2012/2013",2013,121,121,100,71.1742713351455,2701.04136691405,1376
"2013/2014",2014,120,120,100,77.182276023028,3616.08973920264,1066
"2014/2015",2015,120,120,100,73.7330971646263,2405.76257511228,1279
"2015/2016",2016,120,120,100,74.3828568539755,4397.20604761236,1108
"2016/2017",2017,121,121,100,76.0938635978912,2217.07484338118,1423
"2017/2018",2018,120,120,100,75.2495689187085,4395.77293539827,1043
"2018/2019",2019,120,120,100,82.264753373644,4382.160019723,701
"2019/2020",2020,120,120,100,74.3380982543345,3070.60553974588,1193
"2020/2021",2021,121,121,100,75.4025287964123,3457.74844165356,1334
"2021/2022",2022,120,120,100,78.1053823639609,2562.84058477846,1084
"2022/2023",2023,120,120,100,75.0227393295263,4848.19082384324,950
"2023/2024",2024,120,120,100,76.2742888745097,2224.57774479315,1408
"2024/2025",2025,121,121,100,77.3738444670726,5356.62141300947,976
"2025/2026",2026,120,120,100,75.3893729968299,3982.66411070828,1123
"2026/2027",2027,120,120,100,63.2209888467278,2577.46360750333,1573
"2027/2028",2028,120,120,100,75.2039179560875,5936.77065111627,807
"2028/2029",2029,121,121,100,74.5295137440862,1005.40274782572,1537
