"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.9876742218197,8547.44785345357,462
"2002/2003",2003,120,120,100,72.7233540542516,9017.27892604641,411
"2003/2004",2004,120,120,100,73.9419932848227,6500.72098937604,817
"2004/2005",2005,121,121,100,77.7960593450052,6172.76917402894,666
"2005/2006",2006,120,120,100,78.3858090968053,7536.37260839069,544
"2006/2007",2007,120,120,100,76.101489300792,5515.56696607161,929
"2007/2008",2008,120,120,100,78.7813838342687,9057.77497824334,253
"2008/2009",2009,121,121,100,73.2286400263778,5069.17540543352,1117
"2009/2010",2010,120,120,100,76.9315722783363,7481.50026782043,425
"2010/2011",2011,120,120,100,68.4836962059674,9493.32471362676,550
"2011/2012",2012,120,120,100,77.0874051602773,9313.96663665923,371
"2012/2013",2013,121,121,100,77.267538384297,6375.11965355091,754
"2013/2014",2014,120,120,100,75.4083815110207,8481.62782408623,537
"2014/2015",2015,120,120,100,80.3595256751703,5675.23185877898,456
"2015/2016",2016,120,120,100,72.9721074196741,8871.36989942263,478
"2016/2017",2017,121,121,100,81.1383653519595,5211.24731557118,573
"2017/2018",2018,120,120,100,72.3060515207042,9402.16917963361,359
"2018/2019",2019,120,120,100,77.9379906123411,10318.996763357,128
"2019/2020",2020,120,120,100,76.7816077198031,7421.19539745129,609
"2020/2021",2021,121,121,100,72.5450723957288,7666.1105369213,724
"2021/2022",2022,120,120,100,77.6371325560708,7418.62016781303,552
"2022/2023",2023,120,120,100,70.6501836770472,10003.3642383532,391
"2023/2024",2024,120,120,100,79.2575869107236,5664.31960091926,613
"2024/2025",2025,121,121,100,70.7356320011613,10707.0285734683,318
"2025/2026",2026,120,120,100,75.4177873774524,8320.05901164957,404
"2026/2027",2027,120,120,100,69.3373796718984,5947.37191441818,932
"2027/2028",2028,120,120,100,66.2728299950404,11890.0738356209,213
"2028/2029",2029,121,121,100,82.6652327921647,3772.3585379126,701
"2029/2030",2030,120,120,100,74.5239726146356,7952.41469317139,422
"2030/2031",2031,120,120,100,67.1858283432693,6256.30300680758,1061
"2031/2032",2032,120,120,100,79.2269401243734,4723.23688375158,790
"2032/2033",2033,121,121,100,77.1290636544295,9407.25518948608,384
