"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.7617826961949,3790.15879465942,1033
"2002/2003",2003,120,120,100,74.0105141500453,4529.91280651855,965
"2003/2004",2004,120,120,100,74.1208048080966,2601.34925449305,1334
"2004/2005",2005,121,121,100,73.5766935313929,2491.53852535054,1334
"2005/2006",2006,120,120,100,77.9702142991008,3059.66941144131,1124
"2006/2007",2007,120,120,100,68.5120196504545,2502.10610418906,1537
"2007/2008",2008,120,120,100,83.1150750914848,3654.18666079541,735
"2008/2009",2009,121,121,100,67.0903036979036,1790.85181675776,1670
"2009/2010",2010,120,120,100,81.3295808950486,2862.48889560113,976
"2010/2011",2011,120,120,100,74.6806453898243,4388.6488567373,1053
"2011/2012",2012,120,120,100,78.9948634493815,4046.3428135931,837
"2012/2013",2013,121,121,100,72.7986968776897,2761.53647353442,1317
"2013/2014",2014,120,120,100,78.0428978116429,3570.85847012757,1003
"2014/2015",2015,120,120,100,76.7331120121305,2427.94562068942,1186
"2015/2016",2016,120,120,100,76.250432074899,4286.8951755896,1041
"2016/2017",2017,121,121,100,76.2951464855369,2310.88128903683,1372
"2017/2018",2018,120,120,100,76.3360455827979,4263.22284149367,967
"2018/2019",2019,120,120,100,82.4248586170352,4639.1477277464,623
"2019/2020",2020,120,120,100,78.6305137486529,2941.01548702281,1105
"2020/2021",2021,121,121,100,74.70525250827,3577.92392068729,1276
"2021/2022",2022,120,120,100,78.705073350161,2711.24010004429,1001
"2022/2023",2023,120,120,100,74.07471881834,5032.3754677726,907
"2023/2024",2024,120,120,100,77.2192668638941,2301.5562104152,1311
"2024/2025",2025,121,121,100,79.1837609651579,5179.90824925504,890
"2025/2026",2026,120,120,100,78.2685383908638,3990.5537974115,1097
"2026/2027",2027,120,120,100,65.69259724944,2500.76608923054,1533
"2027/2028",2028,120,120,100,78.2479588339052,5751.68375108275,699
"2028/2029",2029,121,121,100,75.9507516564654,1077.28849678952,1441
"2029/2030",2030,120,120,100,74.9353117392743,3790.51219496666,1004
"2030/2031",2031,120,120,100,63.0443799174382,3359.97846694291,1658
"2031/2032",2032,120,120,100,72.5969987722228,1691.99662605743,1435
"2032/2033",2033,121,121,100,80.4703240334907,4014.35740013863,904
"2033/2034",2034,120,120,100,73.2265011802529,2544.57620960148,1330
"2034/2035",2035,120,120,100,76.7465038162163,3258.32165186689,927
"2035/2036",2036,120,120,100,76.8017755753708,4411.76209833752,994
"2036/2037",2037,121,121,100,76.2453324009916,3430.95203162869,1072
"2037/2038",2038,120,120,100,79.6710239536496,3197.81007047184,882
"2038/2039",2039,120,120,100,81.3590528997611,3144.87886048481,991
"2039/2040",2040,120,120,100,75.0722882533964,3496.79474611161,1222
"2040/2041",2041,121,121,100,75.0125301144872,3677.8565339921,1156
"2041/2042",2042,120,120,100,79.9988282638651,5682.65865124343,633
"2042/2043",2043,120,120,100,78.4468261385809,4386.28258117801,1019
"2043/2044",2044,120,120,100,76.7442573956905,2543.49070774671,1268
"2044/2045",2045,121,121,100,82.8579289667123,3337.21628958406,900
"2045/2046",2046,120,120,100,73.1221330928165,1281.88680472318,1407
"2046/2047",2047,120,120,100,79.9853939411496,3452.72203989793,916
"2047/2048",2048,120,120,100,76.8886236613789,4519.39354377426,895
"2048/2049",2049,121,121,100,77.3351876023016,2583.74089825293,1196
"2049/2050",2050,120,120,100,78.2368934493961,2352.72797750449,1150
"2050/2051",2051,120,120,100,79.1406863830307,1463.11755137239,1146
"2051/2052",2052,120,120,100,74.0071245058662,3721.09974910226,1170
"2052/2053",2053,121,121,100,75.6290287141128,5417.69832471851,853
"2053/2054",2054,120,120,100,74.0354786881953,4746.74954844872,1067
"2054/2055",2055,120,120,100,81.4780070417983,3632.77195839444,968
"2055/2056",2056,120,120,100,80.8024952391488,2686.73134217178,991
"2056/2057",2057,121,121,100,75.9684019206707,5205.68711840129,854
"2057/2058",2058,120,120,100,77.2240672760945,3654.85945073795,1061
"2058/2059",2059,120,120,100,79.4142543396201,2631.70134332217,1254
"2059/2060",2060,120,120,100,75.8043241993973,2393.37009107554,1199
"2060/2061",2061,121,121,100,72.403710985418,3318.71712092869,1300
"2061/2062",2062,120,120,100,79.606342093728,4758.58646492381,813
"2062/2063",2063,120,120,100,75.6131970417209,2659.65948183974,1221
"2063/2064",2064,120,120,100,72.1418997108449,4632.72741058096,1065
"2064/2065",2065,121,121,100,81.4440897794748,3017.98151965812,1052
"2065/2066",2066,120,120,100,73.7795436167326,3076.86779012578,1301
"2066/2067",2067,120,120,100,79.321235131406,3108.95082048699,1089
"2067/2068",2068,120,120,100,71.1041769836065,2001.93872035714,1382
"2068/2069",2069,121,121,100,75.114434503027,4065.01527706906,1140
"2069/2070",2070,120,120,100,73.2501444089421,2582.195079186,1272
"2070/2071",2071,120,120,100,73.8988760938046,3571.79936208948,1196
"2071/2072",2072,120,120,100,79.4111597532064,5221.57657197863,759
"2072/2073",2073,121,121,100,73.0701094555743,2608.97489005979,1436
"2073/2074",2074,120,120,100,79.4948351313269,3696.45899525285,918
"2074/2075",2075,120,120,100,73.4420915879691,2732.91644150857,1235
"2075/2076",2076,120,120,100,73.8402544434193,3949.48303222284,1194
"2076/2077",2077,121,121,100,78.5252309881325,4227.55012946017,977
"2077/2078",2078,120,120,100,76.1725042180569,3112.74649031833,1044
"2078/2079",2079,120,120,100,81.3112366099213,3443.93208850827,781
"2079/2080",2080,120,120,100,76.5980937337736,4680.31727891881,921
"2080/2081",2081,121,121,100,79.474411523137,4441.83400112391,941
"2081/2082",2082,120,120,100,79.3156669973687,2357.42449100036,1147
"2082/2083",2083,120,120,100,78.0436481643501,3807.09141640365,992
"2083/2084",2084,120,120,100,73.3376309814848,2907.32637498528,1417
"2084/2085",2085,121,121,100,79.7793953561759,3047.9390817862,1045
"2085/2086",2086,120,120,100,75.4941372643425,2964.44525022153,1251
"2086/2087",2087,120,120,100,77.7821559815711,3105.0946302861,1117
"2087/2088",2088,120,120,100,80.993248693756,3153.23728528898,904
"2088/2089",2089,121,121,100,77.9202139619483,2306.22842002846,1216
"2089/2090",2090,120,120,100,70.9121770593938,3174.86539352406,1311
"2090/2091",2091,120,120,100,82.360828627694,2970.28216329869,909
"2091/2092",2092,120,120,100,79.4718938016067,3578.65337403957,911
"2092/2093",2093,121,121,100,83.217808884172,3058.27012941148,924
"2093/2094",2094,120,120,100,79.4251134422593,4854.60358661134,746
"2094/2095",2095,120,120,100,78.1123708369068,3619.86196801066,1019
"2095/2096",2096,120,120,100,75.7589921595936,2549.57528234553,1252
"2096/2097",2097,121,121,100,76.2727114069385,2684.54640629049,1268
"2097/2098",2098,120,120,100,72.2523173696263,4282.24837346096,1178
"2098/2099",2099,120,120,100,71.3333849289156,2750.13993074093,1298
"2099/2100",2100,120,120,100,75.8872876207442,3904.26614562888,1059
