"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.8789690316352,4093.65305548929,987
"2002/2003",2003,120,120,100,71.447980095361,5416.81857546433,980
"2003/2004",2004,120,120,100,70.1869396323152,3512.44300073999,1273
"2004/2005",2005,121,121,100,73.1624136472006,3169.85747839435,1269
"2005/2006",2006,120,120,100,78.0303132874216,3445.03546855546,1127
"2006/2007",2007,120,120,100,66.8686448032673,3095.91213462164,1488
"2007/2008",2008,120,120,100,80.5668563173193,4228.59903752309,729
"2008/2009",2009,121,121,100,67.2360955728734,2563.60067831981,1665
"2009/2010",2010,120,120,100,78.600139318756,3625.72951405437,982
"2010/2011",2011,120,120,100,69.7912183097035,5697.30601534445,1118
"2011/2012",2012,120,120,100,80.2759624818937,4241.80494218087,836
"2012/2013",2013,121,121,100,71.0045193975284,3221.11399687349,1302
"2013/2014",2014,120,120,100,77.9948689201062,4278.33235889522,979
"2014/2015",2015,120,120,100,72.6182833889568,3060.27417209547,1174
"2015/2016",2016,120,120,100,74.3368745002308,5250.47531364276,1054
"2016/2017",2017,121,121,100,74.5478200292716,2815.46256210969,1350
"2017/2018",2018,120,120,100,73.7081383116754,5142.81888232299,957
"2018/2019",2019,120,120,100,80.1528649043742,5288.41049802583,667
"2019/2020",2020,120,120,100,75.1669273703619,3715.95305722696,1146
"2020/2021",2021,121,121,100,72.4765156092917,4034.07024844969,1266
"2021/2022",2022,120,120,100,76.1029670576436,3024.15073965071,1035
"2022/2023",2023,120,120,100,74.7358581967815,5131.751750845,872
"2023/2024",2024,120,120,100,75.4697926011245,2679.57883785618,1341
"2024/2025",2025,121,121,100,76.7545775816816,6136.30724997493,888
"2025/2026",2026,120,120,100,73.5283174898436,4886.68110749545,1062
"2026/2027",2027,120,120,100,64.857160151832,2991.24225153751,1453
"2027/2028",2028,120,120,100,74.1181333060663,6963.66017709952,754
"2028/2029",2029,121,121,100,74.9498046681992,1376.20816670428,1469
"2029/2030",2030,120,120,100,74.45765376705,4343.93964440096,1061
"2030/2031",2031,120,120,100,59.7855265716944,4039.09270438273,1602
"2031/2032",2032,120,120,100,70.8363544865024,2297.22476546234,1461
"2032/2033",2033,121,121,100,80.2838696358617,4624.18153498019,931
"2033/2034",2034,120,120,100,70.0152156493955,3546.52314626309,1328
"2034/2035",2035,120,120,100,78.0599193584153,3597.67786595202,987
"2035/2036",2036,120,120,100,73.2949005236906,5077.98046667199,977
"2036/2037",2037,121,121,100,72.8364265641239,4179.5840865341,1106
"2037/2038",2038,120,120,100,78.6778430610875,3514.883154321,916
"2038/2039",2039,120,120,100,80.5386604415098,3886.25323027465,1000
"2039/2040",2040,120,120,100,71.8575078850672,4369.61202635057,1210
"2040/2041",2041,121,121,100,72.6420666119002,4461.95571384393,1172
"2041/2042",2042,120,120,100,72.718717161345,6900.50573609257,738
"2042/2043",2043,120,120,100,77.2927244071498,4499.33555570804,990
"2043/2044",2044,120,120,100,69.3314239197261,3736.66316688899,1275
"2044/2045",2045,121,121,100,79.3099524611416,4335.59377394384,960
"2045/2046",2046,120,120,100,71.4699709030474,1914.53821207955,1378
"2046/2047",2047,120,120,100,79.1403057807174,4040.74767749337,906
"2047/2048",2048,120,120,100,74.7691930354631,5438.4892508951,903
"2048/2049",2049,121,121,100,76.3168255123674,2976.11181850592,1207
"2049/2050",2050,120,120,100,74.2690170047772,3243.9002602431,1183
"2050/2051",2051,120,120,100,77.8799978853749,2011.73344756011,1222
"2051/2052",2052,120,120,100,69.0429880511056,4778.75006124331,1220
"2052/2053",2053,121,121,100,73.7084443382182,6338.21383221122,890
"2053/2054",2054,120,120,100,70.2428836748031,5680.93884027144,1088
"2054/2055",2055,120,120,100,76.5914356187041,4345.78606803063,968
"2055/2056",2056,120,120,100,79.0642143426139,3217.7225466948,1020
"2056/2057",2057,121,121,100,72.0102838706453,5774.21028189361,901
"2057/2058",2058,120,120,100,78.506152763066,4038.27083526272,1053
"2058/2059",2059,120,120,100,75.6041497129299,3436.62222578237,1202
"2059/2060",2060,120,120,100,72.6384268008323,3152.74038533634,1232
"2060/2061",2061,121,121,100,67.9054107174015,4080.38612415642,1252
