"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.6581769582063,4752.21520317599,837
"2002/2003",2003,120,120,100,75.2228307208753,5620.50149587005,765
"2003/2004",2004,120,120,100,73.7590182193206,3629.48117429912,1218
"2004/2005",2005,121,121,100,75.0816412252872,3328.69235711073,1130
"2005/2006",2006,120,120,100,80.5250362194845,4122.12967709044,945
"2006/2007",2007,120,120,100,69.4614912948343,3279.42038385535,1369
"2007/2008",2008,120,120,100,82.9591645979084,4904.63836029585,573
"2008/2009",2009,121,121,100,68.7898389701058,2570.29515120678,1537
"2009/2010",2010,120,120,100,82.7132084844934,3845.68968532333,821
"2010/2011",2011,120,120,100,75.7318860978423,5788.1945856876,896
"2011/2012",2012,120,120,100,79.8582041864177,5241.74451784976,696
"2012/2013",2013,121,121,100,73.4455779309499,3595.79036894138,1153
"2013/2014",2014,120,120,100,76.3408758111339,4818.18023373908,871
"2014/2015",2015,120,120,100,78.5086883387548,3074.73339663097,998
"2015/2016",2016,120,120,100,76.3920076245095,5520.87017881544,875
"2016/2017",2017,121,121,100,78.4315606566329,2854.80220758263,1129
"2017/2018",2018,120,120,100,76.6089861134624,5614.98662395054,770
"2018/2019",2019,120,120,100,82.074066403316,5781.97226888698,450
"2019/2020",2020,120,120,100,77.0997821514611,4064.40668892115,980
"2020/2021",2021,121,121,100,73.8556628968354,4540.24696186092,1154
"2021/2022",2022,120,120,100,77.7853087115391,3613.15646555601,834
"2022/2023",2023,120,120,100,72.9298592905284,6308.15572063252,739
"2023/2024",2024,120,120,100,77.3712922666468,3069.128534402,1123
"2024/2025",2025,121,121,100,77.3511766813285,6681.60248532542,744
"2025/2026",2026,120,120,100,77.6857385445155,5054.30638873088,893
"2026/2027",2027,120,120,100,67.2731404091169,3435.70472615375,1385
"2027/2028",2028,120,120,100,76.752587608938,7332.70697714482,555
"2028/2029",2029,121,121,100,78.6321690819368,1551.27483192389,1250
"2029/2030",2030,120,120,100,76.6510943532003,4807.3846449377,859
"2030/2031",2031,120,120,100,63.5079914974185,4133.9460447384,1486
"2031/2032",2032,120,120,100,74.9434455027263,2437.05674203392,1256
"2032/2033",2033,121,121,100,82.1823594513858,5226.52096807864,755
"2033/2034",2034,120,120,100,71.9350362225159,3523.85590340476,1168
"2034/2035",2035,120,120,100,79.9938882091251,4204.91579737444,756
"2035/2036",2036,120,120,100,77.3394900400972,5375.06912462879,815
"2036/2037",2037,121,121,100,77.0316541233337,4489.56212517503,910
"2037/2038",2038,120,120,100,81.9163893254427,4228.39747220697,727
"2038/2039",2039,120,120,100,83.4280020872775,4350.25900676381,832
"2039/2040",2040,120,120,100,73.8242773407501,4625.86072138883,1025
"2040/2041",2041,121,121,100,74.5639560371628,4804.97900895262,983
"2041/2042",2042,120,120,100,76.9938482315165,7251.6705776467,511
"2042/2043",2043,120,120,100,78.6989059828675,5254.07360831648,859
"2043/2044",2044,120,120,100,75.9160780957791,3709.57909562532,1065
"2044/2045",2045,121,121,100,82.7212470502036,4482.06802318105,741
"2045/2046",2046,120,120,100,76.569363787984,1854.53138845693,1241
"2046/2047",2047,120,120,100,80.2615415104683,4539.95193875488,706
"2047/2048",2048,120,120,100,75.5115536090434,6009.05162783153,746
"2048/2049",2049,121,121,100,79.2947993496764,3456.59671906522,1037
"2049/2050",2050,120,120,100,79.2181184240017,3280.57760777883,903
"2050/2051",2051,120,120,100,80.5598532024778,2317.57928716857,983
