"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,59.8937273955057,329.363183537059,70.7256233681879,78.7369662375289,101.053904144553,1431.98950551598,1165.5,1093.54313163802,1312,1146,1093,1129.5,78.4770229117856
"2002/2003",2003,120,120,100,50.458876941386,350.571950967528,69.6235512122624,62.2788385046858,96.9772430189491,1372.8481137823,1059.5,896.583997418998,1237.5,1016,1130,964.5,73.3965435909431
"2003/2004",2004,120,120,100,41.0351125418595,246.320625736179,91.8990495893937,56.2715782800468,95.9134551575443,1236.13734047993,999,901.022689077085,1129,954,980,942,71.1283154693075
"2004/2005",2005,121,121,100,47.2793263284831,275.239972491261,83.4024331976945,66.1373913316333,100.589341461103,1276.98398429127,967,858.827269817739,1162,925,1053,903.5,73.674426592188
"2005/2006",2006,120,120,100,46.4773657960806,315.290480321908,69.3651017028784,67.4784661785662,103.027217909222,1367.72076378369,1117.5,977.325356148162,1255.5,1057,1112,1042,79.407374803009
"2006/2007",2007,120,120,100,30.7346309145725,206.939867064503,93.9739606855467,49.4285364954588,96.6046768344889,1036.13538353343,803,687.259245638808,944.5,746,835,734.5,65.4368708779083
"2007/2008",2008,120,120,100,60.1360424101651,354.908735801485,65.5739507446819,80.5080748358077,102.954040898821,1660.84701650347,1378,1194.00826775024,1553.5,1292,1370,1273.5,81.8209399515256
"2008/2009",2009,121,121,100,30.1177534001722,196.270309810253,103.163026165966,47.4113443176413,94.8692486857175,984.453482327874,759,676.89513370597,894,726.5,771,718,65.7428467316239
"2009/2010",2010,120,120,100,60.1269041954117,324.569337813826,70.3970360370623,80.0875929189425,103.216472646298,1481.28337010348,1176,1012.52666500393,1347.5,1108,1222,1085,80.3763508655976
"2010/2011",2011,120,120,100,36.3433883263529,291.752433047397,71.0408768797401,54.8076988658074,97.9750420767089,1282.62372020144,1034.5,854.702133261503,1157.5,984,1045,921.5,72.8554456961592
"2011/2012",2012,120,120,100,56.0147423617904,357.571807584434,66.0840829432862,70.6852285597355,100.213693597535,1583.84011659776,1317.5,1144.9751351737,1465,1270,1306,1246.5,79.3595238921212
"2012/2013",2013,121,121,100,43.3152952488921,261.935166335859,91.7554435966037,59.3404873284935,97.2119644367929,1261.60735620911,980,857.047905465954,1136.5,941.5,1052,913,69.7226998492852
