"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.2732172069725,338.049171558696,69.072382966594,78.685380805694,100.458700887612,1461.66378304446,1205,1121.87050132367,1326.5,1179.5,1073,1159.5,80.3750916930022
"2002/2003",2003,120,120,100,51.1503924602665,354.045582073958,67.964503117724,64.1297686658692,97.2206805132707,1447.38526949655,1134,959.396696645821,1294.5,1093,1219,1032.5,72.729381453742
"2003/2004",2004,120,120,100,40.9368734948527,245.787742277695,88.9265464138328,56.4055964637644,96.7657972099153,1253.83118168498,1035,929.216617503202,1152.5,990.5,992,975,72.0692408402068
"2004/2005",2005,121,121,100,48.382712288497,281.099514925199,81.21288687084,67.8916263753314,101.28252936168,1303.73359051775,993.5,874.348502382657,1188.5,934,1053,910.5,73.4178264436703
"2005/2006",2006,120,120,100,48.0690011385781,326.911735472846,68.219734210907,67.2222211678399,102.154016147448,1412.77484575818,1169,1013.55008918817,1303.5,1095.5,1140,1081.5,78.6335911625099
"2006/2007",2007,120,120,100,30.22068957766,210.625062503453,91.3515920423091,49.2349533118332,97.6264406678097,1073.67643562505,829,717.518308468794,990,780.5,865,770,68.0816465248704
"2007/2008",2008,120,120,100,62.1433384636417,361.793233392572,64.3421973444128,80.5037074074526,101.837970736906,1695.78368979942,1418.5,1241.44526242415,1583.5,1346,1402,1320.5,83.2713641455357
"2008/2009",2009,121,121,100,34.5142033282576,209.811786815161,100.536215590714,51.2734958696233,95.9846147055789,1019.57748996573,765.5,682.929607939164,922,732.5,817,722.5,66.4364090079969
"2009/2010",2010,120,120,100,65.3819681051618,338.494212340391,68.6335303962115,83.3500860433557,103.064923837137,1546.22385824124,1246,1090.74540260046,1424.5,1177.5,1272,1160,79.0839712223453
"2010/2011",2011,120,120,100,42.0557072444917,316.802131150404,69.5370656542105,58.9277894335009,97.9695784402048,1346.96955120064,1090.5,913.178254535009,1215.5,1036.5,1106,983.5,74.6181405325353
"2011/2012",2012,120,120,100,54.1054283080284,361.595484406291,65.0700791845644,68.7235169665412,99.278584242502,1610.49744921816,1350.5,1167.92275516206,1485.5,1303.5,1328,1276,80.5809309784938
"2012/2013",2013,121,121,100,45.1480027330159,263.500468158044,89.4850167966808,60.2391214311597,97.1397997743587,1294.75339498417,1011.5,895.042547128231,1150,975.5,1041,948.5,70.9016168864787
"2013/2014",2014,120,120,100,48.2191795165976,312.077005791139,73.8794780302494,62.3191715513168,96.8372866114595,1467.91872063035,1221.5,1072.06321373514,1362,1171.5,1182,1146,77.1632860647667
