"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.7872695141804,347.522224271317,66.3436315558575,75.6887216576234,98.1346507745712,1520.23295413261,1286.5,1194.27352749262,1397,1252,1122,1222.5,80.4598113447406
"2002/2003",2003,120,120,100,56.2690459651787,370.45664231799,64.7742538797408,66.7224931794533,96.1610960183123,1589.82039080825,1305,1092.0837911487,1420.5,1263.5,1327,1196,74.7351925916033
"2003/2004",2004,120,120,100,42.9195944813202,253.506157056315,84.2887844334856,58.7094634488449,97.7087046997028,1333.73804432295,1107,998.303378926051,1221.5,1075,1038,1051.5,74.0547956006316
"2004/2005",2005,121,121,100,51.005590516413,296.339191551384,77.7207785030671,70.3312393813384,101.465644963199,1415.62670890819,1098.5,959.155860327363,1285,1040,1168,1015.5,73.97300387298
"2005/2006",2006,120,120,100,47.4287467019292,340.997090858701,66.0473946645086,64.1509007319917,100.364136915258,1515.30196594913,1265.5,1111.41150921591,1389,1221.5,1220,1199.5,78.7616243420913
"2006/2007",2007,120,120,100,32.0640168309808,228.345359314856,87.1899719387451,51.7668544854561,98.5831929386834,1172.63042477031,917,785.653497420088,1072,859.5,957,842,70.7641957742055
"2007/2008",2008,120,120,100,63.0383579694026,369.503692239211,61.8268643006883,76.6224644253323,98.8504394638091,1805.40813590652,1576.5,1382.23271823516,1686.5,1505.5,1454,1475,80.9735068985732
"2008/2009",2009,121,121,100,36.5791074672554,223.978950783899,96.3306765055785,52.1704760656908,96.643290288332,1122.76502199921,857,755.904306558427,1021.5,821,897,804.5,67.1599765341097
"2009/2010",2010,120,120,100,68.2053902013663,359.313784838241,65.864310349776,81.3825376017795,100.995513434774,1675.1755720169,1400.5,1236.33809879784,1559,1340.5,1366,1321.5,81.3732490933345
"2010/2011",2011,120,120,100,48.2649057884663,342.116457126434,66.8692180371434,61.8696775801729,96.9284443224059,1475.90052224092,1206.5,1007.94130648025,1340,1157.5,1210,1098.5,74.7855860616705
"2011/2012",2012,120,120,100,50.4125861444012,355.862187892592,62.9011440828486,63.115449322182,96.3226311074764,1687.54704282432,1458,1270.0034819266,1557,1420.5,1363,1377,79.6722211156089
"2012/2013",2013,121,121,100,45.7535420873668,271.544342327989,85.3284296386006,60.1339051561416,97.0978978201696,1381.42673687193,1084,980.854086427551,1239.5,1060,1094,1031,73.3713375713635
"2013/2014",2014,120,120,100,48.7161416423338,320.821112957423,70.8284084657672,62.8132547235393,96.4870393082455,1550.59849068988,1297,1149.1375763181,1430.5,1253.5,1250,1217.5,78.1992371893214
"2014/2015",2015,120,120,100,52.2174547538255,288.609689262845,75.5552726999864,72.9659464943815,103.766300619516,1561.00513906168,1237,1018.66689581287,1453.5,1139,1380,1118,77.5441089177511
"2015/2016",2016,120,120,100,52.0353278980631,359.440317119169,66.2106783626761,65.361757659603,97.7686961339422,1508.96393066814,1230.5,1039.79257550436,1369.5,1189.5,1244,1126.5,76.5122485585216
"2016/2017",2017,121,121,100,50.9677757511962,297.636177629745,74.8026002156133,76.8463469800013,106.200507063156,1452.02412318886,1103,929.946567835122,1327,1012.5,1249,999,78.1952958970849
"2017/2018",2018,120,120,100,64.2443490276032,354.387030705158,66.2409796182796,74.0306512904505,97.3188151024034,1544.71950389573,1290,1096.77805348149,1448.5,1198,1268,1153,78.1357979243494
"2018/2019",2019,120,120,100,70.1409264052981,388.738140706823,58.516449125112,77.2445344117745,96.3359843419427,1831.84174046707,1629.5,1445.4086178768,1726.5,1561,1452,1541,83.2729171526576
"2019/2020",2020,120,120,100,52.4191010320447,317.851042594773,71.3752355396163,67.4014817215584,98.7579706602896,1501.76983527862,1268.5,1115.49331745642,1387.5,1202.5,1218,1179.5,77.3202497436387
"2020/2021",2021,121,121,100,43.1988021044268,298.888145311255,73.5378888516251,57.3882522204886,97.0446327122754,1366.15827153501,1090,989.194570768778,1194.5,1090,1053,1027.5,75.0161201004876
"2021/2022",2022,120,120,100,57.213331013602,315.125681049239,74.1855610758677,68.5066027096829,97.4923096007304,1636.00029833122,1403.5,1267.65679331996,1517,1355.5,1288,1341,78.0715149788675
"2022/2023",2023,120,120,100,46.0545091310706,328.526787676885,63.6357485616402,58.9557007949065,94.6927375690315,1554.27773749574,1273.5,1102.71697208866,1344,1275.5,1258,1175,72.5402590345038
"2023/2024",2024,120,120,100,52.1684006501839,318.237233000014,71.1732579452972,71.764026054336,102.858071373372,1457.493983354,1130.5,1002.74224092974,1339,1096.5,1179,1072.5,76.7288367041342
"2024/2025",2025,121,121,100,59.7190673743372,358.690279470182,59.6476476656132,74.6565004639623,98.047288932671,1586.42857793254,1265.5,1123.4853965753,1363.5,1279,1228,1182.5,79.8904825545474
"2025/2026",2026,120,120,100,53.6539385891904,338.223331586684,65.8693753867604,68.8388098296075,99.461821881664,1500.41344387448,1215.5,1063.15221049655,1379.5,1152,1179,1124,78.0453413353794
"2026/2027",2027,120,120,100,31.3504130701298,209.854377761095,93.4435135579045,51.4915037754624,96.498870898865,1207.87588094934,910,787.31689057415,1079,900.5,988,858,66.2932321335702
"2027/2028",2028,120,120,100,49.9476575140804,388.696778343216,57.9790680426955,59.6939917438914,93.4882822777453,1694.37305546805,1373,1203.34064502234,1500,1390.5,1345,1287,77.5925874540621
"2028/2029",2029,121,121,100,53.2669029321077,265.4564048063,81.4703335714558,76.1347707038783,105.584266007039,1466.41852325242,1156.5,1018.6475418835,1352.5,1093.5,1242,1093.5,77.1078986194902
"2029/2030",2030,120,120,100,52.9210698159654,323.542596591852,68.4968566254414,67.9304956347843,97.8749577416193,1596.84755500125,1303.5,1133.17605498202,1427.5,1281.5,1304,1220,76.9402426176639
"2030/2031",2031,120,120,100,27.2286754773223,225.040727914931,91.6913211794785,42.8516916031285,93.4310927309208,1033.0966368388,785,639.248268815819,889.5,758,838,697.5,63.224215737303
