"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,62.6366877682544,346.951605902257,68.4561612148151,74.3530784539391,96.3511993208451,1647.94101085996,1379.5,1303.0337281835,1525.5,1367.5,1235,1344,81.361225346465
"2002/2003",2003,120,120,100,48.1452891296785,324.574657664724,67.2387846846521,58.2995163419854,94.180232487877,1605.37336383476,1319.5,1158.26891947478,1430.5,1288,1298,1227.5,75.3017273637281
"2003/2004",2004,120,120,100,43.1582301045243,241.144933937226,87.5454605253085,57.1008489062753,95.0022356293547,1433.43460598247,1209,1090.71592522459,1325.5,1167.5,1136,1149,73.0070933589004
"2004/2005",2005,121,121,100,54.5477212678664,301.263625911308,79.9375216519796,70.7089683919257,99.3089368293153,1592.41715387197,1255,1083.94513860522,1477.5,1176.5,1349,1153,76.8517670955814
"2005/2006",2006,120,120,100,50.2221456856177,327.032537294396,67.9705609949693,68.2397419334304,100.714624809935,1603.64975219569,1340,1177.40080407113,1490,1271.5,1283,1252,81.2875198907158
"2006/2007",2007,120,120,100,33.6824922052773,216.503636947334,90.1789198167044,51.71632773227,96.7873652442686,1280.49869459439,1017.5,863.378065266198,1176,946.5,1034,930.5,69.8769366675792
"2007/2008",2008,120,120,100,65.9687969457421,353.504442070016,63.0128235664348,79.3454485909786,98.8350571696467,1881.76221222409,1656,1457.3032929164,1781,1591,1541,1565.5,84.5450762090811
"2008/2009",2009,121,121,100,39.3049822654076,218.148590462683,98.4105472376946,57.2819869439733,97.1109487191109,1193.28299128074,907,793.644016450816,1078,849.5,963,835,69.1148836892656
"2009/2010",2010,120,120,100,68.2186994600371,348.924299156929,68.1985055305432,80.0871275656957,99.9161170127216,1807.9132361319,1489.5,1306.80621136954,1686,1427.5,1527,1404,83.0248847185735
"2010/2011",2011,120,120,100,42.4108887811178,306.164445462451,68.8901728480117,59.0701702477185,96.5921792309699,1535.06070314471,1289,1081.06974369489,1410.5,1246.5,1262,1184,76.052779699233
"2011/2012",2012,120,120,100,52.7003843661993,345.386099038512,64.1530272877293,64.2987460571839,96.3824754807819,1789.94857102038,1551.5,1390.78929011147,1657,1520,1417,1494.5,82.2517515052912
"2012/2013",2013,121,121,100,46.8934328417064,267.949417797377,88.3731324070784,59.5524609495281,95.5530716861102,1501.61888894717,1213.5,1069.79748934311,1360.5,1183,1203,1152,73.4872257176055
"2013/2014",2014,120,120,100,48.1518909444719,293.550576366765,72.547885784657,60.2495731799796,94.6678298061845,1651.30349873204,1442.5,1275.6045230785,1545.5,1398,1331,1367,78.2813370359574
"2014/2015",2015,120,120,100,49.190119919223,275.138619711202,77.9007621029706,67.0455917377211,101.11862363513,1649.85643815508,1367,1141.77544490694,1557,1286.5,1461,1264.5,78.110621701205
"2015/2016",2016,120,120,100,48.304772085302,329.274322782017,68.6994984823059,59.0735218647373,94.8973745084418,1591.27212134337,1334.5,1155.34190457415,1451,1296,1294,1234.5,78.0430554802795
"2016/2017",2017,121,121,100,48.6148679255746,284.792367606781,77.474149980232,72.0961674472122,104.078073437834,1536.55464928528,1178.5,992.266481310881,1408,1105,1306,1088,77.9569727844739
"2017/2018",2018,120,120,100,61.032259833058,342.474870815929,67.8322928023886,68.9057762223092,95.1385281454491,1658.56073797133,1415,1229.40356869393,1546,1356,1355,1318,77.5521489507294
"2018/2019",2019,120,120,100,61.0810629815582,359.896339248634,60.1726795131426,70.021693179816,94.8280705601007,1884.20109011696,1706,1516.89919499796,1779,1637,1505,1616,81.5646302091454
"2019/2020",2020,120,120,100,51.0621522944605,304.23846929271,73.3325754403044,65.3037283940274,97.6657164409066,1589.66065661995,1351.5,1195.55324884948,1469.5,1303,1294,1282.5,78.4886215735451
"2020/2021",2021,121,121,100,41.3632389423123,265.544139191912,75.3710236386911,55.0770062274266,96.5541705286402,1432.70250945865,1186,1077.79177136398,1278.5,1187,1092,1128,75.2456856969884
"2021/2022",2022,120,120,100,58.4281156534524,307.665752289718,75.8452793945662,70.3759490972186,98.5420989263975,1750.86318899194,1451.5,1325.42783240068,1608,1414.5,1387,1407,79.1465889261976
"2022/2023",2023,120,120,100,48.0228908152196,329.922291712274,64.9839591066201,59.602568441108,94.02951879704,1708.30035580233,1448.5,1251.50787520323,1520.5,1442.5,1418,1359,76.0210305251853
"2023/2024",2024,120,120,100,52.6630920490279,301.495876333979,73.3378378394122,71.1783157276597,101.960634527629,1580.26075372915,1272.5,1105.01514055276,1452,1206,1322,1189.5,78.0978513585146
