"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.4636513362533,374.784556438932,63.7014069890787,71.7574790072814,95.4356016944991,1574.42829019885,1357,1238.48150192094,1455,1318.5,1176,1279,79.1476210021327
"2002/2003",2003,120,120,100,49.0665559800369,390.555436769926,62.3253287885422,57.4636977115641,93.3292813841599,1643.0741616529,1361.5,1122.03642549755,1471,1330.5,1360,1249.5,72.6884689786591
"2003/2004",2004,120,120,100,43.1697791294936,279.184032300305,81.7950483569127,55.6055472781891,94.8962231346444,1387.40554412327,1170,1036.63159601008,1272.5,1131.5,1086,1103.5,73.6275868265152
"2004/2005",2005,121,121,100,50.7937350288736,317.024036948352,75.2606085863778,67.0865200187853,98.7385522520157,1503.2180374866,1209,1043.04570860539,1349,1147.5,1198,1114.5,75.58393570905
"2005/2006",2006,120,120,100,51.276140952028,364.108954048955,62.9603264577859,67.1338116429132,99.1053565546108,1588.53486656905,1335.5,1184.65952907541,1462,1286,1277,1259,80.1181601521498
"2006/2007",2007,120,120,100,39.2411423735481,249.914508094573,84.1593036899036,56.4315058115315,97.5105580532845,1268.16690911847,1009.5,857.201791023447,1164,954,1047,924.5,70.5783290620188
"2007/2008",2008,120,120,100,60.8158779716718,382.521854703908,59.266978301351,71.2140208053668,96.278772039242,1854.33738935747,1669.5,1460.59337577041,1754.5,1605,1519,1573.5,81.5511277293438
"2008/2009",2009,121,121,100,33.7558071446455,228.622415219764,93.4213026521768,49.3115260250851,94.7924147549731,1164.03501517291,922.5,813.166746130897,1047,887,918,863,69.3678291627269
"2009/2010",2010,120,120,100,62.8292308562153,372.836406385504,63.7385908544842,72.979078023526,97.5126319877833,1718.35399215287,1443.5,1255.34982751874,1562.5,1404,1396,1359.5,79.7402411757912
"2010/2011",2011,120,120,100,45.1498973303834,325.032351724666,64.4122545369085,58.72910878633,94.809623729642,1487.37366800906,1183.5,989.689933334815,1300.5,1206.5,1191,1082,73.1421714177791
"2011/2012",2012,120,120,100,49.7864486352326,364.318559781251,59.9478553391367,60.2638710029613,94.55285723656,1739.72501900805,1529,1348.58024454396,1610,1508,1371,1449.5,82.7700337686922
"2012/2013",2013,121,121,100,43.5612976403511,285.572796429671,81.8572737246525,57.262452845919,96.2060362478278,1455.93413986925,1182,1044.10585874683,1309.5,1145.5,1173,1103,75.6903828196816
"2013/2014",2014,120,120,100,47.0712439928397,331.16655097091,68.0731641189137,58.313188083076,93.9862889568878,1604.53047906033,1415.5,1244.98771873891,1498.5,1350.5,1282,1315,79.6533394666944
"2014/2015",2015,120,120,100,54.8224887358323,301.653407255266,72.738412195286,72.0231453439868,101.3494364779,1643.59309037125,1323.5,1117.07893124774,1503,1261.5,1426,1226.5,78.4609576031082
"2015/2016",2016,120,120,100,49.8211877692792,366.048565901252,63.8952544544693,60.1455270114871,94.8612797608489,1546.32206477477,1291,1091.58076666407,1406.5,1259,1243,1183.5,77.1272922685596
"2016/2017",2017,121,121,100,55.3786397990476,327.073186755622,71.8477451807067,76.4634271175298,104.236459664034,1534.818750822,1207,1015.86243954193,1413.5,1132,1287,1110.5,79.402830365377
