"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,62.087196865207,344.191079636085,68.3243998891407,77.7707192615333,100.104831653054,1493.86978953407,1227,1150.18884960266,1373.5,1216.5,1135,1201.5,79.8618264536873
"2002/2003",2003,120,120,100,54.8089664382941,369.034187431281,67.1157805461474,65.8881206659865,97.0769918955668,1508.00059087087,1221.5,1002.78095924813,1366.5,1132,1295,1077.5,75.7255082925964
"2003/2004",2004,120,120,100,43.2619283049506,253.331351688161,87.8978918788762,56.9235609470913,96.6069998889549,1281.89174610446,1055.5,935.477873250404,1178.5,1008.5,1027,999.5,73.2946518868563
"2004/2005",2005,121,121,100,46.2538688719515,284.183608495591,80.7218619774101,65.8303067365905,100.873299066104,1327.6975566469,1036.5,898.486989350067,1216.5,975.5,1094,953.5,72.9545082405709
"2005/2006",2006,120,120,100,49.5016462678333,335.467569516244,67.8643620167196,67.6252821946007,101.548127216793,1443.94581784269,1177,1044.32871679647,1333.5,1121.5,1183,1104,78.4332975073122
"2006/2007",2007,120,120,100,34.7999966699499,216.447270821314,90.3275724708357,53.112954241857,97.9343960198198,1121.21148469524,876,753.046040043112,1038.5,815.5,928,804.5,67.9867983000325
"2007/2008",2008,120,120,100,61.8552825401229,368.970621469297,63.9589736352476,77.0077106102185,100.676742581645,1736.90264640921,1483,1288.86369925275,1643,1395.5,1450,1380,82.9391392386904
"2008/2009",2009,121,121,100,32.6901708471617,210.807547979881,100.621339149454,47.1803948221336,94.36632622346,1029.25371132309,803,710.729329134448,933,758,808,746,65.5889875657595
"2009/2010",2010,120,120,100,61.2780432500784,343.127436154929,68.5250771560947,78.0759832732371,101.641375372735,1570.43479926257,1274.5,1103.33569130764,1445,1206.5,1306,1178,80.2943549094222
"2010/2011",2011,120,120,100,41.6170810565462,307.208620160663,69.3844977621935,58.6880809903601,97.3130811062485,1369.14382264389,1099,903.334038196839,1226,1058.5,1116,982,72.1450151456147
"2011/2012",2012,120,120,100,53.6192510786888,356.783816952982,64.663224221221,67.0419801935385,98.4654470248718,1643.07605878258,1405,1205.03503523377,1533,1341.5,1359,1313,79.3431738162205
"2012/2013",2013,121,121,100,43.4856253688113,264.998075605805,88.1315252560884,58.5673932768791,97.6339568742056,1318.4929232264,1030.5,913.176514312743,1191.5,990.5,1077,962.5,72.728883559128
"2013/2014",2014,120,120,100,50.1148845175917,317.148963550258,73.1716639914545,63.3813358772986,96.8729146154809,1503.82013179312,1267,1127.43070730859,1408,1208.5,1198,1191,77.5384916065448
