"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.1426391642744,341.092799358399,68.6844219179015,76.5965028915989,99.0199560406779,1508.02621796228,1262,1175.8810242463,1390,1233,1101,1212.5,79.9439621793351
"2002/2003",2003,120,120,100,52.5601861233561,362.571541116701,67.0894599968755,63.2314801450385,96.4368905720302,1488.819875371,1162,994.916938371045,1327,1118.5,1223,1063.5,74.6122795412618
"2003/2004",2004,120,120,100,45.0095756207119,260.027478479715,88.3018455267401,59.7570476232367,96.2835395408677,1335.23159920116,1107.5,986.198720890412,1223.5,1055.5,1060,1041.5,73.2266539956541
"2004/2005",2005,121,121,100,51.8165414222148,292.21578774221,80.6690185929611,69.954713250992,100.557208213232,1405.93963805977,1092,944.739923677753,1291,1025,1146,1001.5,74.7706175975767
"2005/2006",2006,120,120,100,50.5508835645267,335.510580150624,67.4695345450171,70.350330558967,102.584739698747,1487.3773294646,1223,1076.80721941956,1386.5,1168,1214,1153,77.7387422266223
"2006/2007",2007,120,120,100,34.2554155591294,225.636188907415,90.6736340325888,52.5501187185069,97.662591506135,1155.58890366272,904,770.12400411157,1069,836,924,823,68.2614869191857
"2007/2008",2008,120,120,100,66.7418326851627,369.374243198474,63.2709309340215,82.6478258058282,101.186397710896,1777.74223373214,1531,1337.235337563,1680,1468,1463,1448.5,83.886217836452
"2008/2009",2009,121,121,100,34.8545968373367,214.716156276244,99.560139523862,53.043686136091,96.4176802903245,1083.75493864088,834,736.804210034443,974,789.5,895,779,67.6950583280179
"2009/2010",2010,120,120,100,66.564197308061,351.441350362817,68.3877183159668,81.2139039333178,101.531748165568,1624.54386842902,1306.5,1133.39837610424,1494,1234,1351,1209.5,80.5191054297173
"2010/2011",2011,120,120,100,42.4111368256721,318.70707150126,68.797952290753,60.7311360093306,98.1890072568623,1407.69916688304,1128.5,934.912064107886,1266.5,1082,1160,1017,72.4906780871715
"2011/2012",2012,120,120,100,55.5385652760093,365.797789324841,64.2084460689553,67.9384912816938,98.2554903265311,1678.34886966503,1426,1258.14644375972,1558,1374.5,1362,1349.5,79.9178795569428
"2012/2013",2013,121,121,100,45.8031877342601,272.604815208772,88.5787879647976,60.5971080210226,97.3843661066064,1368.40163308308,1076,943.892678181156,1228.5,1036.5,1125,1007.5,72.5420037810279
"2013/2014",2014,120,120,100,52.2593163215382,323.468472262954,72.945768337194,65.1088429511062,96.6107334467761,1550.86234673543,1321.5,1154.95685025445,1455.5,1249,1268,1227,77.4583202381632
"2014/2015",2015,120,120,100,49.368866059574,278.560517099077,78.4014282782362,68.7522247232763,102.61004358808,1486.40644390821,1176.5,976.261321998055,1394,1095,1305,1074,75.8404048926971
"2015/2016",2016,120,120,100,51.7541490396818,352.098702167439,68.8329352285539,63.7935136437086,97.2998927902028,1457.03312847715,1186.5,1026.91347952579,1320.5,1143.5,1181,1090.5,76.2043195123231
"2016/2017",2017,121,121,100,45.0361092663122,281.23466530071,77.630167261179,71.0481339816653,105.355987066606,1342.74736142741,1008,857.194000255182,1220,922,1120,911,76.9444238891026
"2017/2018",2018,120,120,100,65.5383304776455,343.066421543496,68.417930591837,75.2691783221385,97.4037757815961,1523.6361309185,1269,1107.86075270344,1401,1201.5,1226,1175.5,78.1400397638199
"2018/2019",2019,120,120,100,66.1532235888053,377.027781830721,60.4491141605047,76.5103846350815,97.6164073978224,1770.84035413193,1549.5,1370.77806780464,1670.5,1471,1429,1453,80.2766711155491
"2019/2020",2020,120,120,100,51.8431598020149,312.282138110207,73.4835990948195,68.2119830066838,99.5311711236306,1464.46510442004,1209,1072.35805059425,1351.5,1151.5,1192,1135,77.05052304322
