"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,63.5407148466213,347.620657731979,68.7741716441377,78.9646277628856,99.8568139804577,1476.78935627932,1206.5,1118.46173553308,1348.5,1187,1093,1165,79.8818401480366
"2002/2003",2003,120,120,100,48.7688808059043,355.156196450829,68.0634435571255,60.7639918787373,95.9850802721674,1443.88724028372,1141.5,937.970851702195,1295.5,1082,1241,1009.5,71.5537769216886
"2003/2004",2004,120,120,100,39.2944287340652,243.662511381256,89.1268568478981,52.7901415508889,95.2349235613879,1230.20909702209,1012.5,902.285226692325,1126.5,980.5,951,960.5,71.4589426224267
"2004/2005",2005,121,121,100,46.3434267045591,284.994576223972,81.4451007452451,64.6535311941126,99.908292939766,1297.19800812047,999.5,874.192332137836,1179,940.5,1055,914,72.3042862818107
"2005/2006",2006,120,120,100,46.8351491859951,326.236774547266,68.1276457895958,65.2029530910272,101.137803294325,1418.83845994993,1168,1018.5916939394,1301.5,1108,1131,1089,78.5505101128427
"2006/2007",2007,120,120,100,30.0872624405439,209.192406361751,91.4824841748614,48.8970264115126,96.8636582482839,1066.53402087278,824,700.222681531888,986,777,858,754,65.8373875348386
"2007/2008",2008,120,120,100,58.6761945741113,360.71153565251,64.3755422444678,75.0023991030752,100.649996754447,1689.58048249845,1419,1225.84857410027,1579.5,1342,1401,1315,80.1148333657678
"2008/2009",2009,121,121,100,32.7949754243242,209.698367948785,100.992197476525,47.8008986168782,94.1627460039461,1009.75519354909,763,684.546718115449,912,732.5,800,718.5,64.5311169551694
"2009/2010",2010,120,120,100,61.7415828289834,335.980209499954,68.4171234808398,79.103120246611,102.082412564403,1546.93391361737,1250,1085.04738138736,1414.5,1194,1288,1163,78.699423244498
"2010/2011",2011,120,120,100,37.2569757330049,302.519339727757,69.9028202204034,54.0897040720377,96.3568997656401,1327.7968112098,1070,876.051421262511,1182.5,1026,1088,945,72.2065522839712
"2011/2012",2012,120,120,100,52.2154519717683,355.063338845551,64.7959222545665,66.4541111990642,98.7474348336315,1630.19295734808,1378,1180.08868987214,1502.5,1333,1351,1293.5,79.5727186423608
"2012/2013",2013,121,121,100,44.798702617725,265.768563424733,89.00259827017,58.3144057340601,96.3114606273894,1297.63215572136,1019.5,903.894989334656,1161.5,995.5,1041,961.5,70.9474278590872
"2013/2014",2014,120,120,100,46.5302023793432,305.607826629445,74.1881222068764,59.2505301523134,95.5885451442317,1458.76501784431,1221,1071.56489444242,1337.5,1184.5,1152,1148,75.2567471790016
"2014/2015",2015,120,120,100,48.4073562425435,276.045072044186,79.3049004702517,69.2142238825657,102.957106554563,1396.0154631381,1083.5,878.362099360328,1289.5,982.5,1211,954,74.1989936694752
"2015/2016",2016,120,120,100,43.1366853743325,336.12849477837,69.603947233629,58.7305606104412,97.5434240700943,1360.60518022316,1090.5,905.218269122976,1220,1033,1107,960,75.4530041824601
"2016/2017",2017,121,121,100,45.1558905634045,276.550694309467,77.7780019060951,70.1051693349176,105.45813121362,1306.27478230392,965.5,824.153548614076,1178,895,1090,882.5,74.2126992272772
"2017/2018",2018,120,120,100,56.0089387726352,338.415007793344,69.6970551510823,69.5298969512424,97.4472211816971,1417.83016604836,1137.5,961.117292636007,1304,1060,1154,1012.5,72.4531979052913
"2018/2019",2019,120,120,100,66.3513816649298,375.655665215608,60.9102943208978,79.6042093413479,98.8984272278993,1742.78413817819,1482,1307.33305919016,1635,1421,1411,1394,81.4744470504827
"2019/2020",2020,120,120,100,44.7569137805294,304.351336820771,74.4972362963752,60.7684853306618,98.0331987076438,1381.74660257381,1140.5,996.719899979668,1287.5,1074,1133,1049.5,73.5352925595685
"2020/2021",2021,121,121,100,40.9344445850936,279.036850887297,76.0670818609188,55.2036316190632,97.4672127064445,1266.13319232811,1020,910.881382439611,1113.5,1009.5,989,946,72.822924265131
"2021/2022",2022,120,120,100,53.3122709344843,309.08669244649,76.4099015672915,68.6792583653812,99.9428531436032,1567.00992730036,1305.5,1138.32465433112,1450,1225.5,1309,1208.5,77.0725929310979
"2022/2023",2023,120,120,100,45.5820381355853,335.854470082884,65.6703425446524,60.0424905741877,96.3323177768746,1498.18327928499,1188.5,1029.02679471407,1299.5,1184,1228,1098.5,74.6266989825876
"2023/2024",2024,120,120,100,43.9496138417295,283.599575899677,73.5588918611551,67.6846887457802,103.717225221636,1312.43179465845,1019,893.443151804244,1186,970,1049,950,76.8618839169371
"2024/2025",2025,121,121,100,49.8629900281818,333.756939475427,62.1688072542478,68.7157939700304,98.8960191108615,1449.31190832875,1132.5,985.048847807,1236,1145.5,1129,1045,74.7073012619121
"2025/2026",2026,120,120,100,41.9252716966175,314.924278843636,68.7166992572885,60.1327918352089,98.9334610502729,1372.69671474895,1105.5,955.631940295749,1240,1047,1087,1014,74.4866303513832
"2026/2027",2027,120,120,100,29.6467415743259,202.876811372895,98.3772725781892,47.0891146139756,94.4934844884767,1112.37630146388,850,735.555887072525,985,834,914,792.5,63.9432394021342
"2027/2028",2028,120,120,100,44.2905678264024,364.51919252874,60.7671041052157,57.9613927414439,94.1580115939959,1552.52162123541,1215.5,1055.37303443382,1350.5,1235.5,1251,1112.5,73.6229793778025
"2028/2029",2029,121,121,100,47.125586312079,240.323327139623,84.1070166922792,72.6468765646767,106.360697035363,1327.57977933719,1008.5,894.796708367827,1216,974.5,1115,974.5,75.3518851446083
"2029/2030",2030,120,120,100,48.0285524608925,304.314852275759,70.9550556831324,64.4172414883096,98.4609670524024,1464.11083017341,1150.5,1000.9347267925,1291.5,1129.5,1169,1072,74.7450823722934
"2030/2031",2031,120,120,100,23.8915421749474,213.567370702099,96.895615767,38.3655526389041,90.6874489048292,948.208042346596,711,582.885019877045,809.5,683,778,617.5,60.9827103137868
"2031/2032",2032,120,120,100,36.5529084641927,238.610890654037,88.3574319176359,57.9033508076429,100.777768468173,1219.42706146937,931,789.197235557274,1111.5,865,1033,850.5,69.7344437211727
"2032/2033",2033,121,121,100,55.3382756402167,344.145448652544,65.1070609927046,71.6000646263872,100.515835937573,1548.39088300674,1283,1155.62496291889,1433,1258.5,1227,1222.5,79.2427346814065
"2033/2034",2034,120,120,100,36.179382895659,238.104756759151,88.3522383449826,53.8318646524702,96.6178720903308,1215.42552282194,955.5,795.016154912599,1109,898.5,982,862,70.8277932380997
"2034/2035",2035,120,120,100,55.2249214632095,326.183799325696,72.6063169762677,72.1288911894236,100.630900691973,1558.64180179122,1210.5,1061.8620873132,1432.5,1157.5,1297,1126.5,75.4394746654407
"2035/2036",2036,120,120,100,44.3422153705009,337.631023704869,68.4486483596044,61.2947714579907,98.3984398785227,1445.50356054331,1163.5,986.683543467025,1294,1100.5,1178,1038.5,75.6624116055314
"2036/2037",2037,121,121,100,47.0812089456091,336.836115357014,73.6028261686243,64.7974704611883,99.7673149976832,1399.92917156759,1098,907.287878900586,1283,1024,1208,980,73.9196997779386
"2037/2038",2038,120,120,100,54.6830010409407,312.710696453026,71.1270856326424,70.7644414081418,99.9670145860275,1654.37829070532,1350.5,1198.71248132042,1488.5,1319,1345,1280.5,78.9416667799078
"2038/2039",2039,120,120,100,54.365273117558,327.561483318727,65.9545241645556,72.238165611863,101.856481657731,1523.61486609926,1269,1137.89039848155,1397.5,1238.5,1214,1214.5,81.5310305060948
"2039/2040",2040,120,120,100,43.8219224030186,344.697222744347,69.6102938263942,61.0536756129982,100.07325008293,1285.48647306567,965.5,802.22023740738,1133,936.5,1051,874,73.8467469782299
"2040/2041",2041,121,121,100,41.8871852437402,307.20556573716,71.2692311148104,62.614423481778,101.222912046593,1344.12660627339,1006,847.631828015827,1168,996.5,1103,916,73.8760901724436
"2041/2042",2042,120,120,100,53.790443397131,378.692772799322,59.0104420457893,66.1008578775058,95.4012195712777,1602.7044397483,1259.5,1093.62810588345,1386,1291,1243,1158.5,76.9599659819196
"2042/2043",2043,120,120,100,59.1867649513156,369.569404387657,62.8877622202568,74.6514284876388,100.116204685646,1459.80454051863,1207,1043.18889036621,1332.5,1164.5,1166,1127.5,79.4550723453704
"2043/2044",2044,120,120,100,40.0243380912968,246.681878162382,80.255686127852,56.598870230806,98.5904788550928,1275.26018187488,1034,911.046953925339,1177,986,988,964.5,73.480370262163
"2044/2045",2045,121,121,100,59.364416041004,370.581612151362,64.1607692472891,78.7708971272085,103.340442438225,1567.14629324594,1270,1118.8255451126,1426.5,1225.5,1244,1192.5,81.1329014775711
"2045/2046",2046,120,120,100,35.1895752098423,224.333444172832,86.2799303896252,59.8017961154956,103.088024531372,1297.70315280174,1017,824.188259834107,1204.5,934,1149,921.5,72.795836942918
"2046/2047",2047,120,120,100,58.6817869020526,358.034353665335,70.3963848779223,71.1429263095243,98.6264507083511,1601.18880906765,1304.5,1139.05783281011,1469,1269.5,1318,1231.5,79.301224895391
"2047/2048",2048,120,120,100,39.8865529329951,307.129419227982,69.3039374642045,57.4728265767942,96.2856497973614,1508.20042187852,1232,1045.09468833353,1331.5,1216,1221,1131,75.7753587342022
"2048/2049",2049,121,121,100,45.7762461823661,306.464414389555,75.6628240525807,65.4598603762382,102.79290232073,1385.33009446631,1090,952.093850136673,1276,1041,1138,1022.5,77.5024837406145
"2049/2050",2050,120,120,100,45.1007618532914,289.305381269129,75.8782647530376,63.3982139096695,101.35146534894,1448.24873551592,1138.5,964.829351392116,1342,1059,1223,1041,77.2203185105236
"2050/2051",2051,120,120,100,48.7559856760405,256.363116765078,79.5859348874738,71.789790810864,104.059742519814,1466.14890427943,1119.5,1020.08000758506,1345,1066.5,1196,1066,76.7065124453547
"2051/2052",2052,120,120,100,33.7780886688815,286.961227588898,76.7723895789083,49.7856124816695,96.3601331153428,1260.50339312677,985.5,834.957690773939,1135.5,951.5,1008,891,69.6398671902052
"2052/2053",2053,121,121,100,48.3092434495975,352.173698100085,66.2279863225968,64.9660322941418,96.4894545670968,1492.09726645495,1160,1002.00114222069,1271.5,1180.5,1189,1071,74.6511132176829
"2053/2054",2054,120,120,100,40.2054894128794,343.26762204843,71.8045993672801,53.8338111578115,93.8396786376631,1315.3119668923,1015,839.416111032133,1145.5,1000.5,1056,898,69.3869328902674
"2054/2055",2055,120,120,100,59.8600520250705,385.086423481508,63.5762515997528,75.0676851012779,101.145861937935,1510.07373901855,1193.5,1042.30009852841,1363.5,1151,1210,1104.5,77.8175172337787
"2055/2056",2056,120,120,100,63.3118178668266,353.361622205874,70.0989671944948,82.1164185937127,102.714483069396,1549.43395953631,1223,1081.14267026895,1422.5,1165.5,1259,1155.5,79.732377686958
"2056/2057",2057,121,121,100,43.7771993019017,335.39860783194,66.9689216085359,59.8655589236452,95.7918453291354,1522.28960238452,1176.5,1017.90383337319,1292.5,1217,1246,1096,73.4464337780237
"2057/2058",2058,120,120,100,46.440276251097,277.260937693608,71.2938048328041,60.1689561396468,97.2862367618538,1465.39260346099,1230.5,1106.43918365146,1322.5,1234.5,1139,1181.5,76.5919907631933
"2058/2059",2059,120,120,100,50.8783420335449,316.501152071116,71.0104558943436,72.4167493411716,103.42988437434,1346.16785933275,1052,921.596479833875,1228,1016,1078,984.5,76.1300058864526
"2059/2060",2060,120,120,100,39.9815826161138,260.839103512899,86.3080912938551,55.2067512384508,96.6124966230663,1321.88327396283,1073,944.210628731031,1235,1001,1045,994.5,73.3796925469496
"2060/2061",2061,121,121,100,42.2187718756589,297.194345609573,79.9893751293672,55.5234079940743,96.4276310993931,1280.2315787246,1001,814.315683743047,1149.5,930.5,1080,881.5,69.4284864696119
"2061/2062",2062,120,120,100,47.4043461474615,359.814727301169,63.3172998938287,57.2018500021544,94.0796859346894,1524.15931787103,1340,1171.56277615969,1392,1299.5,1206,1240.5,79.7288973541763
"2062/2063",2063,120,120,100,39.8320465765513,250.528212666579,80.6032475594429,58.7766032415296,99.9303813774761,1318.31989160832,1004.5,857.952451971269,1198.5,939,1100,912,73.4960892116351
"2063/2064",2064,120,120,100,46.5207342476278,274.061251406702,73.3495286590977,61.4434543266138,96.1027881847562,1347.76229418558,1030.5,862.303812214435,1144.5,1030,1084,928.5,70.1860829721454
"2064/2065",2065,121,121,100,50.9170184909368,292.305450815457,73.3603440771326,69.1943053081374,100.516994594238,1468.26580432735,1230,1133.97902807836,1379,1209.5,1140,1192,79.3485921042793
"2065/2066",2066,120,120,100,33.2684987948216,269.515129042785,77.3069082916079,54.4457177381533,99.6831124992158,1221.84599521913,981.5,813.92544106593,1121.5,906,1011,878,69.891294082835
"2066/2067",2067,120,120,100,50.1379402163587,328.231952453073,70.1198163436745,67.3527930108407,100.834664174655,1419.62020091689,1102,947.445055383665,1275.5,1062.5,1156,1018,74.4101552622351
"2067/2068",2068,120,120,100,37.4734074786872,220.091333228292,90.8791016058036,58.3292858180628,98.7310693235728,1281.1097607275,1009,872.595712890219,1144,977.5,1050,955.5,71.0406133515407
