"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,63.8028681649257,370.942246723748,64.9078541813595,75.601421939894,97.540232289837,1453.3983168628,1202,1103.7605890443,1331,1169,1084,1130,76.7433787513355
"2002/2003",2003,120,120,100,46.150327141092,357.473164211353,64.4196939718201,58.0687759743964,94.2274236600066,1457.49728898183,1148.5,949.158898659768,1260,1129,1233,1024,70.6206870838656
"2003/2004",2004,120,120,100,39.0598643474303,252.025336190381,84.4280280878624,52.7126494246934,94.495648221724,1235.83240019075,1021.5,922.660935476571,1116,1001.5,948,964,71.8504501390618
"2004/2005",2005,121,121,100,47.9433310751561,308.554257049876,76.5534214766747,65.3158824448563,99.3892607871376,1342.85066805157,1054,916.861952027386,1210.5,1003.5,1085,974.5,73.5023123483603
"2005/2006",2006,120,120,100,46.8790901129007,344.541738573482,64.1184450815215,64.0803329774908,99.7794612275526,1413.51527054147,1162,1013.16740818883,1280.5,1127,1106,1089,77.4418664256766
"2006/2007",2007,120,120,100,30.4034538358174,221.899099149986,86.4214244793553,49.3790601719117,96.4452744391825,1092.684006946,847,709.77273782011,985,807,872,760,68.0915009134345
"2007/2008",2008,120,120,100,59.0452274923136,375.455367172655,60.8237503921468,74.3675931612933,98.8968066570928,1679.66951123351,1421,1229.90460186075,1552.5,1364,1370,1311.5,80.0046081220619
"2008/2009",2009,121,121,100,36.0059116601678,228.145769493298,94.82156634699,51.0297741311434,95.1528066400372,1065.97450354681,802.5,712.803119166063,958.5,770.5,848,744.5,67.6894709313981
"2009/2010",2010,120,120,100,65.8848037560505,360.485896816526,64.2125700379319,79.7913865207192,100.98551635158,1568.33098877206,1294,1139.46582791567,1448,1243,1267,1211.5,81.238124470036
"2010/2011",2011,120,120,100,38.4901226185655,320.764361159226,65.5504452066745,54.082169080915,95.2944268345749,1336.02564104536,1106,909.719576776983,1183,1076.5,1078,990.5,72.5218048229437
