"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,62.9325329269998,352.58101780587,68.5466273797699,77.7424794208686,99.0540059204326,1481.9505314562,1212,1122.59213725797,1348,1191,1096,1163.5,77.2365170695679
"2002/2003",2003,120,120,100,45.335748912219,342.069266852396,68.0884111171936,57.6510962018759,94.9346773748091,1427.69018509554,1110.5,935.85406936563,1252,1088,1205,1005.5,73.7851610056379
"2003/2004",2004,120,120,100,37.866274634069,241.532816150759,89.1354419089527,52.4354845680471,94.5284712533696,1233.06581125552,1019.5,916.381014080863,1119.5,986.5,948,959.5,72.5432078298103
"2004/2005",2005,121,121,100,47.0567975614726,288.661094763747,80.9467479328584,64.8280805064363,99.5877972713485,1322.21763182434,1014,895.549026217978,1202,970,1076,945,72.9402499798025
"2005/2006",2006,120,120,100,46.2816703484915,324.487003656325,67.6416419380063,64.8513306344223,100.997020521801,1417.71546452434,1172,1018.26738949509,1305,1123.5,1129,1101.5,78.5380097179766
"2006/2007",2007,120,120,100,29.1460099317643,208.438514259592,91.2381403335545,48.0022781409722,96.3233944461805,1065.70579954086,830.5,695.966333878259,968,767,851,740.5,65.0142308042235
"2007/2008",2008,120,120,100,58.3581127228721,357.641651940683,63.9463748142077,75.9422866717721,100.609977375342,1683.13689844747,1395,1218.1554554708,1565.5,1338.5,1398,1306.5,81.965306676452
"2008/2009",2009,121,121,100,34.1764381549463,212.572438203106,99.8789533306628,49.7946303102358,94.868310958449,1037.34130990264,781,695.629176236466,928.5,748.5,838,733,66.0614525992696
"2009/2010",2010,120,120,100,63.8740073763803,339.423227686121,67.84277984623,80.1388403926266,102.110049646219,1559.57684303929,1266.5,1107.88747475341,1439,1201,1287,1175,80.1819503536927
"2010/2011",2011,120,120,100,35.7157180949897,301.370053314685,69.2704961724375,52.3812008947657,95.9558653950619,1322.39828060774,1088,902.00522352282,1193.5,1053,1088,985.5,71.6851804386602
"2011/2012",2012,120,120,100,52.7714505628442,357.661141448267,64.3209666228306,66.7324814949661,98.534171672181,1624.3818816735,1362.5,1177.43218962062,1481.5,1324.5,1330,1281,79.4366051496447
"2012/2013",2013,121,121,100,44.9331747913809,271.170606493118,89.0807862469576,57.7819905030279,95.6175780143012,1304.02865538684,1019.5,909.750923566759,1178,1006.5,1034,972,71.8501381606422
"2013/2014",2014,120,120,100,45.1291276549357,300.674192042171,73.8461475491907,57.9184234798329,94.6985857383969,1455.0776608017,1215,1055.6762962263,1334.5,1184,1157,1139,75.3221585535612
"2014/2015",2015,120,120,100,48.1325713117763,282.283144038701,79.2380400473268,66.76724364878,101.972248730092,1410.79514184802,1088.5,889.796973093373,1306,1016.5,1239,986,73.8262298876662
"2015/2016",2016,120,120,100,42.6253201873111,331.901353713091,69.6027677306265,57.5637983779465,96.3588910344325,1357.93041186109,1079.5,903.181600033666,1202.5,1040.5,1107,960.5,72.6170102715646
"2016/2017",2017,121,121,100,44.306357696483,282.096480814097,77.6388663003023,68.060937282898,104.306759437372,1311.32224295398,976.5,825.920846534198,1184,900.5,1095,884,73.7076992825375
"2017/2018",2018,120,120,100,55.6076523199227,340.07174697007,69.3840293218156,67.5926933680287,96.6625287661836,1427.33660814943,1152.5,967.337919851869,1296,1082.5,1152,1025,75.6723759698036
"2018/2019",2019,120,120,100,62.71436929428,375.40608578252,60.7255468269413,76.2831489753964,98.2059549551392,1725.4839261344,1465.5,1282.07631166854,1608.5,1395.5,1396,1368.5,79.1956537145231
"2019/2020",2020,120,120,100,44.3554935621077,303.31333319717,74.1759318464774,59.1621353206268,97.4957250685103,1386.11247422657,1145,1001.9385081848,1277,1088.5,1113,1061.5,74.4118872724873
"2020/2021",2021,121,121,100,39.9273122832071,269.892269458731,75.5213364270833,54.8120914443649,97.1694502037499,1252.93068678835,986,908.026354838752,1087,1009.5,954,944,72.5703893762716
"2021/2022",2022,120,120,100,53.7810075787769,314.26178291107,75.6055366921737,69.9229278626346,100.567952160968,1573.35798714803,1286,1131.20077421157,1459,1222,1310,1206.5,75.8301556099677
"2022/2023",2023,120,120,100,45.5803598890947,337.093719331,65.4545539238025,59.9036563947174,95.7470779675592,1498.64034935463,1191.5,1018.18940544507,1291,1188,1218,1092.5,74.3526455842803
"2023/2024",2024,120,120,100,43.4073424778489,284.503010139022,73.317923720349,67.0212985874313,103.25279627472,1306.45076596106,999.5,884.427822202719,1153,980,1029,947,75.4603879402944
"2024/2025",2025,121,121,100,50.5064660990939,332.546317269749,61.7864774176696,69.4254255962887,98.5794563709147,1455.51546448324,1142,980.4783267522,1236,1142.5,1137,1039.5,75.0827063329129
"2025/2026",2026,120,120,100,40.241934984976,309.046951408805,68.4838579067917,56.3432064856947,97.5397398401154,1359.96066898803,1111,965.815019044243,1238,1065,1075,1028,74.0253834516857
"2026/2027",2027,120,120,100,28.9237291274627,194.169624484128,97.7724161827899,47.1821942600603,94.2405850132991,1118.15957255529,844,724.524190795197,981.5,834.5,904,778,64.626142400557
"2027/2028",2028,120,120,100,44.2132537213813,361.882324971266,60.2953447647312,57.3464803774852,93.639332919709,1555.44550541247,1224,1070.49576653357,1338.5,1245,1224,1123.5,74.1389368947152
"2028/2029",2029,121,121,100,46.0467260904803,241.121684033904,83.6291181985035,72.0655669804821,106.559040844566,1329.19996722169,1022,908.123429373722,1217,966.5,1097,966.5,75.4095794140276
"2029/2030",2030,120,120,100,43.6862263307022,291.213225924222,71.0603883046458,60.4601149895638,97.5959366910228,1440.48842791976,1128.5,973.972295750213,1255,1111,1144,1043,72.6749992994082
"2030/2031",2031,120,120,100,22.667298179907,210.457117662271,96.6580039123526,36.6090441464825,89.8843092554278,946.177618536924,706,577.839486053137,781,690.5,759,618.5,57.5275304021966
"2031/2032",2032,120,120,100,35.2637777893529,241.356205294216,88.2015747243487,56.0549702981669,100.139021548144,1224.08312415112,923.5,791.724764083687,1113.5,862,1040,850,68.7573129728557
"2032/2033",2033,121,121,100,56.6020657896738,344.179737109464,64.7487418971885,72.4073938278872,99.9234958800957,1542.6142343851,1276.5,1150.9611492851,1414.5,1240.5,1188,1204.5,81.4277311653696
"2033/2034",2034,120,120,100,37.1030217907083,241.732913083417,87.6163706785339,55.3727366837723,97.0359378088254,1246.06726309705,977,833.472351161614,1140.5,929,1034,902,71.4826471122451
"2034/2035",2035,120,120,100,54.6541091412919,326.128473842081,72.0858639469727,71.5523896348881,100.418849776881,1558.75983800569,1205,1049.55106977658,1420,1150,1270,1114.5,76.938427316165
"2035/2036",2036,120,120,100,42.0581602817181,327.293765081779,68.4315660379355,57.7467220763359,97.0388934621907,1428.57989460809,1149.5,976.172656821986,1262,1111.5,1160,1036.5,73.2780073995336
"2036/2037",2037,121,121,100,46.53472657766,332.315705979797,73.2777807374141,64.3855963665305,99.4067643792094,1400.17963285935,1080.5,910.993135971199,1279.5,1031.5,1184,978,74.0719410878742
"2037/2038",2038,120,120,100,55.9797223418957,312.801006087184,70.7465433263051,72.2761085124754,99.545482126152,1649.66188844843,1336.5,1200.6921654118,1476.5,1321.5,1317,1280.5,80.5689289566835
"2038/2039",2039,120,120,100,53.2544073673912,324.765916153946,65.6631660639475,71.1403057305277,101.229128637731,1527.4747496295,1272.5,1135.26183723813,1391.5,1247,1214,1216,79.9189024528437
"2039/2040",2040,120,120,100,43.2798058811134,349.078385508697,69.0411352483131,61.3778792825343,100.202755404245,1296.97572437693,983,815.471284981115,1148.5,930.5,1054,870,73.3599540864652
"2040/2041",2041,121,121,100,42.8060035626066,303.83617336222,70.8922878333596,63.9078417978994,101.110861419101,1342.87799146929,1007,842.431430894212,1145.5,994.5,1077,914.5,71.7983548327302
"2041/2042",2042,120,120,100,51.8283206161636,379.189068109549,58.5967940707671,63.9306783269368,94.8419368775994,1597.91465916515,1265.5,1104.05918161487,1386.5,1298,1229,1178.5,75.1758455312656
"2042/2043",2043,120,120,100,59.1611870791482,375.210546571866,62.6713806560713,74.4749992207298,99.8455900963074,1470.42178204851,1206,1031.78946755357,1347,1159,1194,1119.5,79.0383206612996
"2043/2044",2044,120,120,100,39.6976586335723,248.067274752282,79.7505119101134,54.6226561701832,97.7698983497115,1270.96490813115,1043,929.703646833241,1186,999.5,984,983,73.240279153958
"2044/2045",2045,121,121,100,59.8376741750915,373.316437906633,63.7026434182559,79.4619258407592,103.247475829308,1569.76711826393,1295.5,1130.74083534037,1441.5,1226,1236,1196,80.666052325917
"2045/2046",2046,120,120,100,37.2315790678622,233.993839110347,85.769404852356,62.9102654282751,103.698956993171,1319.46024994271,1027.5,844.308699958136,1223,943.5,1174,936,74.0306145813556
"2046/2047",2047,120,120,100,55.8550692854656,360.460932924669,69.9539738895518,68.9205293735531,98.2616060633537,1599.04356653467,1314,1146.04917840946,1476,1266.5,1315,1228,78.5460439350836
"2047/2048",2048,120,120,100,40.8264294868643,302.876972008565,68.9362976527396,58.4669997680195,96.3760546738875,1496.50003430591,1211.5,1031.45295262371,1321.5,1197.5,1212,1110,75.2819929764355
"2048/2049",2049,121,121,100,46.3858216502648,309.685603574513,75.4619311143492,65.2530396295859,101.933658788957,1393.08942467548,1096.5,969.034253834689,1281,1059.5,1124,1038.5,77.7268765286544
"2049/2050",2050,120,120,100,45.0874374594874,286.070904339305,75.5688502282976,62.8681349997359,101.149942468396,1444.89231027945,1144,978.516000327567,1325.5,1084.5,1203,1058.5,74.8400771432371
"2050/2051",2051,120,120,100,50.9903021290923,259.448980863696,79.2166361275999,72.3727314830331,103.678000369759,1469.19194954401,1126.5,1033.10837186735,1335.5,1070.5,1170,1070.5,78.6350378377665
"2051/2052",2052,120,120,100,31.2153993091998,281.302518411611,76.5063892594811,46.6879970331772,95.2685177076571,1259.97522688954,998.5,838.629141472069,1117.5,972.5,984,898.5,69.6345328148645
"2052/2053",2053,121,121,100,48.6301436685232,345.26015114451,66.2980474009498,65.2882632787823,95.9004452418893,1473.66228960338,1140,991.338838271709,1236,1165.5,1176,1041.5,71.7255362317355
"2053/2054",2054,120,120,100,38.4548784527098,332.327333184553,71.1097826096397,53.070329855531,93.8088592903299,1304.21727795323,1012,835.416277976263,1133.5,1003.5,1035,892.5,67.2016761730129
"2054/2055",2055,120,120,100,59.509440496988,382.812548655871,63.1548260356297,74.6557826549246,100.722986486597,1509.69441232589,1200.5,1054.08500629522,1361,1170.5,1203,1121.5,76.837992198637
"2055/2056",2056,120,120,100,61.5347347157662,357.027728026397,69.4944673239163,80.2844653107048,102.808871062804,1555.24869808703,1233,1079.69774582704,1425,1152,1277,1137.5,79.7952667500149
"2056/2057",2057,121,121,100,44.7007634305189,328.427523720802,66.8772730053846,59.2874773341963,94.9802384439223,1518.6055669504,1184,1017.41894012928,1266.5,1219,1203,1090.5,71.007627438813
"2057/2058",2058,120,120,100,48.4004915446116,279.732233704964,70.715738228646,63.6888734458294,97.931362329875,1472.9405425601,1215,1098.71557387993,1315,1242.5,1126,1177,78.0196536082058
"2058/2059",2059,120,120,100,50.7104021054825,318.702755109797,70.6507661297994,70.0713021696704,102.537157280889,1362.94794957738,1080,949.90282015461,1231.5,1040.5,1091,1008.5,75.1363665464933
"2059/2060",2060,120,120,100,39.8283740353369,266.136715862199,85.8590346169126,54.6690672331282,96.4419751968648,1327.68265089317,1083,949.129522890493,1251.5,1006,1086,1001.5,74.9289278108135
"2060/2061",2061,121,121,100,37.8845682365884,295.296284930581,80.0556804433621,51.6763386220383,95.1276816920758,1274.81080850566,990,810.53152953348,1123.5,943,1072,881.5,69.2062114971304
"2061/2062",2062,120,120,100,48.5058315047113,370.203859013995,63.0328923059655,57.0096875884894,93.6033389708581,1543.99382949251,1332,1172.43088980142,1404,1309.5,1203,1246.5,77.9190318118417
"2062/2063",2063,120,120,100,38.3951518147362,248.000516823031,80.1396880666154,58.2113638831995,99.9787656710267,1299.21030394893,990.5,838.432478191979,1179,923,1088,886,72.5174669850812
"2063/2064",2064,120,120,100,48.5363569041356,275.892299766779,72.728406430305,63.7030242058695,96.4976725492122,1351.26050697002,1012,849.418791041557,1147,1017.5,1097,908,70.9811500329934
"2064/2065",2065,121,121,100,49.6586518890441,283.897253586941,73.0700841842175,67.4793557647886,99.9579149825445,1423.29188590424,1204.5,1090.23262093991,1331.5,1163,1088,1145,78.905384247556
"2065/2066",2066,120,120,100,33.8149282813754,261.609782160883,76.5019822667042,54.9382549645766,99.7603061435697,1214.5460731138,964.5,809.271033119359,1107,912.5,990,871,69.4257523197448
"2066/2067",2067,120,120,100,50.8791488804507,334.024475429535,69.7360934627052,67.877542733967,100.655247887204,1441.79750066422,1130,958.952347739825,1301.5,1086,1180,1038,75.3319027122398
"2067/2068",2068,120,120,100,37.2429780097743,218.599602020761,90.7830031059775,56.548436543754,97.6462295456104,1270.50965581779,995.5,861.578469710228,1130.5,969.5,1057,936.5,70.4476725977111
"2068/2069",2069,121,121,100,50.6587552557033,332.647763003509,73.0455730205785,62.1850292981443,96.2198999345486,1385.27788561545,1103.5,954.112740035736,1225,1100.5,1112,1026.5,73.587874708076
"2069/2070",2070,120,120,100,44.2595731032478,265.291971195746,84.1707583946119,57.0249943535496,95.5007729345888,1304.23685367077,1079,961.639819901102,1200,1025.5,991,1016.5,73.382609482499
"2070/2071",2071,120,120,100,47.5854614343653,294.964790010603,74.4712114893832,64.0458901127477,97.9390243771135,1408.48274738557,1126.5,985.920965924561,1282,1094.5,1116,1059,72.9289081033166
"2071/2072",2072,120,120,100,57.0926357590353,387.203118249742,62.4955027120398,66.0385990153035,94.2932738828692,1551.94875242811,1328.5,1106.48788805553,1458.5,1251.5,1246,1198,74.4527453615356
"2072/2073",2073,121,121,100,39.3421920165905,277.817176048283,78.4727835355055,57.5561397238239,101.014568234824,1211.78819088871,949,796.946165480593,1108,892,988,860,71.365993784093
"2073/2074",2074,120,120,100,50.6970843859451,352.007927600674,63.4483212440643,70.3021995833835,100.771754211823,1531.02954608246,1232.5,1075.758180482,1370,1201.5,1248,1143,79.3076648856704
