"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,61.9011302999783,372.603187465813,66.1761289717277,74.1222045740334,96.7037747781362,1534.08467627312,1283.5,1168.37594629272,1412,1260,1168,1220,78.5510234373245
"2002/2003",2003,120,120,100,38.0811194325836,360.30436599293,65.8977577003917,49.3201406039688,92.4711502247605,1489.80108104505,1186.5,971.311679797367,1298.5,1152,1249,1059,72.7069676346696
"2003/2004",2004,120,120,100,38.6477267561232,262.659935713128,86.9631379507305,50.1492092296104,92.3449039725657,1294.28317395409,1072,952.024874111355,1182,1050.5,1005,1011,71.0911997454908
"2004/2005",2005,121,121,100,45.2948517411009,299.396238478163,78.8005996516105,62.0141826141118,97.3457794544197,1390.69294745387,1095.5,960.36620587726,1242,1045.5,1110,1012,73.1843560064772
"2005/2006",2006,120,120,100,48.3012021295754,339.178563775492,65.0507105903754,66.0989096034861,99.8917076106006,1473.80981641768,1221.5,1072.6231592191,1346.5,1178,1159,1148,78.4833471391187
"2006/2007",2007,120,120,100,35.1275018152819,227.67401314831,88.6043696473401,51.9495219815708,95.3298928746257,1156.54239686641,911.5,757.210920340006,1040.5,855.5,952,813,67.9122835906606
"2007/2008",2008,120,120,100,56.0501342131757,368.440369179263,61.7171064419745,71.0851126985192,98.0319546224382,1743.25099358023,1499.5,1290.81269632183,1619.5,1430,1452,1388,80.5888377785648
"2008/2009",2009,121,121,100,30.0540953395874,212.630514027179,97.5203898378916,44.8354108416742,92.9700670087754,1067.724467131,830,726.921086971472,945,787.5,819,760.5,67.3243582239761
"2009/2010",2010,120,120,100,58.4138127131457,349.040675437134,65.9659460398569,73.22651941263,99.1945017049045,1614.13495121117,1329.5,1137.95687594005,1466,1284.5,1322,1233.5,78.0488188895815
"2010/2011",2011,120,120,100,32.8464705657887,280.781185053502,67.2442871930752,49.3074101868076,94.0582505284991,1319.82282817226,1037,864.425853748179,1121,1080,1052,940,70.1076972322899
"2011/2012",2012,120,120,100,50.3176606079066,364.973289376531,61.8621338853845,62.736564717836,96.5552409598671,1682.12128826945,1435,1253.91740182823,1551,1417.5,1345,1358,81.2244588409119
"2012/2013",2013,121,121,100,41.4987296074642,278.839035235944,85.7368608845847,55.2114306466511,95.3889859484065,1360.71036268845,1101.5,958.792945978882,1221,1070,1088,1023.5,71.2789177299205
"2013/2014",2014,120,120,100,44.5319241540746,310.430910691216,71.4708337210335,53.9361308955069,92.3333794514564,1508.25927996497,1290,1135.54701410784,1398,1262.5,1193,1213,74.6615041483055
"2014/2015",2015,120,120,100,50.0847889126268,290.959710264869,76.6233218032386,65.7228601400683,99.9327529396895,1484.56864763702,1168.5,973.217379102507,1354,1104.5,1283,1060.5,72.9336464732748
"2015/2016",2016,120,120,100,41.1350445942421,339.757055527882,67.5266682445504,54.0470578922987,93.8905575984457,1403.23604520848,1134,950.444498560397,1232.5,1121.5,1113,1027.5,74.8630471828089
"2016/2017",2017,121,121,100,47.6552235040467,307.238741329904,75.0312939173974,68.2067208313364,102.502216693161,1392.55002421382,1076.5,909.415487514683,1268,1003,1171,976,76.3502016739565
"2017/2018",2018,120,120,100,52.6401814520963,348.826018042312,67.405858164604,62.0813040804175,93.7117237435355,1499.48558605464,1228,1023.40714568293,1360.5,1176.5,1208,1094.5,75.3129831396398
"2018/2019",2019,120,120,100,57.6111785151723,370.892409557226,58.6355214609825,68.9883967713607,95.1716275565914,1740.75742543876,1507,1320.96457663149,1611,1451,1389,1400.5,80.4703586978455
"2019/2020",2020,120,120,100,41.5382200369656,305.322299956259,71.7622381922385,56.6219773596338,96.082763626408,1420.84593669986,1184.5,1038.05915106586,1298,1139.5,1109,1101.5,74.636111904113
"2020/2021",2021,121,121,100,38.176515706264,285.286801063388,73.0632877145734,52.3906400745543,95.7755952386593,1314.72998138765,1051.5,950.386801662138,1132,1066.5,996,992,73.1591496025853
"2021/2022",2022,120,120,100,49.0930653811513,315.090923379134,73.3776050398301,63.5287338714806,97.962838159251,1614.55240934053,1357.5,1194.63756610328,1499,1307,1319,1282.5,77.2587502500714
"2022/2023",2023,120,120,100,46.7651231057906,349.00610791661,62.5193828268592,59.3738485978835,94.7076075243344,1581.18099752784,1292.5,1115.22857014563,1365,1294,1255,1199.5,76.6953456753217
"2023/2024",2024,120,120,100,46.57336427726,303.447517091647,70.48531360543,67.7484623518388,102.326767896749,1377.04446713781,1093.5,948.507158413197,1242.5,1041.5,1085,1012.5,79.0505629433655
"2024/2025",2025,121,121,100,50.4313847354301,339.672112074117,59.7052985199321,66.1518425707981,95.7470946608355,1494.5006902348,1194,1006.28329592711,1284.5,1206.5,1188,1079.5,73.7662969893181
"2025/2026",2026,120,120,100,37.9156915432069,317.436679513222,66.3725939792126,52.9868800562221,95.382732761329,1414.94969500613,1174,1007.37056961899,1270.5,1143.5,1113,1078,73.6932451060088
"2026/2027",2027,120,120,100,31.7967173521302,218.348751343637,94.5935854047544,48.7706991523169,93.4451376892589,1218.76462293744,940,807.633079853666,1081,926.5,976,870.5,67.0311730394528
"2027/2028",2028,120,120,100,39.4233512195383,342.607147784382,58.607573865302,51.1605838455744,90.6836712838359,1549.09379051308,1243.5,1063.37030433617,1300.5,1295,1198,1137.5,71.6541728526331
"2028/2029",2029,121,121,100,51.4457000989589,267.241503682633,80.7634925749469,73.4178560810563,105.109045920213,1408.621419788,1095,976.15874369146,1313,1041,1162,1041,76.142025272145
"2029/2030",2030,120,120,100,45.1153943807893,308.093045793979,68.097347481401,60.3120405150798,96.6667677193423,1507.74738714978,1190.5,1036.19585450517,1333,1191.5,1193,1118,75.8357468838417
"2030/2031",2031,120,120,100,24.4641039449354,221.416687707593,93.8564438946872,38.8491819530625,89.7367284104638,1006.94160207336,730.5,607.62870024467,815.5,748,800,658.5,61.2963855277198
"2031/2032",2032,120,120,100,38.0195985703218,253.559173533295,84.988364055954,59.969681453428,100.238541088733,1294.1334340973,1001.5,833.805130136036,1170,926.5,1106,894.5,71.840142755776
"2032/2033",2033,121,121,100,53.3368023105623,351.003620199612,62.5262270404776,67.3237266427031,97.459973698054,1573.09217729888,1334,1185.46242061149,1433,1295,1205,1236.5,78.6025049473274
"2033/2034",2034,120,120,100,36.4208951304199,244.720313706973,85.4164811777592,53.112833995615,94.7187155174595,1265.47698199643,982,831.898713180166,1125.5,970,1064,903,68.7646929607436
"2034/2035",2035,120,120,100,55.8332969399122,335.265844821328,69.360189670577,71.056868000235,98.8867303875157,1628.10464640472,1294.5,1122.40701198699,1482.5,1232.5,1317,1187,77.8385371641302
"2035/2036",2036,120,120,100,41.1187669056369,339.44886032316,66.1483807486038,55.1271621813109,94.9791823853599,1483.28129276936,1217.5,1032.55289376408,1322,1189,1202,1098.5,73.3210751275278
"2036/2037",2037,121,121,100,42.5816821643066,341.301651268002,70.8535498833119,59.0385154816389,97.3502273524965,1469.8832035035,1180.5,975.01610183141,1329,1123.5,1230,1054,74.1748773062059
"2037/2038",2038,120,120,100,54.1651172523364,317.400058167315,67.9483378893026,68.1377065981589,97.8076375397359,1691.56780580651,1400,1275.425373881,1524.5,1402,1330,1355,81.0670904525587
"2038/2039",2039,120,120,100,54.6052889090599,337.934578312328,63.3279825101747,68.4654148878957,98.2848001963051,1557.39611677128,1324,1187.66449247779,1431.5,1298.5,1198,1264.5,79.3118404050078
"2039/2040",2040,120,120,100,39.3913192133442,358.322340876789,66.9452751311733,57.4888353448612,98.2362078002068,1366.36571371902,1024,846.430275035371,1189,1009,1124,909.5,71.1821127336798
"2040/2041",2041,121,121,100,42.9341055063918,311.853717214382,68.5089024130266,63.2826118182063,99.5554479186857,1406.28138311571,1073.5,895.390038032554,1194.5,1070.5,1136,974,69.6598382224565
"2041/2042",2042,120,120,100,47.0300900293469,358.766380726856,56.9793166110153,58.4857787238102,91.9065049760049,1598.42718674059,1245,1096.01878284287,1322.5,1333.5,1211,1162,71.6994435691204
"2042/2043",2043,120,120,100,60.4586819523441,397.053771413449,60.2472842183168,72.9372331675328,98.0548944621353,1537.36518243758,1262,1069.47156942303,1418,1223,1262,1163.5,79.1957165146168
"2043/2044",2044,120,120,100,35.6714729218551,246.92381339313,77.4092581788001,50.1016689669397,95.9316655663283,1288.1168261126,1076,937.642685509731,1186,1043.5,986,1003.5,72.1829889044839
"2044/2045",2045,121,121,100,54.6598409195495,370.168474299955,61.7619727040527,72.9164117681078,100.299786726871,1590.46309287161,1299,1138.20322130638,1434.5,1269,1262,1201.5,79.5787960915268
"2045/2046",2046,120,120,100,39.2269133510289,242.633928275375,83.3017903190554,60.4549120783729,101.320196402599,1388.21279323786,1094.5,929.902052701716,1251.5,1055,1188,1027.5,73.235376427454
"2046/2047",2047,120,120,100,52.2122267185957,356.118896988333,67.5593876282359,63.8586732534494,95.7933924543872,1640.34310407887,1380.5,1213.62054307045,1487.5,1335.5,1340,1277,77.6267729012443
"2047/2048",2048,120,120,100,37.9816520011956,299.020830965875,66.5133005310131,55.2910054275384,94.6030642667867,1525.03656792776,1236.5,1048.30321216447,1328,1247.5,1219,1129,73.3094610868911
"2048/2049",2049,121,121,100,45.445887295673,329.565870753252,72.5837136240866,63.2751321537725,100.724401219789,1471.19052396767,1176,1034.24046497959,1347,1131.5,1211,1102.5,76.8943784400481
"2049/2050",2050,120,120,100,38.8486770076083,292.417238992128,73.1705477506194,55.9377463833577,98.9955448335207,1484.19004011442,1210,1017.73558809432,1363,1136,1220,1103,75.3812557724459
"2050/2051",2051,120,120,100,51.8912421457969,276.84751818116,76.2138016545219,71.1301559816434,102.69917292996,1538.93812650276,1219.5,1092.82956015125,1421,1145.5,1256,1140,78.1106371642991
"2051/2052",2052,120,120,100,30.3080547395499,275.348639317123,73.8291002064961,45.1237412977612,93.8847375619217,1281.32915190057,1003.5,851.996401555283,1125,1001,1002,912.5,69.8342716523239
"2052/2053",2053,121,121,100,45.6047845813899,358.302725985111,64.2773565286722,60.2161670409686,93.327704200199,1509.94162835905,1189.5,1018.32340345237,1252,1212.5,1177,1075,72.4280579042015
"2053/2054",2054,120,120,100,32.5097950421986,336.611903953324,68.5463536779256,46.7479438620823,91.914527648209,1362.84163517971,1066.5,867.620823444551,1168.5,1083.5,1092,942.5,68.5493403062019
"2054/2055",2055,120,120,100,54.1767509113585,394.437966700537,61.0843867002986,67.3415263591152,98.0211478116755,1560.9605611946,1261,1096.00159507002,1398,1231,1252,1163.5,75.4009219624277
"2055/2056",2056,120,120,100,58.4718351379159,368.895174313699,67.2582963753638,74.214062129928,100.107491821071,1616.45983125689,1308.5,1141.63013010575,1500,1224,1338,1200,79.678115236542
"2056/2057",2057,121,121,100,45.6875457813306,331.592600078186,64.0787562226096,57.7712833685132,93.2847782765851,1560.13029584405,1228.5,1068.56031103631,1296.5,1292.5,1214,1143,72.6441402457576
"2057/2058",2058,120,120,100,44.7379070460241,282.793919266188,68.0386398053712,59.196272217572,96.0058301807538,1495.76651997087,1273.5,1153.32765754589,1336.5,1270.5,1144,1207.5,76.6190020795848
"2058/2059",2059,120,120,100,52.2440653610186,332.707152942676,68.4912701305096,68.6459389518321,100.182269690636,1409.91046954886,1134,988.753254790441,1280,1093.5,1135,1044,76.1189349351862
"2059/2060",2060,120,120,100,36.0634914634672,268.918730125367,82.7655925142702,50.3606863566084,95.1669206134775,1369.00412225211,1141,985.755606424384,1278,1064,1086,1045.5,73.4562489923537
"2060/2061",2061,121,121,100,38.7283886746364,309.809009963731,77.2395803135101,48.8633085319682,93.5404673779805,1347.96716198913,1073,890.041664456381,1199.5,1045.5,1122,977,69.4972402599233
"2061/2062",2062,120,120,100,42.7181874226273,343.357381531685,61.1660565167287,50.3017067470217,90.5257540004588,1499.64209918428,1301.5,1151.13020328931,1329,1304.5,1106,1213,75.673670316779
"2062/2063",2063,120,120,100,41.3563406206292,260.264914378622,76.8945954568487,61.8724962365348,100.148690743804,1392.68381793366,1075,910.345935224497,1265.5,1017.5,1145,974.5,73.4499281657872
"2063/2064",2064,120,120,100,43.2923334108348,284.353857162512,70.3988126410572,57.7964995370282,94.3797153954785,1416.54184758523,1069.5,885.807882696776,1186.5,1100,1163,974.5,70.7219018336709
"2064/2065",2065,121,121,100,51.2995818306179,307.465787561472,69.9775753274586,66.8050366457606,98.6372909352091,1513.53208515589,1282.5,1174.59882537297,1408.5,1247.5,1164,1223,80.263590356808
"2065/2066",2066,120,120,100,27.3199117136539,269.602494038027,73.9264263485109,48.5419002901321,97.9822519643475,1286.73225311335,1063.5,859.466086961576,1170,1000,1062,941.5,71.1388000660463
"2066/2067",2067,120,120,100,48.0000011033082,335.04460880137,67.6611428078301,63.4686138667823,98.0794714330292,1487.21013963211,1193,1017.7344605978,1330,1161.5,1218,1103,75.8975123519613
"2067/2068",2068,120,120,100,40.646027320065,234.199568698878,85.9662733350465,60.3874707902603,98.7657571580094,1353.1645887717,1063.5,932.918984038864,1199,1037.5,1082,1006.5,71.5651049099934
"2068/2069",2069,121,121,100,48.3124851209666,355.371164017203,70.312961456546,57.0942841215444,94.1210602544519,1456.30447477565,1184.5,1048.75657969795,1315.5,1182.5,1172,1109,75.7522794883844
"2069/2070",2070,120,120,100,43.7081550580925,271.718073873953,81.4098730208115,56.4403832247901,93.8637601049799,1333.32982870491,1103,992.567581131821,1225.5,1076.5,1009,1054.5,74.4630130500373
"2070/2071",2071,120,120,100,46.8506268611561,307.011354944725,72.2536841310362,60.1093129888165,95.3978525388913,1459.71578259362,1164,1028.12525261125,1315.5,1153,1156,1087.5,74.2872040388811
"2071/2072",2072,120,120,100,50.9146325604727,394.760313794627,60.2436012165666,58.8947439511409,91.9115805040671,1609.671326393,1366,1132.75394538592,1497,1313.5,1320,1230,75.612470886038
"2072/2073",2073,121,121,100,39.9411671564047,292.603379495048,75.9348787916945,57.8162539829782,99.815336268211,1278.98844921356,995.5,843.744895169148,1141,952.5,1026,905.5,73.3603456040937
"2073/2074",2074,120,120,100,48.561048972323,354.750584536993,61.2401323820042,65.2673112768248,98.167466087044,1567.89630571919,1269.5,1123.25416514214,1387,1275,1240,1200,78.7200261601929
"2074/2075",2075,120,120,100,43.7941118444658,297.692489772044,75.4419730008329,59.1385524571315,98.3445955241338,1423.13589816584,1137,949.08532815853,1288,1084,1215,1031.5,72.2764432694485
"2075/2076",2076,120,120,100,43.0689665567547,323.526477660754,69.7488241753479,54.8834089595979,94.7959932940936,1383.30496992313,1110.5,938.587838807827,1247,1088,1137,1019.5,71.0847640505717
