"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,57.2950608572728,397.942523380971,60.3736929772753,62.9158663403398,90.7841634622348,1595.81090705994,1387.5,1254.34159049519,1477,1350.5,1196,1292,78.6053789139692
"2002/2003",2003,120,120,100,36.6588135864999,361.511056580832,59.3705872353318,46.0819013393566,89.1198934639104,1624.66714316462,1346,1125.24844098643,1412,1344.5,1317,1220.5,74.2335956958903
"2003/2004",2004,120,120,100,42.0819238017353,288.727728624187,78.3351915609823,50.807229240963,90.8911932686865,1437.59905353821,1235,1114.92804710923,1312.5,1221.5,1076,1172,73.1783837453411
"2004/2005",2005,121,121,100,52.263323094521,346.251749541405,71.1879737516265,63.2200788153557,94.8108330430566,1623.66344978999,1345,1176.95975730911,1490,1316,1331,1272.5,76.974380639537
"2005/2006",2006,120,120,100,53.1843782167662,381.950553963149,58.9649234670921,66.7626963485253,96.7147518953882,1644.4970969902,1392,1240.63351118082,1505,1349,1291,1306,80.7179465613464
"2006/2007",2007,120,120,100,41.5750582948704,270.866361662114,80.0230561885434,55.5109193597141,94.5038448160892,1370.26862280881,1120,936.180023808114,1251,1056,1122,1003,72.3261187617563
"2007/2008",2008,120,120,100,59.2784262793332,387.932963995392,55.5961472443999,66.0894001292533,92.4478091080986,1858.31062239071,1677.5,1489.99428727227,1731,1649,1478,1593,82.1465475009393
"2008/2009",2009,121,121,100,40.6900657536374,252.911853111072,87.6514750014709,54.7681217470937,94.5203452956541,1285.34545238268,1016,899.784495352222,1162,993.5,1003,958,72.5150332377201
"2009/2010",2010,120,120,100,59.3421603979407,390.573572543119,60.0529186389178,66.0755569682317,93.790253542435,1796.92042542815,1531.5,1339.511544907,1649,1498.5,1438,1435,80.9206930079686
"2010/2011",2011,120,120,100,40.4610294588234,322.602001285519,60.399131456365,54.7130108724299,92.4462070971264,1509.64687924524,1226,1034.24190293137,1293.5,1271,1191,1112.5,74.5681461973917
"2011/2012",2012,120,120,100,44.8754157817602,372.091061088152,56.1954280562376,53.6749818124122,91.5245924063026,1747.87753028127,1537,1381.4730637832,1607,1535,1335,1454,81.6598455880446
