"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,60.5958175730942,394.02080790292,61.4395356467041,67.9487915053772,93.2593254711698,1583.22902907487,1362,1231.90355754423,1471.5,1338.5,1203,1285.5,78.9351367102936
"2002/2003",2003,120,120,100,41.8016750409025,381.98957378117,60.6463812398664,50.5004254755385,90.9789656910193,1637.8080128509,1347,1104.64762032243,1427,1347.5,1356,1227,75.0727062651791
"2003/2004",2004,120,120,100,39.5339026444406,278.850487821315,79.6686008098357,50.9980195404171,92.836842796704,1366.9734998006,1149.5,1018.26952522001,1244.5,1122,1053,1067.5,72.0327875547388
"2004/2005",2005,121,121,100,48.9709897306574,328.445714594541,72.8495013944589,63.3568333289446,97.0331705898343,1515.78125261737,1211.5,1056.82314584977,1368,1180.5,1225,1138,74.0090294728057
"2005/2006",2006,120,120,100,49.9403086136649,368.479905481931,60.8083187326277,64.133784668264,97.083368328939,1582.31374153554,1331.5,1174.11048597558,1438.5,1289,1233,1242,79.9995413079426
"2006/2007",2007,120,120,100,39.4019306081342,254.114214533882,81.7091669206177,55.0646712696187,96.0324049082111,1285.53731595063,1021,853.462310204088,1161.5,970.5,1057,917,71.29283779771
"2007/2008",2008,120,120,100,55.701661265068,380.066334342203,57.3741518837394,65.6256245309458,94.1282626941397,1831.69113969094,1660.5,1429.74437648532,1714,1601,1477,1548.5,83.5604615096895
"2008/2009",2009,121,121,100,33.0741675328478,234.254108215297,90.4719579626937,47.3956736854304,93.8042668631644,1174.62395144123,909,804.824382644916,1052,887,941,851,69.4398189974986
"2009/2010",2010,120,120,100,60.2451778209209,380.103574680786,61.3690946690303,69.6926407012575,95.9749578697298,1728.49419725945,1449,1268.73997673562,1560,1438,1370,1369,79.768847264787
"2010/2011",2011,120,120,100,42.1795108704809,318.439953351672,62.4853172667333,54.9140287126559,92.5317669586385,1461.26850382585,1151.5,962.423215190993,1239.5,1208,1159,1042.5,72.5501339776358
"2011/2012",2012,120,120,100,46.8830358529606,366.090811650013,57.7985681936316,56.5598101218748,92.9477840009099,1743.00537662039,1517.5,1344.95117386092,1592,1523,1360,1438,80.893694107117
"2012/2013",2013,121,121,100,42.1211825890225,294.511556692512,79.3206899744814,54.200917775439,94.6143084096158,1467.73481665045,1200,1060.49571667415,1312.5,1194.5,1152,1139,75.0846625305089
"2013/2014",2014,120,120,100,41.6176145623227,322.985018936322,66.0913295196644,52.2895340189071,91.6172055953823,1578.88089376207,1373.5,1215.55463379595,1451.5,1349.5,1229,1284,76.8404924299089
