"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,53.9941455695878,406.705952331043,58.0618617390155,57.6904113192433,89.0707395837692,1598.84029581774,1416.5,1250.86391609657,1477,1360.5,1221,1282,77.842026179519
"2002/2003",2003,120,120,100,38.6306216703961,348.003447005484,57.2841381596157,46.3417161034584,87.5696534571963,1627.63210951474,1331.5,1130.65801179689,1366,1400.5,1291,1228,72.0999502389263
"2003/2004",2004,120,120,100,41.6030210750413,276.593079956469,75.0156128667711,50.6905832030923,90.5185949119527,1388.65361259492,1188,1064.10112571371,1264.5,1182,1022,1116.5,71.8319573357242
"2004/2005",2005,121,121,100,50.760481998096,355.394523950718,68.3434043634741,61.6268381614844,94.2927670404232,1628.88203351155,1370,1178.21408989009,1482.5,1325,1333,1274.5,75.2509455373593
"2005/2006",2006,120,120,100,49.319862960149,385.923629475652,56.9669617734867,61.2233408321736,94.3050500105459,1635.97044295728,1395.5,1235.4986944443,1486.5,1366.5,1273,1293,77.9353813787592
"2006/2007",2007,120,120,100,42.2625098452299,271.531119676347,76.9325140608847,56.194584876583,94.1630941404001,1356.93303345949,1083,904.852575187176,1215,1054,1110,973.5,72.2598993737945
"2007/2008",2008,120,120,100,55.2839076971303,380.556362359765,53.7936923728464,61.2057773475291,90.1880875572345,1841.41223374835,1662,1471.13404297465,1677.5,1654,1427,1574,78.7412527960529
"2008/2009",2009,121,121,100,41.4764510499794,265.655281878815,83.9944986886486,54.0199518540287,94.5301156738997,1333.9882463647,1089,932.934332202803,1219.5,1048.5,1068,1001.5,72.0228536518267
"2009/2010",2010,120,120,100,57.1334727433607,401.944467216091,57.328291307537,62.6632099740027,92.7741733969396,1802.18077750355,1540,1381.38075817691,1651,1529.5,1413,1466.5,80.9255736540161
"2010/2011",2011,120,120,100,39.754127600768,326.500513105389,58.2032763501393,50.7164292923551,90.1841965459661,1506.73343203011,1227.5,1040.26727814211,1276,1293,1159,1120.5,72.7789827644674
"2011/2012",2012,120,120,100,43.7829128124305,359.922859799485,54.3211707704259,51.5532544400766,89.4505319840454,1734.20611653676,1509,1366.68492629209,1547.5,1559.5,1299,1442,77.8465264047104
"2012/2013",2013,121,121,100,40.0568782022062,309.114130489675,75.1878601109823,50.6574972057566,91.6463085274505,1528.76036049234,1281,1134.07836139598,1367,1268.5,1203,1194,73.7614975484976
"2013/2014",2014,120,120,100,38.1561788888606,310.255059042218,62.2133454729632,46.9663029722865,88.4312414298648,1593.23116388349,1394,1222.57259140441,1424.5,1399.5,1220,1290.5,76.3741433248333
"2014/2015",2015,120,120,100,49.6989503252052,326.164002180552,66.7527365496474,62.161277266578,96.2147387521121,1777.88892790693,1484.5,1263.01373360977,1587.5,1467,1443,1387.5,76.6402752786239
"2015/2016",2016,120,120,100,42.0445901618005,352.219944698769,58.6225101801171,49.3945477187303,88.8555471586102,1554.612316809,1269.5,1078.5510642388,1327.5,1319.5,1218,1169,70.7079977237765
