"Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
2013-01-01 12:00:00,2013,1,1,NA,NA,NA,NA
2013-01-02 12:00:00,2013,1,2,NA,NA,NA,NA
2013-01-03 12:00:00,2013,1,3,NA,NA,NA,NA
2013-01-04 12:00:00,2013,1,4,NA,NA,NA,NA
2013-01-05 12:00:00,2013,1,5,NA,NA,NA,NA
2013-01-06 12:00:00,2013,1,6,NA,NA,NA,NA
2013-01-07 12:00:00,2013,1,7,NA,NA,NA,NA
2013-01-08 12:00:00,2013,1,8,NA,NA,NA,NA
2013-01-09 12:00:00,2013,1,9,NA,NA,NA,NA
2013-01-10 12:00:00,2013,1,10,NA,NA,NA,NA
2013-01-11 12:00:00,2013,1,11,NA,NA,NA,NA
2013-01-12 12:00:00,2013,1,12,NA,NA,NA,NA
2013-01-13 12:00:00,2013,1,13,NA,NA,NA,NA
2013-01-14 12:00:00,2013,1,14,NA,NA,NA,NA
2013-01-15 12:00:00,2013,1,15,NA,NA,NA,NA
2013-01-16 12:00:00,2013,1,16,NA,NA,NA,NA
2013-01-17 12:00:00,2013,1,17,NA,NA,NA,NA
2013-01-18 12:00:00,2013,1,18,NA,NA,NA,NA
2013-01-19 12:00:00,2013,1,19,NA,NA,NA,NA
2013-01-20 12:00:00,2013,1,20,NA,NA,NA,NA
2013-01-21 12:00:00,2013,1,21,NA,NA,NA,NA
2013-01-22 12:00:00,2013,1,22,NA,NA,NA,NA
2013-01-23 12:00:00,2013,1,23,NA,NA,NA,NA
2013-01-24 12:00:00,2013,1,24,NA,NA,NA,NA
2013-01-25 12:00:00,2013,1,25,NA,NA,NA,NA
2013-01-26 12:00:00,2013,1,26,NA,NA,NA,NA
2013-01-27 12:00:00,2013,1,27,NA,NA,NA,NA
2013-01-28 12:00:00,2013,1,28,NA,NA,NA,NA
2013-01-29 12:00:00,2013,1,29,NA,NA,NA,NA
2013-01-30 12:00:00,2013,1,30,NA,NA,NA,NA
2013-01-31 12:00:00,2013,1,31,NA,NA,NA,NA
2013-02-01 12:00:00,2013,2,1,NA,NA,NA,NA
2013-02-02 12:00:00,2013,2,2,NA,NA,NA,NA
2013-02-03 12:00:00,2013,2,3,NA,NA,NA,NA
2013-02-04 12:00:00,2013,2,4,NA,NA,NA,NA
2013-02-05 12:00:00,2013,2,5,NA,NA,NA,NA
2013-02-06 12:00:00,2013,2,6,NA,NA,NA,NA
2013-02-07 12:00:00,2013,2,7,NA,NA,NA,NA
2013-02-08 12:00:00,2013,2,8,NA,NA,NA,NA
2013-02-09 12:00:00,2013,2,9,NA,NA,NA,NA
2013-02-10 12:00:00,2013,2,10,NA,NA,NA,NA
2013-02-11 12:00:00,2013,2,11,NA,NA,NA,NA
2013-02-12 12:00:00,2013,2,12,NA,NA,NA,NA
2013-02-13 12:00:00,2013,2,13,NA,NA,NA,NA
2013-02-14 12:00:00,2013,2,14,NA,NA,NA,NA
2013-02-15 12:00:00,2013,2,15,NA,NA,NA,NA
2013-02-16 12:00:00,2013,2,16,NA,NA,NA,NA
2013-02-17 12:00:00,2013,2,17,NA,NA,NA,NA
2013-02-18 12:00:00,2013,2,18,NA,NA,NA,NA
2013-02-19 12:00:00,2013,2,19,NA,NA,NA,NA
2013-02-20 12:00:00,2013,2,20,NA,NA,NA,NA
2013-02-21 12:00:00,2013,2,21,NA,NA,NA,NA
2013-02-22 12:00:00,2013,2,22,NA,NA,NA,NA
2013-02-23 12:00:00,2013,2,23,NA,NA,NA,NA
2013-02-24 12:00:00,2013,2,24,NA,NA,NA,NA
2013-02-25 12:00:00,2013,2,25,NA,NA,NA,NA
2013-02-26 12:00:00,2013,2,26,NA,NA,NA,NA
2013-02-27 12:00:00,2013,2,27,NA,NA,NA,NA
2013-02-28 12:00:00,2013,2,28,NA,NA,NA,NA
2013-03-01 12:00:00,2013,3,1,NA,NA,NA,NA
2013-03-02 12:00:00,2013,3,2,NA,NA,NA,NA
2013-03-03 12:00:00,2013,3,3,NA,NA,NA,NA
2013-03-04 12:00:00,2013,3,4,NA,NA,NA,NA
2013-03-05 12:00:00,2013,3,5,NA,NA,NA,NA
2013-03-06 12:00:00,2013,3,6,NA,NA,NA,NA
2013-03-07 12:00:00,2013,3,7,NA,NA,NA,NA
2013-03-08 12:00:00,2013,3,8,NA,NA,NA,NA
2013-03-09 12:00:00,2013,3,9,NA,NA,NA,NA
2013-03-10 12:00:00,2013,3,10,NA,NA,NA,NA
2013-03-11 12:00:00,2013,3,11,NA,NA,NA,NA
2013-03-12 12:00:00,2013,3,12,NA,NA,NA,NA
2013-03-13 12:00:00,2013,3,13,NA,NA,NA,NA
2013-03-14 12:00:00,2013,3,14,NA,NA,NA,NA
2013-03-15 12:00:00,2013,3,15,NA,NA,NA,NA
2013-03-16 12:00:00,2013,3,16,NA,NA,NA,NA
2013-03-17 12:00:00,2013,3,17,NA,NA,NA,NA
2013-03-18 12:00:00,2013,3,18,NA,NA,NA,NA
2013-03-19 12:00:00,2013,3,19,NA,NA,NA,NA
2013-03-20 12:00:00,2013,3,20,NA,NA,NA,NA
2013-03-21 12:00:00,2013,3,21,NA,NA,NA,NA
2013-03-22 12:00:00,2013,3,22,NA,NA,NA,NA
2013-03-23 12:00:00,2013,3,23,NA,NA,NA,NA
2013-03-24 12:00:00,2013,3,24,NA,NA,NA,NA
2013-03-25 12:00:00,2013,3,25,NA,NA,NA,NA
2013-03-26 12:00:00,2013,3,26,NA,NA,NA,NA
2013-03-27 12:00:00,2013,3,27,NA,NA,NA,NA
2013-03-28 12:00:00,2013,3,28,NA,NA,NA,NA
2013-03-29 12:00:00,2013,3,29,NA,NA,NA,NA
2013-03-30 12:00:00,2013,3,30,NA,NA,NA,NA
2013-03-31 12:00:00,2013,3,31,NA,NA,NA,NA
2013-04-01 12:00:00,2013,4,1,NA,NA,NA,NA
2013-04-02 12:00:00,2013,4,2,NA,NA,NA,NA
2013-04-03 12:00:00,2013,4,3,NA,NA,NA,NA
2013-04-04 12:00:00,2013,4,4,NA,NA,NA,NA
2013-04-05 12:00:00,2013,4,5,NA,NA,NA,NA
2013-04-06 12:00:00,2013,4,6,NA,NA,NA,NA
2013-04-07 12:00:00,2013,4,7,NA,NA,NA,NA
2013-04-08 12:00:00,2013,4,8,NA,NA,NA,NA
2013-04-09 12:00:00,2013,4,9,NA,NA,NA,NA
2013-04-10 12:00:00,2013,4,10,NA,NA,NA,NA
2013-04-11 12:00:00,2013,4,11,NA,NA,NA,NA
2013-04-12 12:00:00,2013,4,12,NA,NA,NA,NA
2013-04-13 12:00:00,2013,4,13,NA,NA,NA,NA
2013-04-14 12:00:00,2013,4,14,NA,NA,NA,NA
2013-04-15 12:00:00,2013,4,15,NA,NA,NA,NA
2013-04-16 12:00:00,2013,4,16,NA,NA,NA,NA
2013-04-17 12:00:00,2013,4,17,NA,NA,NA,NA
2013-04-18 12:00:00,2013,4,18,NA,NA,NA,NA
2013-04-19 12:00:00,2013,4,19,NA,NA,NA,NA
2013-04-20 12:00:00,2013,4,20,NA,NA,NA,NA
2013-04-21 12:00:00,2013,4,21,NA,NA,NA,NA
2013-04-22 12:00:00,2013,4,22,NA,NA,NA,NA
2013-04-23 12:00:00,2013,4,23,NA,NA,NA,NA
2013-04-24 12:00:00,2013,4,24,NA,NA,NA,NA
2013-04-25 12:00:00,2013,4,25,NA,NA,NA,NA
2013-04-26 12:00:00,2013,4,26,NA,NA,NA,NA
2013-04-27 12:00:00,2013,4,27,NA,NA,NA,NA
2013-04-28 12:00:00,2013,4,28,NA,NA,NA,NA
2013-04-29 12:00:00,2013,4,29,NA,NA,NA,NA
2013-04-30 12:00:00,2013,4,30,NA,NA,NA,NA
2013-05-01 12:00:00,2013,5,1,NA,NA,NA,NA
2013-05-02 12:00:00,2013,5,2,NA,NA,NA,NA
2013-05-03 12:00:00,2013,5,3,NA,NA,NA,NA
2013-05-04 12:00:00,2013,5,4,NA,NA,NA,NA
2013-05-05 12:00:00,2013,5,5,NA,NA,NA,NA
2013-05-06 12:00:00,2013,5,6,NA,NA,NA,NA
2013-05-07 12:00:00,2013,5,7,NA,NA,NA,NA
2013-05-08 12:00:00,2013,5,8,NA,NA,NA,NA
2013-05-09 12:00:00,2013,5,9,NA,NA,NA,NA
2013-05-10 12:00:00,2013,5,10,NA,NA,NA,NA
2013-05-11 12:00:00,2013,5,11,NA,NA,NA,NA
2013-05-12 12:00:00,2013,5,12,NA,NA,NA,NA
2013-05-13 12:00:00,2013,5,13,NA,NA,NA,NA
2013-05-14 12:00:00,2013,5,14,NA,NA,NA,NA
2013-05-15 12:00:00,2013,5,15,NA,NA,NA,NA
2013-05-16 12:00:00,2013,5,16,NA,NA,NA,NA
2013-05-17 12:00:00,2013,5,17,NA,NA,NA,NA
2013-05-18 12:00:00,2013,5,18,NA,NA,NA,NA
2013-05-19 12:00:00,2013,5,19,NA,NA,NA,NA
2013-05-20 12:00:00,2013,5,20,NA,NA,NA,NA
2013-05-21 12:00:00,2013,5,21,NA,NA,NA,NA
2013-05-22 12:00:00,2013,5,22,NA,NA,NA,NA
2013-05-23 12:00:00,2013,5,23,NA,NA,NA,NA
2013-05-24 12:00:00,2013,5,24,NA,NA,NA,NA
2013-05-25 12:00:00,2013,5,25,NA,NA,NA,NA
2013-05-26 12:00:00,2013,5,26,NA,NA,NA,NA
2013-05-27 12:00:00,2013,5,27,NA,NA,NA,NA
2013-05-28 12:00:00,2013,5,28,NA,NA,NA,NA
2013-05-29 12:00:00,2013,5,29,NA,NA,NA,NA
2013-05-30 12:00:00,2013,5,30,NA,NA,NA,NA
2013-05-31 12:00:00,2013,5,31,NA,NA,NA,NA
2013-06-01 12:00:00,2013,6,1,NA,NA,NA,NA
2013-06-02 12:00:00,2013,6,2,NA,NA,NA,NA
2013-06-03 12:00:00,2013,6,3,NA,NA,NA,NA
2013-06-04 12:00:00,2013,6,4,NA,NA,NA,NA
2013-06-05 12:00:00,2013,6,5,NA,NA,NA,NA
2013-06-06 12:00:00,2013,6,6,NA,NA,NA,NA
2013-06-07 12:00:00,2013,6,7,NA,NA,NA,NA
2013-06-08 12:00:00,2013,6,8,NA,NA,NA,NA
2013-06-09 12:00:00,2013,6,9,NA,NA,NA,NA
2013-06-10 12:00:00,2013,6,10,NA,NA,NA,NA
2013-06-11 12:00:00,2013,6,11,NA,NA,NA,NA
2013-06-12 12:00:00,2013,6,12,NA,NA,NA,NA
2013-06-13 12:00:00,2013,6,13,NA,NA,NA,NA
2013-06-14 12:00:00,2013,6,14,NA,NA,NA,NA
2013-06-15 12:00:00,2013,6,15,NA,NA,NA,NA
2013-06-16 12:00:00,2013,6,16,NA,NA,NA,NA
2013-06-17 12:00:00,2013,6,17,NA,NA,NA,NA
2013-06-18 12:00:00,2013,6,18,NA,NA,NA,NA
2013-06-19 12:00:00,2013,6,19,NA,NA,NA,NA
2013-06-20 12:00:00,2013,6,20,NA,NA,NA,NA
2013-06-21 12:00:00,2013,6,21,NA,NA,NA,NA
2013-06-22 12:00:00,2013,6,22,NA,NA,NA,NA
2013-06-23 12:00:00,2013,6,23,NA,NA,NA,NA
2013-06-24 12:00:00,2013,6,24,NA,NA,NA,NA
2013-06-25 12:00:00,2013,6,25,NA,NA,NA,NA
2013-06-26 12:00:00,2013,6,26,NA,NA,NA,NA
2013-06-27 12:00:00,2013,6,27,NA,NA,NA,NA
2013-06-28 12:00:00,2013,6,28,NA,NA,NA,NA
2013-06-29 12:00:00,2013,6,29,NA,NA,NA,NA
2013-06-30 12:00:00,2013,6,30,NA,NA,NA,NA
2013-07-01 12:00:00,2013,7,1,NA,NA,NA,NA
2013-07-02 12:00:00,2013,7,2,NA,NA,NA,NA
2013-07-03 12:00:00,2013,7,3,NA,NA,NA,NA
2013-07-04 12:00:00,2013,7,4,NA,NA,NA,NA
2013-07-05 12:00:00,2013,7,5,NA,NA,NA,NA
2013-07-06 12:00:00,2013,7,6,NA,NA,NA,NA
2013-07-07 12:00:00,2013,7,7,NA,NA,NA,NA
2013-07-08 12:00:00,2013,7,8,NA,NA,NA,NA
2013-07-09 12:00:00,2013,7,9,NA,NA,NA,NA
2013-07-10 12:00:00,2013,7,10,NA,NA,NA,NA
2013-07-11 12:00:00,2013,7,11,NA,NA,NA,NA
2013-07-12 12:00:00,2013,7,12,NA,NA,NA,NA
2013-07-13 12:00:00,2013,7,13,NA,NA,NA,NA
2013-07-14 12:00:00,2013,7,14,NA,NA,NA,NA
2013-07-15 12:00:00,2013,7,15,NA,NA,NA,NA
2013-07-16 12:00:00,2013,7,16,NA,NA,NA,NA
2013-07-17 12:00:00,2013,7,17,NA,NA,NA,NA
2013-07-18 12:00:00,2013,7,18,NA,NA,NA,NA
2013-07-19 12:00:00,2013,7,19,NA,NA,NA,NA
2013-07-20 12:00:00,2013,7,20,NA,NA,NA,NA
2013-07-21 12:00:00,2013,7,21,NA,NA,NA,NA
2013-07-22 12:00:00,2013,7,22,NA,NA,NA,NA
2013-07-23 12:00:00,2013,7,23,NA,NA,NA,NA
2013-07-24 12:00:00,2013,7,24,NA,NA,NA,NA
2013-07-25 12:00:00,2013,7,25,NA,NA,NA,NA
2013-07-26 12:00:00,2013,7,26,NA,NA,NA,NA
2013-07-27 12:00:00,2013,7,27,NA,NA,NA,NA
2013-07-28 12:00:00,2013,7,28,NA,NA,NA,NA
2013-07-29 12:00:00,2013,7,29,NA,NA,NA,NA
2013-07-30 12:00:00,2013,7,30,NA,NA,NA,NA
2013-07-31 12:00:00,2013,7,31,NA,NA,NA,NA
2013-08-01 12:00:00,2013,8,1,NA,NA,NA,NA
2013-08-02 12:00:00,2013,8,2,NA,NA,NA,NA
2013-08-03 12:00:00,2013,8,3,NA,NA,NA,NA
2013-08-04 12:00:00,2013,8,4,NA,NA,NA,NA
2013-08-05 12:00:00,2013,8,5,NA,NA,NA,NA
2013-08-06 12:00:00,2013,8,6,NA,NA,NA,NA
2013-08-07 12:00:00,2013,8,7,NA,NA,NA,NA
2013-08-08 12:00:00,2013,8,8,NA,NA,NA,NA
2013-08-09 12:00:00,2013,8,9,NA,NA,NA,NA
2013-08-10 12:00:00,2013,8,10,NA,NA,NA,NA
2013-08-11 12:00:00,2013,8,11,NA,NA,NA,NA
2013-08-12 12:00:00,2013,8,12,NA,NA,NA,NA
2013-08-13 12:00:00,2013,8,13,NA,NA,NA,NA
2013-08-14 12:00:00,2013,8,14,NA,NA,NA,NA
2013-08-15 12:00:00,2013,8,15,NA,NA,NA,NA
2013-08-16 12:00:00,2013,8,16,NA,NA,NA,NA
2013-08-17 12:00:00,2013,8,17,NA,NA,NA,NA
2013-08-18 12:00:00,2013,8,18,NA,NA,NA,NA
2013-08-19 12:00:00,2013,8,19,NA,NA,NA,NA
2013-08-20 12:00:00,2013,8,20,NA,NA,NA,NA
2013-08-21 12:00:00,2013,8,21,NA,NA,NA,NA
2013-08-22 12:00:00,2013,8,22,NA,NA,NA,NA
2013-08-23 12:00:00,2013,8,23,NA,NA,NA,NA
2013-08-24 12:00:00,2013,8,24,NA,NA,NA,NA
2013-08-25 12:00:00,2013,8,25,NA,NA,NA,NA
2013-08-26 12:00:00,2013,8,26,NA,NA,NA,NA
2013-08-27 12:00:00,2013,8,27,NA,NA,NA,NA
2013-08-28 12:00:00,2013,8,28,NA,NA,NA,NA
2013-08-29 12:00:00,2013,8,29,NA,NA,NA,NA
2013-08-30 12:00:00,2013,8,30,NA,NA,NA,NA
2013-08-31 12:00:00,2013,8,31,NA,NA,NA,NA
2013-09-01 12:00:00,2013,9,1,NA,NA,NA,NA
2013-09-02 12:00:00,2013,9,2,NA,NA,NA,NA
2013-09-03 12:00:00,2013,9,3,NA,NA,NA,NA
2013-09-04 12:00:00,2013,9,4,NA,NA,NA,NA
2013-09-05 12:00:00,2013,9,5,NA,NA,NA,NA
2013-09-06 12:00:00,2013,9,6,NA,NA,NA,NA
2013-09-07 12:00:00,2013,9,7,NA,NA,NA,NA
2013-09-08 12:00:00,2013,9,8,NA,NA,NA,NA
2013-09-09 12:00:00,2013,9,9,NA,NA,NA,NA
2013-09-10 12:00:00,2013,9,10,NA,NA,NA,NA
2013-09-11 12:00:00,2013,9,11,NA,NA,NA,NA
2013-09-12 12:00:00,2013,9,12,NA,NA,NA,NA
2013-09-13 12:00:00,2013,9,13,NA,NA,NA,NA
2013-09-14 12:00:00,2013,9,14,NA,NA,NA,NA
2013-09-15 12:00:00,2013,9,15,NA,NA,NA,NA
2013-09-16 12:00:00,2013,9,16,NA,NA,NA,NA
2013-09-17 12:00:00,2013,9,17,NA,NA,NA,NA
2013-09-18 12:00:00,2013,9,18,NA,NA,NA,NA
2013-09-19 12:00:00,2013,9,19,NA,NA,NA,NA
2013-09-20 12:00:00,2013,9,20,NA,NA,NA,NA
2013-09-21 12:00:00,2013,9,21,NA,NA,NA,NA
2013-09-22 12:00:00,2013,9,22,NA,NA,NA,NA
2013-09-23 12:00:00,2013,9,23,NA,NA,NA,NA
2013-09-24 12:00:00,2013,9,24,NA,NA,NA,NA
2013-09-25 12:00:00,2013,9,25,NA,NA,NA,NA
2013-09-26 12:00:00,2013,9,26,NA,NA,NA,NA
2013-09-27 12:00:00,2013,9,27,NA,NA,NA,NA
2013-09-28 12:00:00,2013,9,28,NA,NA,NA,NA
2013-09-29 12:00:00,2013,9,29,NA,NA,NA,NA
2013-09-30 12:00:00,2013,9,30,NA,NA,NA,NA
2013-10-01 12:00:00,2013,10,1,NA,NA,NA,NA
2013-10-02 12:00:00,2013,10,2,NA,NA,NA,NA
2013-10-03 12:00:00,2013,10,3,NA,NA,NA,NA
2013-10-04 12:00:00,2013,10,4,NA,NA,NA,NA
2013-10-05 12:00:00,2013,10,5,NA,NA,NA,NA
2013-10-06 12:00:00,2013,10,6,NA,NA,NA,NA
2013-10-07 12:00:00,2013,10,7,NA,NA,NA,NA
2013-10-08 12:00:00,2013,10,8,NA,NA,NA,NA
2013-10-09 12:00:00,2013,10,9,NA,NA,NA,NA
2013-10-10 12:00:00,2013,10,10,NA,NA,NA,NA
2013-10-11 12:00:00,2013,10,11,NA,NA,NA,NA
2013-10-12 12:00:00,2013,10,12,NA,NA,NA,NA
2013-10-13 12:00:00,2013,10,13,NA,NA,NA,NA
2013-10-14 12:00:00,2013,10,14,NA,NA,NA,NA
2013-10-15 12:00:00,2013,10,15,NA,NA,NA,NA
2013-10-16 12:00:00,2013,10,16,NA,NA,NA,NA
2013-10-17 12:00:00,2013,10,17,NA,NA,NA,NA
2013-10-18 12:00:00,2013,10,18,NA,NA,NA,NA
2013-10-19 12:00:00,2013,10,19,NA,NA,NA,NA
2013-10-20 12:00:00,2013,10,20,NA,NA,NA,NA
2013-10-21 12:00:00,2013,10,21,NA,NA,NA,NA
2013-10-22 12:00:00,2013,10,22,NA,NA,NA,NA
2013-10-23 12:00:00,2013,10,23,NA,NA,NA,NA
2013-10-24 12:00:00,2013,10,24,NA,NA,NA,NA
2013-10-25 12:00:00,2013,10,25,NA,NA,NA,NA
2013-10-26 12:00:00,2013,10,26,NA,NA,NA,NA
2013-10-27 12:00:00,2013,10,27,NA,NA,NA,NA
2013-10-28 12:00:00,2013,10,28,NA,NA,NA,NA
2013-10-29 12:00:00,2013,10,29,NA,NA,NA,NA
2013-10-30 12:00:00,2013,10,30,NA,NA,NA,NA
2013-10-31 12:00:00,2013,10,31,NA,NA,NA,NA
2013-11-01 12:00:00,2013,11,1,NA,NA,NA,NA
2013-11-02 12:00:00,2013,11,2,NA,NA,NA,NA
2013-11-03 12:00:00,2013,11,3,NA,NA,NA,NA
2013-11-04 12:00:00,2013,11,4,NA,NA,NA,NA
2013-11-05 12:00:00,2013,11,5,NA,NA,NA,NA
2013-11-06 12:00:00,2013,11,6,NA,NA,NA,NA
2013-11-07 12:00:00,2013,11,7,NA,NA,NA,NA
2013-11-08 12:00:00,2013,11,8,NA,NA,NA,NA
2013-11-09 12:00:00,2013,11,9,NA,NA,NA,NA
2013-11-10 12:00:00,2013,11,10,NA,NA,NA,NA
2013-11-11 12:00:00,2013,11,11,NA,NA,NA,NA
2013-11-12 12:00:00,2013,11,12,NA,NA,NA,NA
2013-11-13 12:00:00,2013,11,13,NA,NA,NA,NA
2013-11-14 12:00:00,2013,11,14,NA,NA,NA,NA
2013-11-15 12:00:00,2013,11,15,NA,NA,NA,NA
2013-11-16 12:00:00,2013,11,16,NA,NA,NA,NA
2013-11-17 12:00:00,2013,11,17,NA,NA,NA,NA
2013-11-18 12:00:00,2013,11,18,NA,NA,NA,NA
2013-11-19 12:00:00,2013,11,19,NA,NA,NA,NA
2013-11-20 12:00:00,2013,11,20,NA,NA,NA,NA
2013-11-21 12:00:00,2013,11,21,NA,NA,NA,NA
2013-11-22 12:00:00,2013,11,22,NA,NA,NA,NA
2013-11-23 12:00:00,2013,11,23,NA,NA,NA,NA
