"Date","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
2006-01-01 12:00:00,2006,1,1,0.889,5,2.556,NA
2006-01-02 12:00:00,2006,1,2,2.111,5.889,4.722,3.048
2006-01-03 12:00:00,2006,1,3,-2.778,5.889,0.389,0.254
2006-01-04 12:00:00,2006,1,4,-3.5,4.278,0,0.762
2006-01-05 12:00:00,2006,1,5,-3.5,4.278,2,0
2006-01-06 12:00:00,2006,1,6,-0.889,3.889,1.556,0.762
2006-01-07 12:00:00,2006,1,7,1.778,4,2.944,1.778
2006-01-08 12:00:00,2006,1,8,2.278,9.778,7,0
2006-01-09 12:00:00,2006,1,9,0.278,12.5,7.056,0
2006-01-10 12:00:00,2006,1,10,10.889,14.5,12.389,0
2006-01-11 12:00:00,2006,1,11,5.778,14.611,9.167,1.016
2006-01-12 12:00:00,2006,1,12,1.5,11.889,5.5,0
2006-01-13 12:00:00,2006,1,13,1.5,8.611,4.444,3.81
2006-01-14 12:00:00,2006,1,14,4.778,8.278,6.556,0
2006-01-15 12:00:00,2006,1,15,0.611,8.778,5.389,0
2006-01-16 12:00:00,2006,1,16,-0.778,9.111,0.222,5.842
2006-01-17 12:00:00,2006,1,17,-0.778,4.222,1.333,0.508
2006-01-18 12:00:00,2006,1,18,-1.778,4.222,-0.111,0
2006-01-19 12:00:00,2006,1,19,-1.278,0.5,-0.722,0
2006-01-20 12:00:00,2006,1,20,-1.389,11.778,5.111,0
2006-01-21 12:00:00,2006,1,21,-3.111,7.389,2.444,0
2006-01-22 12:00:00,2006,1,22,-3.611,3.278,-0.111,0
2006-01-23 12:00:00,2006,1,23,-5.111,5.389,2.111,0
2006-01-24 12:00:00,2006,1,24,-2.722,7.611,2.111,0
2006-01-25 12:00:00,2006,1,25,-5.278,7.611,-0.556,0
2006-01-26 12:00:00,2006,1,26,-5.278,8,1.889,0
2006-01-27 12:00:00,2006,1,27,-3,11.111,5.889,0
2006-01-28 12:00:00,2006,1,28,6,11.389,8.111,0
2006-01-29 12:00:00,2006,1,29,1.111,7.111,4.444,NA
2006-01-30 12:00:00,2006,1,30,10.222,14.111,12.5,1.778
2006-01-31 12:00:00,2006,1,31,2,14.222,6.278,0
2006-02-01 12:00:00,2006,2,1,2.611,14.111,8.222,1.524
2006-02-02 12:00:00,2006,2,2,3,13,8.222,0
2006-02-03 12:00:00,2006,2,3,0.278,11.611,5.667,0
2006-02-04 12:00:00,2006,2,4,5.722,10,7.944,0
2006-02-05 12:00:00,2006,2,5,3,10,7.111,0
2006-02-06 12:00:00,2006,2,6,-2,9.889,2.944,0
2006-02-07 12:00:00,2006,2,7,-5,10,2.056,0
2006-02-08 12:00:00,2006,2,8,-3.111,7.278,1.722,0
2006-02-09 12:00:00,2006,2,9,-1.111,10.222,3.556,0
2006-02-10 12:00:00,2006,2,10,-3.722,10.111,2.611,0
2006-02-11 12:00:00,2006,2,11,-2.222,7.611,2.778,0
2006-02-12 12:00:00,2006,2,12,-4.611,7.722,2.167,0
2006-02-13 12:00:00,2006,2,13,-4.389,6.389,-0.056,0
2006-02-14 12:00:00,2006,2,14,-1.778,6.778,2.889,0
2006-02-15 12:00:00,2006,2,15,-2.889,7,1.278,0
2006-02-16 12:00:00,2006,2,16,-3.778,5,0.722,0
2006-02-17 12:00:00,2006,2,17,-11,1.278,-6.056,0
2006-02-18 12:00:00,2006,2,18,-12.111,0,-5.333,0
2006-02-19 12:00:00,2006,2,19,-14.278,3,-3.611,0
2006-02-20 12:00:00,2006,2,20,-10,7.278,-2.778,0
2006-02-21 12:00:00,2006,2,21,-7,12.889,3.722,0
2006-02-22 12:00:00,2006,2,22,-0.611,14.389,7.722,0
2006-02-23 12:00:00,2006,2,23,5.889,15.389,9.444,0
2006-02-24 12:00:00,2006,2,24,-1.111,12,3.611,0
2006-02-25 12:00:00,2006,2,25,-3,6,1.611,0
2006-02-26 12:00:00,2006,2,26,0.389,5.278,3.444,0
2006-02-27 12:00:00,2006,2,27,-0.778,9,3.444,0.508
2006-02-28 12:00:00,2006,2,28,4,10.111,6.722,7.112
2006-03-01 12:00:00,2006,3,1,-1.611,12.889,4.5,2.032
2006-03-02 12:00:00,2006,3,2,2.889,13.778,7.778,0
2006-03-03 12:00:00,2006,3,3,0,12.389,5.333,0
2006-03-04 12:00:00,2006,3,4,1.111,13.278,8.611,0
2006-03-05 12:00:00,2006,3,5,2.611,4.889,3.889,0
2006-03-06 12:00:00,2006,3,6,1.722,14.278,6.167,0
2006-03-07 12:00:00,2006,3,7,5.278,15.222,9.611,0
2006-03-08 12:00:00,2006,3,8,-0.222,12,4.722,0
2006-03-09 12:00:00,2006,3,9,-0.278,9.5,4.889,0
2006-03-10 12:00:00,2006,3,10,-6.111,9.611,1.778,0
2006-03-11 12:00:00,2006,3,11,-3.222,9.722,4.167,0
2006-03-12 12:00:00,2006,3,12,-0.611,9.222,5.611,0
2006-03-13 12:00:00,2006,3,13,-7.222,11.722,2.111,0
2006-03-14 12:00:00,2006,3,14,0.889,12.778,6.278,0
2006-03-15 12:00:00,2006,3,15,-2.222,12.222,5.556,0
2006-03-16 12:00:00,2006,3,16,0.722,11.611,5.333,0
2006-03-17 12:00:00,2006,3,17,0.889,11.722,6,5.588
2006-03-18 12:00:00,2006,3,18,2.5,13.222,8.722,0
2006-03-19 12:00:00,2006,3,19,2.389,12,8.278,0
2006-03-20 12:00:00,2006,3,20,3.278,13.889,7.722,0
2006-03-21 12:00:00,2006,3,21,1.222,15.389,8.111,0
2006-03-22 12:00:00,2006,3,22,5.389,16.778,9.611,0
2006-03-23 12:00:00,2006,3,23,6.222,16.5,10.611,0
2006-03-24 12:00:00,2006,3,24,9,18,13.5,0
2006-03-25 12:00:00,2006,3,25,5.722,15.111,9.778,0
2006-03-26 12:00:00,2006,3,26,5.611,13.611,10.333,0
2006-03-27 12:00:00,2006,3,27,-2.278,14.889,6.111,0
2006-03-28 12:00:00,2006,3,28,8,16.889,11.556,0
2006-03-29 12:00:00,2006,3,29,6,19.5,11.667,0
2006-03-30 12:00:00,2006,3,30,2.722,17.111,10.778,0
2006-03-31 12:00:00,2006,3,31,4.778,18.778,11.611,0
2006-04-01 12:00:00,2006,4,1,5.889,17.778,9.778,6.096
2006-04-02 12:00:00,2006,4,2,1.778,12.278,7.222,0
2006-04-03 12:00:00,2006,4,3,5.722,13.778,9.222,1.524
2006-04-04 12:00:00,2006,4,4,6.389,13.389,9.556,0
2006-04-05 12:00:00,2006,4,5,6.389,16.111,10.889,NA
2006-04-06 12:00:00,2006,4,6,7.389,18.889,13.111,0
2006-04-07 12:00:00,2006,4,7,2.5,18.111,9.722,0
2006-04-08 12:00:00,2006,4,8,8.778,16.389,11.5,0.762
2006-04-09 12:00:00,2006,4,9,4.389,14.889,10.111,0
2006-04-10 12:00:00,2006,4,10,7.611,11,8.722,5.08
2006-04-11 12:00:00,2006,4,11,0.889,17.611,8.556,0
2006-04-12 12:00:00,2006,4,12,7.111,21,13,0.508
2006-04-13 12:00:00,2006,4,13,6.889,18.111,11.056,0
2006-04-14 12:00:00,2006,4,14,9.222,16.5,12.778,0.508
2006-04-15 12:00:00,2006,4,15,5.611,11,8.444,0
2006-04-16 12:00:00,2006,4,16,3,12.111,8.667,0
