"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.6433988895904,4500.65903566004,466
"2002/2003",2003,120,120,100,82.0832870243574,3882.55341304581,542
"2003/2004",2004,120,120,100,81.1876753713693,1757.54117749122,773
"2004/2005",2005,121,121,100,87.1193858468589,2704.84478309346,439
"2005/2006",2006,120,120,100,88.8150172354046,3917.60803033831,299
"2006/2007",2007,120,120,100,83.6591931872525,3251.13074558973,531
"2007/2008",2008,120,120,100,75.990982196761,2316.01565947343,838
"2008/2009",2009,121,121,100,81.5613449739853,2537.62628756615,646
"2009/2010",2010,120,120,100,83.4768158021259,2684.53020482231,501
"2010/2011",2011,120,120,100,87.1572193173558,2382.79965887801,330
"2011/2012",2012,120,120,100,83.3811291532738,2402.93121823948,509
"2012/2013",2013,121,121,100,83.4729408384619,2955.36002588656,733
"2013/2014",2014,120,120,100,80.4440577269008,2144.40708389156,769
"2014/2015",2015,120,120,100,64.8106558545587,4176.31546577369,1298
"2015/2016",2016,120,120,100,82.7841610912801,3237.96875704557,457
"2016/2017",2017,121,121,100,77.6560906426939,4510.96538407775,688
"2017/2018",2018,120,120,100,75.4713503311818,3923.60106440098,802
"2018/2019",2019,120,120,100,72.3725164490083,2596.82717535389,935
"2019/2020",2020,120,120,100,82.7336409498207,3942.54554631934,583
"2020/2021",2021,121,121,100,86.5850368794327,4291.75796147808,344
"2021/2022",2022,120,120,100,73.7842968375289,2366.04045700096,1035
"2022/2023",2023,120,120,100,74.3343554592475,3928.39052902767,731
"2023/2024",2024,120,120,100,86.1619631079543,3706.5884408874,364
"2024/2025",2025,121,121,100,89.4165047173947,3279.52135925391,406
"2025/2026",2026,120,120,100,84.4361523763846,3134.45422803122,472
"2026/2027",2027,120,120,100,74.0560914069647,1392.83092156937,1187
"2027/2028",2028,120,120,100,82.189429097165,3079.30222085002,625
"2028/2029",2029,121,121,100,83.6003889136596,2144.10866978159,698
"2029/2030",2030,120,120,100,80.5607992716923,2731.71390354005,708
"2030/2031",2031,120,120,100,87.132895949585,3584.11919680843,552
"2031/2032",2032,120,120,100,78.3567543144063,2885.0298288269,774
"2032/2033",2033,121,121,100,82.613134357166,2771.25469991029,597
"2033/2034",2034,120,120,100,81.1200347822323,1911.75847293972,803
"2034/2035",2035,120,120,100,74.044144733095,2519.19624111522,910
"2035/2036",2036,120,120,100,80.962356305211,3386.37803124078,641
"2036/2037",2037,121,121,100,84.6938183537932,3404.98272185959,575
"2037/2038",2038,120,120,100,78.7272449336833,1590.45399913983,955
"2038/2039",2039,120,120,100,81.7110790089109,3974.34358493472,474
"2039/2040",2040,120,120,100,88.3899290835561,4716.92571266927,301
"2040/2041",2041,121,121,100,86.4013779474362,3227.80301191797,472
"2041/2042",2042,120,120,100,84.5858525961958,1925.56211466063,513
"2042/2043",2043,120,120,100,83.3169359663234,6423.71170633659,395
"2043/2044",2044,120,120,100,80.6152003745829,1450.41151161166,782
"2044/2045",2045,121,121,100,84.6266987284253,2770.7800149126,464
"2045/2046",2046,120,120,100,76.5313725422293,2423.40429071197,983
"2046/2047",2047,120,120,100,78.2962618385473,2551.724865722,784
"2047/2048",2048,120,120,100,79.2873666108208,2555.60847800877,728
"2048/2049",2049,121,121,100,85.3528288215166,2137.99112904398,461
"2049/2050",2050,120,120,100,79.2633485727411,1616.39250058401,825
"2050/2051",2051,120,120,100,76.80245241383,1170.44061402464,900
"2051/2052",2052,120,120,100,79.6958885072145,3373.61695542699,678
"2052/2053",2053,121,121,100,81.4953298053661,4426.84787694085,573
"2053/2054",2054,120,120,100,86.0373771991135,3970.14395941375,446
"2054/2055",2055,120,120,100,86.4530426015435,3846.82006933028,400
"2055/2056",2056,120,120,100,79.829531295446,3125.10771781905,687
"2056/2057",2057,121,121,100,76.3352079552096,4467.89432328893,526
"2057/2058",2058,120,120,100,76.3230642691724,2927.55047411751,804
"2058/2059",2059,120,120,100,87.4012844844219,3480.1711510038,339
"2059/2060",2060,120,120,100,72.5008139218062,2214.23073395668,1063
"2060/2061",2061,121,121,100,85.1693847322458,3956.56286517112,518
"2061/2062",2062,120,120,100,69.479046804594,5497.9662245363,715
"2062/2063",2063,120,120,100,76.4985581461042,1675.49377011135,852
"2063/2064",2064,120,120,100,81.6469629605454,1382.13136640796,814
"2064/2065",2065,121,121,100,80.8241203683683,3157.00306678703,730
"2065/2066",2066,120,120,100,85.6992114603254,3052.20736490609,486
"2066/2067",2067,120,120,100,85.4327368364538,2879.43945190916,406
"2067/2068",2068,120,120,100,79.4181520681523,1473.89779858477,885
"2068/2069",2069,121,121,100,86.8747122786936,4695.3043124564,487
"2069/2070",2070,120,120,100,77.6099747278222,3394.5804480724,814
"2070/2071",2071,120,120,100,79.841053057351,2744.94691515574,634
"2071/2072",2072,120,120,100,82.435126966986,2636.07854245324,641
"2072/2073",2073,121,121,100,83.4403390199404,4151.28692552447,592
"2073/2074",2074,120,120,100,83.5148874091083,4175.79109567031,386
"2074/2075",2075,120,120,100,69.8553839367632,5488.70255700685,797
"2075/2076",2076,120,120,100,82.5375297238443,4329.89539195225,620
"2076/2077",2077,121,121,100,89.0006062744615,3846.81530393381,271
"2077/2078",2078,120,120,100,77.8863478965814,1459.71871052124,875
"2078/2079",2079,120,120,100,77.624640140979,1290.54069102276,824
"2079/2080",2080,120,120,100,85.7305853274538,2597.08112356532,442
"2080/2081",2081,121,121,100,88.7067934705155,3591.13729052152,300
"2081/2082",2082,120,120,100,79.4267730703868,3755.96992833074,612
"2082/2083",2083,120,120,100,81.7249133585028,3505.6624141112,511
"2083/2084",2084,120,120,100,82.4040618362033,4576.3567846939,462
"2084/2085",2085,121,121,100,77.6062919051838,1664.28539867327,877
"2085/2086",2086,120,120,100,80.721504314195,2582.26168497652,682
"2086/2087",2087,120,120,100,79.0954229904128,2899.94667688385,746
"2087/2088",2088,120,120,100,82.1974747574914,2334.47310054209,623
"2088/2089",2089,121,121,100,79.5597896600611,3517.10576496273,753
"2089/2090",2090,120,120,100,84.6932055057132,2278.02241683658,651
"2090/2091",2091,120,120,100,78.5844412844071,1328.28244282771,887
"2091/2092",2092,120,120,100,79.9134992607269,2546.2940952573,825
"2092/2093",2093,121,121,100,80.5816163459313,1763.54121183604,816
"2093/2094",2094,120,120,100,81.3042282637671,4215.64496152103,578
"2094/2095",2095,120,120,100,80.7205693484648,3550.0733101787,775
"2095/2096",2096,120,120,100,86.9482483605516,2535.86382537708,497
"2096/2097",2097,121,121,100,79.9614992481547,5664.44704189152,442
"2097/2098",2098,120,120,100,71.7610397288427,5287.93871140201,717
"2098/2099",2099,120,120,100,78.3549903169423,2942.96131977253,844
"2099/2100",2100,120,120,100,78.654482578615,3182.39079354517,738
