"Year","pheno","Predicted"
2020,115,114.208333333333
2021,98,92.0416666666667
2023,64,60.5416666666667
2024,49,53.375
2025,64,61.2083333333333
2027,100,100.291666666667
2029,95,92.125
2030,53,51.5416666666667
2031,113,114.083333333333
2038,112,108.25
2039,89,88.0416666666667
2041,53,52.2083333333333
2045,67,66.875
2046,113,110.416666666667
2048,115,114.291666666667
2049,99,97.4166666666667
2050,71,71.0416666666667
2053,112,119.083333333333
2056,108,109
2057,77,79.3333333333333
2058,101,92.2083333333333
2059,105,109.25
2060,66,62.25
2062,133,139
2063,73,69
2064,94,97.9166666666667
2066,97,93.0833333333333
2067,77,77.0833333333333
2068,91,87.4166666666667
2069,112,113.041666666667
2070,119,118.541666666667
2071,126,114.958333333333
2073,112,119.416666666667
2074,73,72.125
2078,97,98.375
2079,112,111
2082,91,87.375
2083,98,96.375
2084,112,115.083333333333
2085,70,67.125
