"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"1998/1999",1999,120,120,100,1783,1569,79.170529815675,1928.91954914971,"observed"
"1999/2000",2000,120,120,100,1945,1946,86.9206480553452,2192.78658421008,"observed"
"2000/2001",2001,121,121,100,1493,1710,84.341904066373,3465.93014073694,"observed"
"2001/2002",2002,120,120,100,1375,1521,80.7180148924323,3125.79332927876,"observed"
"2002/2003",2003,120,120,100,1398,1521,82.3016636921135,2973.59815427694,"observed"
"2003/2004",2004,120,120,100,1609,1614,83.4338292989203,3553.49730477667,"observed"
"2004/2005",2005,121,121,100,1523,1418.5,79.2012970244184,1736.23689509746,"observed"
"2001/2002",2002,120,120,100,1412,1708.5,84.022851906536,4393.9735451729,"simulated"
"2002/2003",2003,120,120,100,1623,1768.5,81.5070286219113,3732.34293645174,"simulated"
"2003/2004",2004,120,120,100,1532,1428,80.3117738186046,2310.44578152287,"simulated"
"2004/2005",2005,121,121,100,1823,1774.5,85.5544072821196,2820.73453595714,"simulated"
"2005/2006",2006,120,120,100,1627,1852,87.3102759922111,3945.7466569017,"simulated"
"2006/2007",2007,120,120,100,1693,1764,81.6462272369657,3139.62637533382,"simulated"
"2007/2008",2008,120,120,100,1578,1480.5,78.9342128557947,2124.96755121659,"simulated"
"2008/2009",2009,121,121,100,1610,1661.5,81.1352137271102,2564.22050027712,"simulated"
"2009/2010",2010,120,120,100,1662,1724.5,83.722337421278,3012.35333822817,"simulated"
"2010/2011",2011,120,120,100,1928,1858.5,87.0912318315248,2226.31178879519,"simulated"
"2011/2012",2012,120,120,100,1763,1703,81.5043470644742,2476.73245781836,"simulated"
"2012/2013",2013,121,121,100,1636,1630,83.1815198985314,2713.4106713989,"simulated"
"2013/2014",2014,120,120,100,1673,1540,79.1949164607838,2255.35785435408,"simulated"
"2014/2015",2015,120,120,100,1013,1029,66.9445933059044,3308.70919945216,"simulated"
"2015/2016",2016,120,120,100,1744,1767,82.5441945599135,2978.25980320685,"simulated"
"2016/2017",2017,121,121,100,1438,1558,82.7379123426684,3885.52091587933,"simulated"
"2017/2018",2018,120,120,100,1312,1456.5,77.1625938243243,3735.98548784147,"simulated"
"2018/2019",2019,120,120,100,1537,1394,75.1186602601662,2094.52665881678,"simulated"
"2019/2020",2020,120,120,100,1481,1644.5,82.269237088542,3763.09209898633,"simulated"
"2020/2021",2021,121,121,100,1587,1828,86.0681021464736,4421.88453285006,"simulated"
"2021/2022",2022,120,120,100,1402,1230,75.5083856198647,1969.40911671568,"simulated"
"2022/2023",2023,120,120,100,1590,1540,81.5174411354373,2835.07217902173,"simulated"
"2023/2024",2024,120,120,100,1737,1865,86.3938687697397,3451.02166023953,"simulated"
"2024/2025",2025,121,121,100,1693,1813,86.296164704759,3334.80751735507,"simulated"
"2025/2026",2026,120,120,100,1581,1625.5,82.2203029211887,3674.66423483182,"simulated"
"2026/2027",2027,120,120,100,1290,1201,73.5144306758545,1883.22230108102,"simulated"
"2027/2028",2028,120,120,100,1514,1590.5,81.9346380818163,3072.49874837069,"simulated"
"2028/2029",2029,121,121,100,1700,1601,84.2066204562743,2003.18260622323,"simulated"
"2029/2030",2030,120,120,100,1599,1607,83.0209941489075,2297.83905855857,"simulated"
"2030/2031",2031,120,120,100,1476,1656.5,84.1244952320828,4102.67860790012,"simulated"
"2031/2032",2032,120,120,100,1540,1440,78.4448148059241,3047.18168176069,"simulated"
"2032/2033",2033,121,121,100,1782,1804,82.7899984021052,2500.27253130992,"simulated"
"2033/2034",2034,120,120,100,1538,1478.5,79.0059722810478,2074.37548134495,"simulated"
"2034/2035",2035,120,120,100,1489,1400.5,76.6929429168574,1995.26464670061,"simulated"
"2035/2036",2036,120,120,100,1631,1501.5,80.8836500030959,3287.99598082952,"simulated"
"2036/2037",2037,121,121,100,1612,1740.5,85.7524253262162,3084.41324467998,"simulated"
"2037/2038",2038,120,120,100,1614,1293,79.3583232066726,1417.4161097143,"simulated"
"2038/2039",2039,120,120,100,1645,1813.5,84.2703189034484,3366.28552319856,"simulated"
"2039/2040",2040,120,120,100,1550,1912.5,87.8952841141154,4792.54366201069,"simulated"
"2040/2041",2041,121,121,100,1649,1743.5,86.2012967672302,3216.26509558357,"simulated"
"2041/2042",2042,120,120,100,1914,1807.5,84.760825713066,1930.00948300575,"simulated"
"2042/2043",2043,120,120,100,1340,1786,83.3789809636223,6109.59210667233,"simulated"
"2043/2044",2044,120,120,100,1825,1486.5,81.6290537452849,1411.90409085192,"simulated"
"2044/2045",2045,121,121,100,1959,1868.5,84.9880633074917,2323.31934671839,"simulated"
"2045/2046",2046,120,120,100,1565,1418,78.6631877602934,1837.33379115108,"simulated"
"2046/2047",2047,120,120,100,1683,1469,79.9235704011627,2021.05602973753,"simulated"
"2047/2048",2048,120,120,100,1633,1659.5,78.7812172625679,2144.40889755423,"simulated"
"2048/2049",2049,121,121,100,1882,1780.5,85.6246902943785,2120.16043845112,"simulated"
"2049/2050",2050,120,120,100,1778,1455.5,79.1410135859821,1275.85241176614,"simulated"
"2050/2051",2051,120,120,100,1683,1268,77.3843523174834,1237.75903506462,"simulated"
