"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.6450808863807,10555.709767742,181
"2002/2003",2003,120,120,100,83.3718760212546,8845.45637321848,256
"2003/2004",2004,120,120,100,87.4477011120734,5649.27770169466,252
"2004/2005",2005,121,121,100,86.9452770074412,7586.40655476542,132
"2005/2006",2006,120,120,100,81.2023593343637,10587.1461214725,37
"2006/2007",2007,120,120,100,81.3227025432024,8478.04112515046,260
"2007/2008",2008,120,120,100,83.8637268363045,5565.82785838185,238
"2008/2009",2009,121,121,100,88.1949461078973,7218.29477020248,302
"2009/2010",2010,120,120,100,84.170701453625,7975.05541722465,165
"2010/2011",2011,120,120,100,85.5886134552684,7765.32073365233,65
"2011/2012",2012,120,120,100,87.6338176140716,6720.36676276545,115
"2012/2013",2013,121,121,100,85.0059790289843,7326.92241758015,199
"2013/2014",2014,120,120,100,85.548841351731,6191.84708118241,231
"2014/2015",2015,120,120,100,72.7291969572427,7065.28452982462,506
"2015/2016",2016,120,120,100,87.3081504640172,8000.72863264428,120
"2016/2017",2017,121,121,100,76.2445659833525,9490.7611156113,247
"2017/2018",2018,120,120,100,78.0812148457912,8507.16646404215,331
"2018/2019",2019,120,120,100,82.5716783740604,5486.69572115294,386
"2019/2020",2020,120,120,100,81.7138297194178,9294.38977400865,141
"2020/2021",2021,121,121,100,79.243386685373,10566.6667519133,127
"2021/2022",2022,120,120,100,80.3402984542017,5335.65459759021,423
"2022/2023",2023,120,120,100,79.2672652769538,7845.10248199524,197
"2023/2024",2024,120,120,100,86.6632387302943,9294.99515721085,51
"2024/2025",2025,121,121,100,86.5521392010683,8824.98323362926,35
"2025/2026",2026,120,120,100,82.1537980336602,8553.33388313907,105
"2026/2027",2027,120,120,100,82.7359307026854,4607.17109839246,587
"2027/2028",2028,120,120,100,82.8677110558806,7739.10609481926,188
"2028/2029",2029,121,121,100,86.1522036781348,6040.76437121886,233
"2029/2030",2030,120,120,100,84.9850096568489,6812.87425825326,181
"2030/2031",2031,120,120,100,84.0477277016307,9007.29499405017,154
"2031/2032",2032,120,120,100,83.2191243408897,6821.08336856775,268
"2032/2033",2033,121,121,100,85.3183312140773,7474.53322387068,211
"2033/2034",2034,120,120,100,86.9102840503119,5659.64462908497,300
"2034/2035",2035,120,120,100,83.151998782675,5431.41503962269,373
"2035/2036",2036,120,120,100,82.9635143418336,7588.21569102863,157
"2036/2037",2037,121,121,100,84.8447360678938,8480.52665601717,223
"2037/2038",2038,120,120,100,86.6747776143357,4327.05000186805,323
"2038/2039",2039,120,120,100,80.0095870198329,9579.92347784806,249
"2039/2040",2040,120,120,100,80.4647121589114,11253.6038431022,15
"2040/2041",2041,121,121,100,88.9745019649345,7988.20062233834,102
"2041/2042",2042,120,120,100,90.9285238077991,6030.54287273809,81
"2042/2043",2043,120,120,100,69.7449202681801,13365.7037876695,209
"2043/2044",2044,120,120,100,89.9498741754132,4646.23857057001,249
"2044/2045",2045,121,121,100,88.8841352231857,7281.17644068878,149
"2045/2046",2046,120,120,100,86.2175019273391,5621.78861798253,377
"2046/2047",2047,120,120,100,85.6569118824591,5770.32480382035,285
"2047/2048",2048,120,120,100,83.872793736432,6572.56958852569,415
"2048/2049",2049,121,121,100,92.5572754596424,6490.53810288478,101
"2049/2050",2050,120,120,100,89.303672451937,4564.80246164044,184
"2050/2051",2051,120,120,100,88.0214229586081,3445.18546457496,282
"2051/2052",2052,120,120,100,81.5226887146227,7539.55545607023,179
"2052/2053",2053,121,121,100,80.6894672147337,9374.25576520246,200
"2053/2054",2054,120,120,100,80.2678938101226,10047.3111233413,201
"2054/2055",2055,120,120,100,85.0584790298235,9398.86693870602,34
"2055/2056",2056,120,120,100,84.9141291618998,6990.17324395059,178
"2056/2057",2057,121,121,100,83.0491550718116,8601.91064288374,75
"2057/2058",2058,120,120,100,81.238662144212,7514.14290942252,349
"2058/2059",2059,120,120,100,86.7385197217127,9147.95552386995,52
"2059/2060",2060,120,120,100,83.1592351197478,5020.56747698132,366
"2060/2061",2061,121,121,100,83.6946476212916,9256.04678188078,165
"2061/2062",2062,120,120,100,75.3043377407048,10049.5622066706,169
"2062/2063",2063,120,120,100,85.5807885106333,5011.38445662428,377
"2063/2064",2064,120,120,100,88.8066943196354,4778.39371461421,246
"2064/2065",2065,121,121,100,80.9193365754836,8263.37404099107,355
"2065/2066",2066,120,120,100,80.1643345718712,8612.03444856219,154
"2066/2067",2067,120,120,100,90.0138091907957,7480.90428880788,45
"2067/2068",2068,120,120,100,85.8602227620959,4812.04633296374,347
"2068/2069",2069,121,121,100,75.607902431042,11540.8916313089,173
"2069/2070",2070,120,120,100,81.2247060609443,7582.28720416315,273
"2070/2071",2071,120,120,100,83.3684060349042,7460.31601539906,273
"2071/2072",2072,120,120,100,85.6080993944906,6837.98298911657,154
"2072/2073",2073,121,121,100,77.0724314139461,9342.28532958962,153
"2073/2074",2074,120,120,100,79.5071644508589,10551.0591008021,194
"2074/2075",2075,120,120,100,74.2645897600105,9718.74534816761,435
"2075/2076",2076,120,120,100,78.673270891597,10072.7577590765,209
"2076/2077",2077,121,121,100,81.94035180848,10123.112498235,33
"2077/2078",2078,120,120,100,87.3395403143386,4504.77488924935,223
"2078/2079",2079,120,120,100,86.3683495428104,5067.35019728169,455
"2079/2080",2080,120,120,100,83.4892158603616,7632.24317259248,167
"2080/2081",2081,121,121,100,84.0024014912506,9603.4367341157,41
"2081/2082",2082,120,120,100,82.1463852834822,8939.82785955817,255
"2082/2083",2083,120,120,100,84.5601640311488,7926.6123749949,118
"2083/2084",2084,120,120,100,81.2147490979823,10489.0471001314,224
"2084/2085",2085,121,121,100,84.5630808535625,5005.98810375482,300
"2085/2086",2086,120,120,100,84.3403156802797,7103.86263012979,244
"2086/2087",2087,120,120,100,83.9825220242983,6518.56549137179,331
"2087/2088",2088,120,120,100,87.511443635809,6183.1934412038,166
"2088/2089",2089,121,121,100,78.9242972258726,7850.05338059273,353
"2089/2090",2090,120,120,100,87.8704585250689,6383.24586236477,203
"2090/2091",2091,120,120,100,86.9006372965778,4352.15935809445,363
"2091/2092",2092,120,120,100,86.1395404385785,6177.3031257391,257
"2092/2093",2093,121,121,100,89.2094996395263,5136.42121328507,196
"2093/2094",2094,120,120,100,80.2151956151156,9391.2314037988,193
"2094/2095",2095,120,120,100,81.7565207743319,8019.56313899066,296
"2095/2096",2096,120,120,100,86.5613859647619,7039.94614125788,98
"2096/2097",2097,121,121,100,80.7763005827073,10972.7241433393,98
"2097/2098",2098,120,120,100,74.6294986241628,9626.67140320688,193
"2098/2099",2099,120,120,100,83.1685355219324,6823.13466733973,257
"2099/2100",2100,120,120,100,81.9922875902812,7304.60684513394,353
