"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.922696968686,10359.6767890304,187
"2002/2003",2003,120,120,100,82.8245152285841,8946.53757636019,268
"2003/2004",2004,120,120,100,85.811152943707,5568.02192163892,283
"2004/2005",2005,121,121,100,87.6992922062611,7318.33175624337,136
"2005/2006",2006,120,120,100,80.2938637132173,10088.2255980489,42
"2006/2007",2007,120,120,100,83.4035858272442,8264.32554454473,268
"2007/2008",2008,120,120,100,82.919680397696,5635.81369980902,274
"2008/2009",2009,121,121,100,85.0135698047767,7029.48548801872,315
"2009/2010",2010,120,120,100,85.3711980588109,7715.68965821806,188
"2010/2011",2011,120,120,100,88.9417343708194,7305.89151856687,67
"2011/2012",2012,120,120,100,86.5991811391843,6620.20431121148,114
"2012/2013",2013,121,121,100,83.915753483994,7367.49183407216,236
"2013/2014",2014,120,120,100,85.4114022554004,5965.28823786764,229
"2014/2015",2015,120,120,100,68.8534439705159,7348.28857579001,576
"2015/2016",2016,120,120,100,83.8374226780145,8022.17069160147,145
"2016/2017",2017,121,121,100,76.7938789699601,9376.30198819144,263
"2017/2018",2018,120,120,100,76.8454898241012,8452.71967894491,366
"2018/2019",2019,120,120,100,79.948166089911,5610.73446546914,411
"2019/2020",2020,120,120,100,81.1548680541086,9127.1273761706,145
"2020/2021",2021,121,121,100,81.5804520364372,10218.9539942311,130
"2021/2022",2022,120,120,100,79.6898251747443,5470.38967565889,459
"2022/2023",2023,120,120,100,78.7565415106637,7909.6028097875,205
"2023/2024",2024,120,120,100,85.2358100982874,9201.70140420878,54
"2024/2025",2025,121,121,100,87.8054179400438,8633.40535906353,35
"2025/2026",2026,120,120,100,82.095342383152,8151.55961772241,103
"2026/2027",2027,120,120,100,81.7740026289907,4328.70683545549,583
"2027/2028",2028,120,120,100,83.2922037746553,7587.23258544644,199
"2028/2029",2029,121,121,100,87.6598180867072,5953.64412360685,238
"2029/2030",2030,120,120,100,82.7816468624883,6783.24875719007,221
"2030/2031",2031,120,120,100,84.0658824385391,8881.27770609455,180
"2031/2032",2032,120,120,100,81.258032050961,6906.36130363354,308
"2032/2033",2033,121,121,100,87.3854127134882,7221.50239341939,216
"2033/2034",2034,120,120,100,86.1806683618906,5524.52909680363,308
"2034/2035",2035,120,120,100,81.2013507824649,5556.16078142775,412
"2035/2036",2036,120,120,100,82.2783794797779,7582.95691639045,169
"2036/2037",2037,121,121,100,83.9785087459222,8396.95626137964,233
"2037/2038",2038,120,120,100,86.0569337104771,4284.84346663998,323
"2038/2039",2039,120,120,100,79.893447810523,9381.37895127386,252
"2039/2040",2040,120,120,100,78.7395755130729,11142.7227666588,31
"2040/2041",2041,121,121,100,88.6768765110928,8051.59361624671,113
"2041/2042",2042,120,120,100,90.2691676471395,5916.20770052262,119
"2042/2043",2043,120,120,100,71.3378200391335,13302.1687644068,225
"2043/2044",2044,120,120,100,89.8783396890522,4502.60324800294,244
"2044/2045",2045,121,121,100,88.2337068580109,7224.79675088916,161
"2045/2046",2046,120,120,100,82.8609850793691,5776.82256301399,421
"2046/2047",2047,120,120,100,84.0161516554444,5858.7478499664,303
"2047/2048",2048,120,120,100,82.3903229885991,6657.30018923339,438
"2048/2049",2049,121,121,100,91.3439863461699,6331.63370146789,105
"2049/2050",2050,120,120,100,87.6688769793645,4621.32266505109,234
"2050/2051",2051,120,120,100,86.241560646582,3425.90384734515,287
"2051/2052",2052,120,120,100,82.1762980721142,7473.00228239875,188
"2052/2053",2053,121,121,100,76.6669490011273,9447.4369285549,221
"2053/2054",2054,120,120,100,79.8618909609104,9750.059857029,200
"2054/2055",2055,120,120,100,83.7029582151317,9232.26607787004,32
"2055/2056",2056,120,120,100,84.121537619355,7135.66804370936,208
"2056/2057",2057,121,121,100,83.3279115005153,8542.29911082191,76
"2057/2058",2058,120,120,100,79.2054188038483,7383.45605128817,370
"2058/2059",2059,120,120,100,86.319357447207,8904.88847468048,62
"2059/2060",2060,120,120,100,82.2795862632011,5224.19330967218,407
"2060/2061",2061,121,121,100,84.5002710297249,9134.28337422479,169
"2061/2062",2062,120,120,100,75.3003200023113,10004.8433319824,192
"2062/2063",2063,120,120,100,86.2481404058672,4779.10068471637,397
"2063/2064",2064,120,120,100,88.965332726375,4733.15985807497,294
"2064/2065",2065,121,121,100,80.7018687318214,7915.56044120621,346
"2065/2066",2066,120,120,100,83.958991931022,8098.51765293349,144
"2066/2067",2067,120,120,100,88.2695636164663,7450.54173539206,59
"2067/2068",2068,120,120,100,85.2644051131902,4579.38727126829,351
"2068/2069",2069,121,121,100,78.162203847296,11080.6949435603,161
"2069/2070",2070,120,120,100,79.9778117193873,7478.74270073418,289
"2070/2071",2071,120,120,100,82.0676086122166,7337.04946692474,284
"2071/2072",2072,120,120,100,84.8625446603946,6837.32712313626,154
"2072/2073",2073,121,121,100,77.7180541062971,9205.07124583237,162
"2073/2074",2074,120,120,100,78.6421742076036,10165.5858792709,191
"2074/2075",2075,120,120,100,72.9319357799468,9662.61792717222,450
"2075/2076",2076,120,120,100,77.5964290052525,9967.10446443036,227
"2076/2077",2077,121,121,100,84.3109858562057,9782.97415071912,30
"2077/2078",2078,120,120,100,87.0971793307799,4438.05544627178,248
"2078/2079",2079,120,120,100,85.6021423622806,4768.15016748942,447
"2079/2080",2080,120,120,100,85.8590098701698,7310.8012434626,177
"2080/2081",2081,121,121,100,85.7330947296377,9251.2290829774,34
"2081/2082",2082,120,120,100,82.0247380907822,8835.28796656616,274
"2082/2083",2083,120,120,100,83.3241511185715,7968.87745598983,133
"2083/2084",2084,120,120,100,78.527120585115,10401.2382952338,232
"2084/2085",2085,121,121,100,83.2537857173484,4909.41439065617,336
"2085/2086",2086,120,120,100,84.2290947041311,7049.27078792825,259
"2086/2087",2087,120,120,100,82.3563292728795,6634.00881052203,356
"2087/2088",2088,120,120,100,87.5868225288687,6183.58591928333,172
"2088/2089",2089,121,121,100,79.1530890736412,7818.36441232357,360
"2089/2090",2090,120,120,100,87.918855052003,6388.76949819457,236
"2090/2091",2091,120,120,100,87.4479492688188,4240.12543328293,386
"2091/2092",2092,120,120,100,83.5764556592258,6236.97961565852,281
"2092/2093",2093,121,121,100,88.5979652368896,5136.80225417204,257
"2093/2094",2094,120,120,100,79.1340772377989,9258.84195152018,191
"2094/2095",2095,120,120,100,79.8052849757296,8063.01525169238,311
"2095/2096",2096,120,120,100,85.9939152049337,6950.07146692742,102
"2096/2097",2097,121,121,100,78.9370033544892,10957.575968029,107
"2097/2098",2098,120,120,100,75.3112076063153,9730.00678821001,221
"2098/2099",2099,120,120,100,81.5662995408984,6898.39280791115,306
"2099/2100",2100,120,120,100,79.5267861854936,7326.57913708035,367
