"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.4550057155856,9974.95388271485,199
"2002/2003",2003,120,120,100,84.3501093207321,8323.8458201405,262
"2003/2004",2004,120,120,100,86.9410064153604,5128.21483842883,257
"2004/2005",2005,121,121,100,87.3652661392734,7123.16597482451,150
"2005/2006",2006,120,120,100,82.0837508294884,9991.91749210272,48
"2006/2007",2007,120,120,100,83.1044859071631,7975.55454614875,268
"2007/2008",2008,120,120,100,83.8129650700313,5222.23338916822,275
"2008/2009",2009,121,121,100,84.6313940956918,6751.73684872605,332
"2009/2010",2010,120,120,100,85.4512137898748,7421.13164243056,180
"2010/2011",2011,120,120,100,88.4190016676137,7203.62854227552,71
"2011/2012",2012,120,120,100,87.1359173276596,6262.29378563748,125
"2012/2013",2013,121,121,100,85.5427476978846,6792.26690719591,214
"2013/2014",2014,120,120,100,85.7047866358159,5858.74564379419,255
"2014/2015",2015,120,120,100,71.5296765850192,6824.02521728294,544
"2015/2016",2016,120,120,100,87.7516361201565,7466.1780818277,123
"2016/2017",2017,121,121,100,78.4566737144187,8990.66044298327,266
"2017/2018",2018,120,120,100,78.283215802307,8039.72432366223,352
"2018/2019",2019,120,120,100,81.2700402000742,5181.62825268297,430
"2019/2020",2020,120,120,100,82.1135673036115,8758.69370525517,153
"2020/2021",2021,121,121,100,80.7273353339283,9936.44786738884,134
"2021/2022",2022,120,120,100,80.5339652175826,5035.97375479643,457
"2022/2023",2023,120,120,100,80.0997860935454,7503.63195669558,217
"2023/2024",2024,120,120,100,87.4060639268423,8717.47454727627,63
"2024/2025",2025,121,121,100,86.5166861163743,8318.35545384837,47
"2025/2026",2026,120,120,100,83.4205915221482,7986.72042909614,121
"2026/2027",2027,120,120,100,82.5604064664976,4288.21241709986,629
"2027/2028",2028,120,120,100,82.4229969111761,7348.78852455225,218
"2028/2029",2029,121,121,100,87.4496983280806,5571.36662786361,243
"2029/2030",2030,120,120,100,84.7279039137698,6385.58636666276,198
"2030/2031",2031,120,120,100,86.3826584305034,8381.47006567521,161
"2031/2032",2032,120,120,100,84.9207353942434,6325.38830898935,291
"2032/2033",2033,121,121,100,86.0107658920751,7006.60370258009,237
"2033/2034",2034,120,120,100,86.199544660175,5273.38228514791,322
"2034/2035",2035,120,120,100,81.6378023166117,5135.14366893237,421
"2035/2036",2036,120,120,100,81.9648784068677,7188.19308115868,171
"2036/2037",2037,121,121,100,85.2927579587558,8014.13851568755,235
"2037/2038",2038,120,120,100,85.8749560693586,4060.08006933983,356
"2038/2039",2039,120,120,100,79.2572490526909,9093.73136571236,274
"2039/2040",2040,120,120,100,83.2439613833858,10610.2914421577,18
"2040/2041",2041,121,121,100,88.9797225255143,7467.45562234335,110
"2041/2042",2042,120,120,100,90.9976350288352,5563.58555361489,90
"2042/2043",2043,120,120,100,72.0826925937045,12659.6374601163,212
"2043/2044",2044,120,120,100,89.3486899350182,4208.47402171791,264
"2044/2045",2045,121,121,100,89.1200733181786,6843.18768401397,166
"2045/2046",2046,120,120,100,83.491099098419,5347.10723146051,412
"2046/2047",2047,120,120,100,84.3528685770989,5440.60526235681,297
