"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.2972538268267,7157.80488559222,340
"2002/2003",2003,120,120,100,82.3391836865903,6281.99267884216,429
"2003/2004",2004,120,120,100,82.0512097028687,4257.64987006882,585
"2004/2005",2005,121,121,100,89.2320914761227,4630.33707478485,232
"2005/2006",2006,120,120,100,89.6368027752453,6272.09803700045,90
"2006/2007",2007,120,120,100,85.2635068657123,5150.4805095371,357
"2007/2008",2008,120,120,100,80.7421911002722,3843.54183101421,596
"2008/2009",2009,121,121,100,87.3730954743635,4623.64177372318,444
"2009/2010",2010,120,120,100,86.4835308657769,5071.60345468007,302
"2010/2011",2011,120,120,100,90.5747893603032,4185.9778079316,147
"2011/2012",2012,120,120,100,85.4277870958899,4405.95169467409,255
"2012/2013",2013,121,121,100,86.2690404223456,4986.45860551752,522
"2013/2014",2014,120,120,100,84.4579273814377,3374.14610576187,364
"2014/2015",2015,120,120,100,69.3140543109932,5281.92790928076,960
"2015/2016",2016,120,120,100,86.2928184924176,5568.31168336701,309
"2016/2017",2017,121,121,100,81.1069735105602,6404.55409794999,441
"2017/2018",2018,120,120,100,75.0920332188493,6212.11560576246,634
"2018/2019",2019,120,120,100,78.9750404352189,3701.14348170185,641
"2019/2020",2020,120,120,100,82.69242700108,6286.04326794064,369
"2020/2021",2021,121,121,100,85.3999016449816,7102.69831435569,229
"2021/2022",2022,120,120,100,80.9946507130967,3530.91356629296,677
"2022/2023",2023,120,120,100,83.5729151564178,5062.44855412678,344
"2023/2024",2024,120,120,100,88.5972563230289,5903.52737295325,86
"2024/2025",2025,121,121,100,88.7583194985227,5634.46498000808,176
"2025/2026",2026,120,120,100,81.7630875631403,5995.83231878025,325
"2026/2027",2027,120,120,100,78.263207607908,2959.32374475105,926
"2027/2028",2028,120,120,100,83.0266299223108,4915.40585714066,360
"2028/2029",2029,121,121,100,86.9388661397898,3694.02619210654,419
"2029/2030",2030,120,120,100,84.6463254712144,4213.38205195288,411
"2030/2031",2031,120,120,100,83.0203400270802,6667.32363239373,379
"2031/2032",2032,120,120,100,78.7397136140435,5338.77692274889,561
"2032/2033",2033,121,121,100,87.7412556856971,4317.85189395631,327
"2033/2034",2034,120,120,100,84.41841584336,3537.34611303266,550
"2034/2035",2035,120,120,100,79.9441881633747,3578.60817504441,631
"2035/2036",2036,120,120,100,82.9400711708367,5211.95667104097,311
"2036/2037",2037,121,121,100,87.720902705254,5370.25137669407,353
"2037/2038",2038,120,120,100,84.1984350190023,2464.74357116316,507
"2038/2039",2039,120,120,100,84.9566159997721,5728.55358812027,266
"2039/2040",2040,120,120,100,84.630582311569,7939.66603378486,163
"2040/2041",2041,121,121,100,87.1926354773923,5803.17624331452,323
"2041/2042",2042,120,120,100,88.6159167563819,3739.99741092278,282
"2042/2043",2043,120,120,100,78.3058267200713,9599.42844059132,288
"2043/2044",2044,120,120,100,85.0089289826792,2724.09984777868,476
"2044/2045",2045,121,121,100,88.9781597798838,4208.91203797562,218
"2045/2046",2046,120,120,100,84.3795043367654,3347.94042979972,665
"2046/2047",2047,120,120,100,83.7578343117266,3763.54251126759,471
"2047/2048",2048,120,120,100,83.2347165157662,4238.58386290306,535
"2048/2049",2049,121,121,100,90.6522707988233,3944.31082886085,258
"2049/2050",2050,120,120,100,85.4813357388866,2579.53166523995,419
"2050/2051",2051,120,120,100,82.9036092026263,2316.8571474487,602
"2051/2052",2052,120,120,100,83.2087007100081,5191.68920787983,448
"2052/2053",2053,121,121,100,79.9604819006117,7108.92659513047,465
"2053/2054",2054,120,120,100,83.060964538221,6898.71891390532,292
"2054/2055",2055,120,120,100,88.2208137785028,5973.21188927209,148
"2055/2056",2056,120,120,100,83.8902659855912,4883.31859145174,423
"2056/2057",2057,121,121,100,79.5379880361215,6292.8741206238,254
"2057/2058",2058,120,120,100,82.9510285502147,4696.07128421823,517
"2058/2059",2059,120,120,100,88.1907266223552,5918.27859779354,185
"2059/2060",2060,120,120,100,80.0603608333131,3510.9454328944,677
"2060/2061",2061,121,121,100,88.2278208188491,5420.45067561651,228
"2061/2062",2062,120,120,100,76.0122016065361,6427.95666820323,298
"2062/2063",2063,120,120,100,81.7241491439909,3145.47908767592,586
"2063/2064",2064,120,120,100,83.4830947075243,3665.78597552516,640
"2064/2065",2065,121,121,100,83.8028554980592,4835.8918636851,455
"2065/2066",2066,120,120,100,88.6372796853739,5382.69938181434,364
"2066/2067",2067,120,120,100,89.1316080008473,4906.95462072454,192
"2067/2068",2068,120,120,100,84.804394106719,2485.83973854687,534
"2068/2069",2069,121,121,100,88.9080242286036,6617.47376454715,142
"2069/2070",2070,120,120,100,83.76655513898,4648.41192898527,473
"2070/2071",2071,120,120,100,82.6704504895824,4445.50575048104,382
"2071/2072",2072,120,120,100,79.5108152894045,5378.04487521295,448
"2072/2073",2073,121,121,100,81.2157481554368,6661.1864799317,313
"2073/2074",2074,120,120,100,86.8878932074567,6461.43003715761,242
"2074/2075",2075,120,120,100,72.809991800701,7003.13470590208,590
"2075/2076",2076,120,120,100,74.6525377069174,7581.16418803856,459
"2076/2077",2077,121,121,100,88.7847710396636,6293.96800749004,89
"2077/2078",2078,120,120,100,82.1295875765099,3150.1076311674,577
"2078/2079",2079,120,120,100,85.829191701403,2360.38563197386,562
"2079/2080",2080,120,120,100,89.2851661892419,4368.6126650935,266
"2080/2081",2081,121,121,100,89.0554870774413,6192.24945020024,132
"2081/2082",2082,120,120,100,87.6533275596612,4881.23096767347,311
"2082/2083",2083,120,120,100,85.4071919407925,5261.9667531969,268
"2083/2084",2084,120,120,100,84.2837783762006,6954.10194220021,295
"2084/2085",2085,121,121,100,80.4651749788172,3422.74279474188,584
"2085/2086",2086,120,120,100,85.7535851577486,4301.64089033287,398
"2086/2087",2087,120,120,100,85.3934965337321,3984.09581629932,453
"2087/2088",2088,120,120,100,87.0535583548899,3885.67548503261,358
"2088/2089",2089,121,121,100,86.0600284847806,4882.73091326375,480
"2089/2090",2090,120,120,100,88.6428038235808,3863.61466318276,406
"2090/2091",2091,120,120,100,86.7025649644675,2075.99339274876,562
"2091/2092",2092,120,120,100,86.4062750208705,3572.86029510386,481
"2092/2093",2093,121,121,100,85.2936370929474,3269.52536027785,524
"2093/2094",2094,120,120,100,85.4204041892681,5904.84494165797,329
"2094/2095",2095,120,120,100,84.9193818998083,4947.5305221742,490
"2095/2096",2096,120,120,100,89.3272239965045,4130.27928992081,221
"2096/2097",2097,121,121,100,80.2465392744471,7906.2610198902,230
"2097/2098",2098,120,120,100,74.859221939545,7417.31440871488,501
"2098/2099",2099,120,120,100,86.8053967757605,4135.74871253502,457
"2099/2100",2100,120,120,100,81.2162209584039,4861.89104615431,475
