"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.4699242028672,5960.72831615349,404
"2002/2003",2003,120,120,100,81.6837794858556,5256.82586181001,450
"2003/2004",2004,120,120,100,84.144075733262,2719.87174007029,645
"2004/2005",2005,121,121,100,88.3819227106723,3811.06017406817,345
"2005/2006",2006,120,120,100,88.7095011014997,5240.35181065224,185
"2006/2007",2007,120,120,100,85.3769685405538,4409.80718053854,442
"2007/2008",2008,120,120,100,77.5347630594014,3258.80491212261,709
"2008/2009",2009,121,121,100,82.478201389642,3611.74211886001,551
"2009/2010",2010,120,120,100,84.5363353682023,3773.96224937064,408
"2010/2011",2011,120,120,100,89.8775272863259,3169.38471853314,177
"2011/2012",2012,120,120,100,84.6162393231518,3443.30134070048,386
"2012/2013",2013,121,121,100,85.7583524465338,3912.17163359234,586
"2013/2014",2014,120,120,100,83.001310121701,3091.77477088547,582
"2014/2015",2015,120,120,100,63.9411733234504,5262.09424770344,1156
"2015/2016",2016,120,120,100,86.0185437317646,4488.59989617229,373
"2016/2017",2017,121,121,100,78.9587924068019,5705.6749565216,557
"2017/2018",2018,120,120,100,75.7562794144883,5184.46917817998,704
"2018/2019",2019,120,120,100,75.0853422246687,3374.74243832333,772
"2019/2020",2020,120,120,100,82.8463498452588,5295.44247806491,447
"2020/2021",2021,121,121,100,85.7930498183955,5782.91195051535,274
"2021/2022",2022,120,120,100,76.1087731571547,3118.21326918597,856
"2022/2023",2023,120,120,100,78.7134128320372,4971.33143471135,556
"2023/2024",2024,120,120,100,87.3486913467123,4960.95788888284,220
"2024/2025",2025,121,121,100,90.0126001227145,4645.85439223144,291
"2025/2026",2026,120,120,100,84.3946628175204,4458.62817752082,373
"2026/2027",2027,120,120,100,77.3654789563866,2240.81347266631,1033
"2027/2028",2028,120,120,100,82.4665358287716,4321.95979304053,493
"2028/2029",2029,121,121,100,85.8304361386295,2908.23393445602,534
"2029/2030",2030,120,120,100,82.2116458717583,3716.73610792006,590
"2030/2031",2031,120,120,100,85.3241393883354,5122.86492072255,438
"2031/2032",2032,120,120,100,80.0964930147384,4057.15553002735,630
"2032/2033",2033,121,121,100,85.3708332004953,3824.16882607248,492
"2033/2034",2034,120,120,100,82.7157774090147,2785.36099847266,680
