"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.1116232897763,6531.98945436811,344
"2002/2003",2003,120,120,100,84.7163600595836,5538.28973077534,381
"2003/2004",2004,120,120,100,86.8870014359354,3042.46581120166,544
"2004/2005",2005,121,121,100,89.2972908471982,4283.45398970396,255
"2005/2006",2006,120,120,100,87.6364426783501,6193.42359823216,154
"2006/2007",2007,120,120,100,84.755730285391,4993.34619613015,386
"2007/2008",2008,120,120,100,81.9024915890384,3352.24574523972,592
"2008/2009",2009,121,121,100,84.7004041254572,4045.95009318367,486
"2009/2010",2010,120,120,100,86.8646260435335,4422.5056774246,351
"2010/2011",2011,120,120,100,90.4925542773442,3976.20715073973,147
"2011/2012",2012,120,120,100,86.3966537853557,3768.94341712433,295
"2012/2013",2013,121,121,100,86.7228615904969,4258.14639151527,483
"2013/2014",2014,120,120,100,82.6417513281681,3539.69374768517,468
"2014/2015",2015,120,120,100,69.1038311531643,5204.79391167499,1007
"2015/2016",2016,120,120,100,87.0712883554199,4759.40967397788,289
"2016/2017",2017,121,121,100,78.7060198189579,6237.841618584,489
"2017/2018",2018,120,120,100,76.397347767941,5465.09862828767,577
"2018/2019",2019,120,120,100,77.7981287803241,3395.77728385339,661
"2019/2020",2020,120,120,100,85.0269902092218,5800.8025311809,362
"2020/2021",2021,121,121,100,86.9352755231885,6511.18285390479,246
"2021/2022",2022,120,120,100,78.620299068958,3343.4812813641,754
"2022/2023",2023,120,120,100,79.8923179253093,5143.75813736441,458
"2023/2024",2024,120,120,100,88.7200156985059,5409.92241130141,154
"2024/2025",2025,121,121,100,89.2279909772451,5151.25840494293,170
"2025/2026",2026,120,120,100,83.965931290189,5064.7347090058,319
"2026/2027",2027,120,120,100,78.9141408395826,2537.77349803201,957
"2027/2028",2028,120,120,100,83.5952963798491,4742.07019006927,412
"2028/2029",2029,121,121,100,87.855693783104,3290.44318056293,444
"2029/2030",2030,120,120,100,82.9282366586112,4008.47411699267,457
