"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.9679539330659,6622.38403161654,323
"2002/2003",2003,120,120,100,84.4768506557749,5619.4542031028,392
"2003/2004",2004,120,120,100,86.7819955950825,3417.82226056649,565
"2004/2005",2005,121,121,100,89.4235744480917,4266.00029276073,235
"2005/2006",2006,120,120,100,88.6509135186684,6159.58604028262,110
"2006/2007",2007,120,120,100,84.5912043425263,4983.52866738569,364
"2007/2008",2008,120,120,100,82.5016897476462,3301.83900496381,561
"2008/2009",2009,121,121,100,86.3278187728085,4102.54911502497,464
"2009/2010",2010,120,120,100,87.9149300046479,4618.25434258487,334
"2010/2011",2011,120,120,100,89.7660651153396,4078.74761575123,140
"2011/2012",2012,120,120,100,86.9824741129455,3836.36019000725,249
"2012/2013",2013,121,121,100,85.0279672498427,4482.40648466279,495
"2013/2014",2014,120,120,100,84.4773488218598,3376.01896458759,405
"2014/2015",2015,120,120,100,72.1497132965358,4992.98902516207,988
"2015/2016",2016,120,120,100,86.7104596386171,4866.53658949281,289
"2016/2017",2017,121,121,100,81.0797944439382,6212.60402926966,469
"2017/2018",2018,120,120,100,77.8528733671701,5565.36201374396,583
"2018/2019",2019,120,120,100,78.3516536208926,3339.61538233398,664
"2019/2020",2020,120,120,100,84.93726641793,5829.54706689366,331
"2020/2021",2021,121,121,100,86.644793381045,6614.47016017814,253
"2021/2022",2022,120,120,100,81.1644887826383,3282.97231849772,710
"2022/2023",2023,120,120,100,81.5274581451276,4917.72242533695,393
"2023/2024",2024,120,120,100,88.9354070316408,5474.37962170527,123
"2024/2025",2025,121,121,100,90.4541471415869,5153.94718315988,148
"2025/2026",2026,120,120,100,84.7641239232667,5294.47045112681,303
"2026/2027",2027,120,120,100,77.9370352695687,2577.39688303508,924
"2027/2028",2028,120,120,100,85.1466072502094,4597.57206803258,358
"2028/2029",2029,121,121,100,87.4671430254762,3379.21092571039,431
"2029/2030",2030,120,120,100,85.3990786448521,3967.61074969149,414
"2030/2031",2031,120,120,100,86.876095748587,5815.16411169013,334
"2031/2032",2032,120,120,100,80.720778963464,4532.55469334591,534
"2032/2033",2033,121,121,100,86.8891937338976,4205.99535293644,369
"2033/2034",2034,120,120,100,85.6799839225996,3142.71778229624,539
"2034/2035",2035,120,120,100,80.2434665109104,3282.36055219918,661
"2035/2036",2036,120,120,100,84.6569550677696,4789.44359482499,315
"2036/2037",2037,121,121,100,88.3905007706508,5022.85590590863,347
"2037/2038",2038,120,120,100,82.3390821564817,2307.97154545411,570
"2038/2039",2039,120,120,100,84.6600778801876,5622.63291145628,332
"2039/2040",2040,120,120,100,87.7718973213196,7136.20232798718,148
"2040/2041",2041,121,121,100,88.689265134647,4952.78816165216,274
"2041/2042",2042,120,120,100,90.6427400827451,3207.40309671452,282
"2042/2043",2043,120,120,100,80.6019197261094,8946.93415753543,282
"2043/2044",2044,120,120,100,87.415557012011,2463.11087106075,452
"2044/2045",2045,121,121,100,87.7767778183716,3999.56867442001,240
"2045/2046",2046,120,120,100,84.1450329387535,3219.55278492998,680
"2046/2047",2047,120,120,100,82.9288281902755,3435.72808571719,479
"2047/2048",2048,120,120,100,81.9615913263615,3847.22660250589,567
"2048/2049",2049,121,121,100,90.4362239475067,3531.89131352538,236
"2049/2050",2050,120,120,100,85.8766391167828,2407.45223660953,428
"2050/2051",2051,120,120,100,83.337629358366,1889.99458978651,547
"2051/2052",2052,120,120,100,83.7634624166913,4674.45031124121,410
"2052/2053",2053,121,121,100,82.4755593116624,6232.98651327845,385
"2053/2054",2054,120,120,100,85.402246903298,6294.4269932895,297
"2054/2055",2055,120,120,100,87.9246853977347,5640.10496396804,152
"2055/2056",2056,120,120,100,85.2701917509248,4336.61572290305,400
"2056/2057",2057,121,121,100,82.2989108338361,5771.69126654649,211
"2057/2058",2058,120,120,100,82.1306951521283,4368.91339043621,538
"2058/2059",2059,120,120,100,88.2529935644297,5451.65590818645,156
"2059/2060",2060,120,120,100,80.7650289612684,3074.48259134963,670
"2060/2061",2061,121,121,100,87.5792914225403,5450.263073829,277
"2061/2062",2062,120,120,100,76.1735690059004,6583.55212035496,372
"2062/2063",2063,120,120,100,81.9690501001051,2872.38127873279,592
"2063/2064",2064,120,120,100,84.3123724167162,2823.52656565048,575
"2064/2065",2065,121,121,100,82.5526963788561,4829.30736825615,522
"2065/2066",2066,120,120,100,87.1873058414403,5011.46891950443,348
"2066/2067",2067,120,120,100,89.6178037452173,4327.47919908725,183
"2067/2068",2068,120,120,100,84.9160997633917,2423.52701903507,605
"2068/2069",2069,121,121,100,85.9749847209841,6822.64545744844,261
"2069/2070",2070,120,120,100,83.5882833456672,4552.91208327655,504
"2070/2071",2071,120,120,100,84.5984963160627,4180.49292773381,418
"2071/2072",2072,120,120,100,84.550587466867,4442.89920909423,418
"2072/2073",2073,121,121,100,82.2623986773033,6194.46268578339,334
"2073/2074",2074,120,120,100,87.2424924532224,6257.6674011983,257
"2074/2075",2075,120,120,100,73.3270427815132,6758.24892987777,582
"2075/2076",2076,120,120,100,80.7276368398707,6654.32083507162,439
"2076/2077",2077,121,121,100,90.0438409033832,5993.8169507999,110
"2077/2078",2078,120,120,100,83.4086403231249,2621.08608913701,560
"2078/2079",2079,120,120,100,83.6934145231135,2387.52954975609,622
"2079/2080",2080,120,120,100,88.5909603434648,4166.83945231326,281
"2080/2081",2081,121,121,100,89.1778952260956,5778.98214681633,133
"2081/2082",2082,120,120,100,86.8460282116612,5080.74890890718,391
"2082/2083",2083,120,120,100,86.7218480047941,4800.53825636301,274
"2083/2084",2084,120,120,100,85.5237778218161,6540.75175682455,306
"2084/2085",2085,121,121,100,80.7434556469379,2860.79992469121,573
"2085/2086",2086,120,120,100,85.253527138535,3908.47611170262,416
"2086/2087",2087,120,120,100,84.6309339174168,3845.50590081792,481
"2087/2088",2088,120,120,100,87.8757792365213,3423.76387330145,368
"2088/2089",2089,121,121,100,85.0186429537389,4747.30143099744,503
"2089/2090",2090,120,120,100,89.4471886555621,3519.13371076807,396
"2090/2091",2091,120,120,100,84.8016509964436,2092.4943116568,585
"2091/2092",2092,120,120,100,86.1704112732914,3457.37423812039,502
"2092/2093",2093,121,121,100,84.7944984410751,2852.92081917729,549
"2093/2094",2094,120,120,100,84.1879149804536,5669.43900465965,338
"2094/2095",2095,120,120,100,85.1376258536238,4790.39920328092,508
"2095/2096",2096,120,120,100,89.7578391216721,3920.32442693412,241
"2096/2097",2097,121,121,100,82.393771803534,7430.98500625696,206
"2097/2098",2098,120,120,100,77.5552206253287,6727.26232818794,460
"2098/2099",2099,120,120,100,84.9602308189096,3995.51608662959,486
"2099/2100",2100,120,120,100,81.5187191539335,4454.72359854355,495
