"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,85.2102553001403,5319.00938751929,385
"2002/2003",2003,120,120,100,83.5857226681524,4530.30543617383,470
"2003/2004",2004,120,120,100,81.1738170518773,2643.01722237008,690
"2004/2005",2005,121,121,100,88.0632864151008,3265.85209473563,335
"2005/2006",2006,120,120,100,90.0212225928174,4710.58865754033,182
"2006/2007",2007,120,120,100,84.2534600513391,3868.89414773544,448
"2007/2008",2008,120,120,100,78.9009268843748,2627.96815774939,705
"2008/2009",2009,121,121,100,84.1785810347169,3161.98662495858,575
"2009/2010",2010,120,120,100,84.7293675574608,3531.50927401579,438
"2010/2011",2011,120,120,100,88.9043396555389,2982.9939003035,223
"2011/2012",2012,120,120,100,85.3554270892093,2949.48238343769,381
"2012/2013",2013,121,121,100,86.2511694054811,3590.2764677566,632
"2013/2014",2014,120,120,100,81.3782701989282,2513.75133786444,577
"2014/2015",2015,120,120,100,68.6670030825719,4280.40810843743,1162
"2015/2016",2016,120,120,100,86.4312094411675,3848.58688114688,379
"2016/2017",2017,121,121,100,82.1324788057414,5025.50942845072,583
"2017/2018",2018,120,120,100,75.9201957907362,4572.91269369004,743
"2018/2019",2019,120,120,100,76.3206560027411,2770.21901495685,835
"2019/2020",2020,120,120,100,84.9846801829826,4607.30382065102,468
"2020/2021",2021,121,121,100,87.8764145807204,5179.58093767078,318
"2021/2022",2022,120,120,100,77.1801183747148,2620.15076996596,865
"2022/2023",2023,120,120,100,79.6434854128361,4029.40041899658,520
"2023/2024",2024,120,120,100,87.3091761113942,4359.60295672668,227
"2024/2025",2025,121,121,100,89.1243940792078,3954.65309784887,260
"2025/2026",2026,120,120,100,84.7968448941342,4113.73395084846,414
"2026/2027",2027,120,120,100,76.7967070931181,1930.50942944223,1069
"2027/2028",2028,120,120,100,82.7258010402229,3497.63737079129,483
"2028/2029",2029,121,121,100,84.7702283853405,2624.41816207208,570
"2029/2030",2030,120,120,100,84.1519846998276,3128.84708621493,559
"2030/2031",2031,120,120,100,84.0423511226682,4636.87025063299,457
"2031/2032",2032,120,120,100,79.7108865398204,3693.21792850923,664
"2032/2033",2033,121,121,100,85.5638288484888,3165.93659040076,460
"2033/2034",2034,120,120,100,83.45726110948,2429.58447842579,710
"2034/2035",2035,120,120,100,76.583399815574,2682.37945210421,794
"2035/2036",2036,120,120,100,83.4966690847377,3865.61638019653,434
