"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.7941779946288,6762.59706140701,317
"2002/2003",2003,120,120,100,83.9027238685949,5687.26145887258,381
"2003/2004",2004,120,120,100,85.9939773460106,3286.47660372578,553
"2004/2005",2005,121,121,100,89.9741407741211,4357.3954331252,257
"2005/2006",2006,120,120,100,88.7094402874499,6330.56252682483,143
"2006/2007",2007,120,120,100,85.6139353463509,5113.04709698493,375
"2007/2008",2008,120,120,100,80.6945422887526,3457.01416553179,563
"2008/2009",2009,121,121,100,85.1909556596481,4235.20603399724,482
"2009/2010",2010,120,120,100,86.7566887159981,4602.37422743777,344
"2010/2011",2011,120,120,100,90.5951116573231,4242.73793559789,146
"2011/2012",2012,120,120,100,86.6494698322676,3955.90264233388,261
"2012/2013",2013,121,121,100,86.0487535371963,4582.53801773093,493
"2013/2014",2014,120,120,100,84.4825772339364,3501.46239730984,419
"2014/2015",2015,120,120,100,70.0176409831329,5238.08480890852,985
"2015/2016",2016,120,120,100,86.055667555227,4968.62749268953,281
"2016/2017",2017,121,121,100,78.9749755997923,6396.43800843554,476
"2017/2018",2018,120,120,100,78.4471505935176,5547.15639560926,560
"2018/2019",2019,120,120,100,77.6801261989262,3496.25452389615,667
"2019/2020",2020,120,120,100,84.1114038744267,5987.75280872313,334
"2020/2021",2021,121,121,100,86.4239844386502,6659.00820612907,243
"2021/2022",2022,120,120,100,78.8256691485417,3526.37402987131,723
"2022/2023",2023,120,120,100,81.0974767680264,5245.63917431189,415
"2023/2024",2024,120,120,100,89.3085984382487,5738.0067404001,158
"2024/2025",2025,121,121,100,88.5438846970383,5309.21365825227,152
"2025/2026",2026,120,120,100,84.6489251577982,5122.46608416876,274
"2026/2027",2027,120,120,100,78.4221636368952,2449.22483947687,909
"2027/2028",2028,120,120,100,84.1768067355406,4751.83494863613,380
"2028/2029",2029,121,121,100,86.063322426568,3537.51729932847,450
"2029/2030",2030,120,120,100,83.4250371599642,4147.36515796767,427
"2030/2031",2031,120,120,100,86.3296109308717,5682.09730723733,318
"2031/2032",2032,120,120,100,82.3404222563968,4452.9593257294,518
"2032/2033",2033,121,121,100,86.0909328585085,4376.82785985572,397
"2033/2034",2034,120,120,100,84.1882833876962,3194.63017745782,543
"2034/2035",2035,120,120,100,78.8662260953879,3484.99747556774,670
"2035/2036",2036,120,120,100,84.3204512853172,4886.67729057791,324
"2036/2037",2037,121,121,100,87.8988041819675,5171.36468647234,348
"2037/2038",2038,120,120,100,82.158070637166,2525.68300768919,630
"2038/2039",2039,120,120,100,82.3371717488635,5956.15940459259,366
"2039/2040",2040,120,120,100,88.248434857921,7165.52788006049,152
"2040/2041",2041,121,121,100,88.9284639976677,4991.7424959857,257
"2041/2042",2042,120,120,100,88.6019288679618,3223.26004715031,291
"2042/2043",2043,120,120,100,80.3334465089001,9070.95304128481,283
"2043/2044",2044,120,120,100,86.1617394826335,2502.70460124174,465
