"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.9137591721084,9081.41539446219,257
"2002/2003",2003,120,120,100,82.5220035155817,8040.82186038679,327
"2003/2004",2004,120,120,100,85.6106239153859,4887.35675121669,414
"2004/2005",2005,121,121,100,88.2475348307476,6159.1126304043,186
"2005/2006",2006,120,120,100,88.6068597540545,8318.73458407528,64
"2006/2007",2007,120,120,100,83.8584683086708,6936.13826541166,301
"2007/2008",2008,120,120,100,80.4387879881093,5119.38388841128,470
"2008/2009",2009,121,121,100,86.0149139987576,5956.6645994162,368
"2009/2010",2010,120,120,100,86.6052320780252,6447.78585967864,247
"2010/2011",2011,120,120,100,90.8364710042492,5691.07611117233,86
"2011/2012",2012,120,120,100,85.4982475142647,5690.78683559049,190
"2012/2013",2013,121,121,100,83.5600749944178,6484.62034266,380
"2013/2014",2014,120,120,100,86.1211591322769,4914.76455869176,293
"2014/2015",2015,120,120,100,68.3971432226588,6929.20858820342,797
"2015/2016",2016,120,120,100,85.4015712182186,7136.24143692246,219
"2016/2017",2017,121,121,100,78.2382206960747,8201.27650401508,349
"2017/2018",2018,120,120,100,76.0142482923566,7698.46903564804,489
"2018/2019",2019,120,120,100,77.6628236577799,5102.74621515512,546
"2019/2020",2020,120,120,100,82.0120151095725,7978.27587961685,233
"2020/2021",2021,121,121,100,80.8567051534883,8786.88699511182,180
"2021/2022",2022,120,120,100,79.8291824538833,4789.65163361374,553
"2022/2023",2023,120,120,100,78.3363945508581,7015.41007723752,297
"2023/2024",2024,120,120,100,86.4479631334038,7922.11273884494,84
"2024/2025",2025,121,121,100,87.1520776564812,7392.38773639221,85
"2025/2026",2026,120,120,100,84.1552109016548,7069.72632012097,187
"2026/2027",2027,120,120,100,80.9198301423326,3753.1574435099,718
"2027/2028",2028,120,120,100,82.7097530666265,6493.12777466164,265
"2028/2029",2029,121,121,100,85.2480194040495,5047.04594365461,338
"2029/2030",2030,120,120,100,83.8070217389513,5920.68240924925,333
"2030/2031",2031,120,120,100,81.6880911451462,8000.72580363927,256
"2031/2032",2032,120,120,100,80.5392444794479,6365.33467368456,453
"2032/2033",2033,121,121,100,86.5717768387372,6026.64170054672,282
"2033/2034",2034,120,120,100,85.6095544692753,4696.55602854956,402
"2034/2035",2035,120,120,100,78.5137041253483,5033.67109168787,539
"2035/2036",2036,120,120,100,81.4941105526741,6817.0075487718,256
"2036/2037",2037,121,121,100,85.5310956121666,7325.87652049726,290
"2037/2038",2038,120,120,100,83.9893733019007,3590.97664533323,423
"2038/2039",2039,120,120,100,81.399834411156,7885.199081467,279
"2039/2040",2040,120,120,100,83.3279692511396,9848.29870797833,94
"2040/2041",2041,121,121,100,87.1898978327672,7308.13562774658,208
"2041/2042",2042,120,120,100,90.3528055070656,4998.58544845553,199
"2042/2043",2043,120,120,100,74.1218522804638,11901.3241784102,262
"2043/2044",2044,120,120,100,87.6751406849116,3714.73216645699,315
"2044/2045",2045,121,121,100,87.9488832464058,6078.23072656756,191
"2045/2046",2046,120,120,100,82.968332043084,5066.629966598,576
"2046/2047",2047,120,120,100,82.4693414007406,5198.30578688625,401
"2047/2048",2048,120,120,100,82.0186883160613,5768.3409534893,499
"2048/2049",2049,121,121,100,90.6507313360607,5404.8991457182,162
"2049/2050",2050,120,120,100,86.4201099172888,3859.64370270353,333
"2050/2051",2051,120,120,100,84.9754360952074,3039.86269446975,405
"2051/2052",2052,120,120,100,79.2134826020701,6698.92183081247,297
"2052/2053",2053,121,121,100,76.440845390819,8679.11942818202,329
"2053/2054",2054,120,120,100,82.3198343826507,8448.88278582366,244
"2054/2055",2055,120,120,100,86.0331791156632,7925.87391255097,84
"2055/2056",2056,120,120,100,81.8367150363729,6476.80544397281,308
"2056/2057",2057,121,121,100,79.6462463253847,7742.50612865249,140
"2057/2058",2058,120,120,100,81.5475418780461,6266.5985304974,430
"2058/2059",2059,120,120,100,87.1500701469395,7640.68211422069,114
"2059/2060",2060,120,120,100,79.6245967481009,4772.30806151219,544
"2060/2061",2061,121,121,100,84.7648042733426,7758.81427439488,219
"2061/2062",2062,120,120,100,75.0623415620394,8692.66811831295,262
"2062/2063",2063,120,120,100,82.6642252603069,4016.33590658382,454
"2063/2064",2064,120,120,100,86.7136774286955,4234.42861214373,413
"2064/2065",2065,121,121,100,84.6146705014871,6444.09538862575,389
"2065/2066",2066,120,120,100,86.3210111128701,6774.10505972058,227
"2066/2067",2067,120,120,100,87.5930091114587,6513.20598369557,111
"2067/2068",2068,120,120,100,86.3245048278277,3671.30322098732,447
"2068/2069",2069,121,121,100,84.1901239216986,9089.09776156303,194
"2069/2070",2070,120,120,100,80.4685220240044,6458.45416218974,364
"2070/2071",2071,120,120,100,83.7846309020861,6109.9412220316,336
"2071/2072",2072,120,120,100,83.5897161596313,6269.1738092117,290
"2072/2073",2073,121,121,100,77.9393797210469,8200.28582295217,252
"2073/2074",2074,120,120,100,82.2823115171032,8542.55751284398,204
"2074/2075",2075,120,120,100,72.5757437271204,8838.02248527762,535
"2075/2076",2076,120,120,100,78.956295364469,9003.50352988672,336
"2076/2077",2077,121,121,100,86.0433150057088,8212.67464366369,58
"2077/2078",2078,120,120,100,85.5222665399324,3989.93567529041,384
"2078/2079",2079,120,120,100,87.4932291139721,3625.43533782288,505
"2079/2080",2080,120,120,100,87.2982940591974,6000.45645130146,223
"2080/2081",2081,121,121,100,86.6309812905274,7808.52482607495,62
"2081/2082",2082,120,120,100,82.0963229662648,7283.94321340974,325
"2082/2083",2083,120,120,100,81.5237131478425,7075.68072797265,216
"2083/2084",2084,120,120,100,79.6914351841897,9059.55963166617,255
"2084/2085",2085,121,121,100,81.0195170085826,4263.09831427969,459
"2085/2086",2086,120,120,100,84.3107004144968,6035.44112623483,325
"2086/2087",2087,120,120,100,84.9396582865811,5716.49880134128,412
"2087/2088",2088,120,120,100,86.8584888336136,5361.30674949009,267
"2088/2089",2089,121,121,100,79.9941520565808,6765.38546591531,425
"2089/2090",2090,120,120,100,89.8172528817959,5493.18724435661,323
"2090/2091",2091,120,120,100,85.7508967503363,3306.05017065164,443
"2091/2092",2092,120,120,100,84.4951253871823,5320.67771090567,392
"2092/2093",2093,121,121,100,87.1341411372523,4495.58356522582,400
"2093/2094",2094,120,120,100,81.2668251021332,8082.74004075583,257
"2094/2095",2095,120,120,100,80.5355626882028,7077.8806933593,425
"2095/2096",2096,120,120,100,87.704990995122,5856.1106403023,171
"2096/2097",2097,121,121,100,78.0874633875374,9924.37887020037,164
