"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.8698400271283,9776.62635118233,232
"2002/2003",2003,120,120,100,80.1172770949372,8739.20741660765,304
"2003/2004",2004,120,120,100,84.6147255948388,5357.70830440719,375
"2004/2005",2005,121,121,100,87.9827353655327,6793.51793718018,169
"2005/2006",2006,120,120,100,86.9332245364978,9101.17073249165,58
"2006/2007",2007,120,120,100,83.2817483176084,7674.25364081882,296
"2007/2008",2008,120,120,100,83.1080666644558,5617.63134260918,419
"2008/2009",2009,121,121,100,86.1986358456595,6547.93818886881,339
"2009/2010",2010,120,120,100,85.2279327717572,7093.04945230042,229
"2010/2011",2011,120,120,100,91.9682562715984,6312.38389463047,81
"2011/2012",2012,120,120,100,84.7719325284972,6277.81872169988,172
"2012/2013",2013,121,121,100,82.96256531729,7049.72862141754,354
"2013/2014",2014,120,120,100,85.1865685420712,5536.93639878754,280
"2014/2015",2015,120,120,100,68.3579203205184,7451.86902062502,749
"2015/2016",2016,120,120,100,83.6738138252233,7768.90679114661,197
"2016/2017",2017,121,121,100,76.1746760539338,8933.41615168122,333
"2017/2018",2018,120,120,100,75.9533025195096,8252.12967670453,463
"2018/2019",2019,120,120,100,78.3384576006142,5534.30220367457,513
"2019/2020",2020,120,120,100,79.8755792753823,8681.52499158727,214
"2020/2021",2021,121,121,100,81.3162785999803,9573.02123077447,161
"2021/2022",2022,120,120,100,80.6747238785078,5287.84042076441,519
"2022/2023",2023,120,120,100,77.5154615770266,7645.0385136581,278
"2023/2024",2024,120,120,100,85.8228062202447,8613.95271884208,71
"2024/2025",2025,121,121,100,86.9035143535571,8108.48572912719,76
"2025/2026",2026,120,120,100,80.820310286877,7682.21008728771,173
"2026/2027",2027,120,120,100,81.2639598630526,4176.71171120857,674
"2027/2028",2028,120,120,100,82.377081352925,7181.78058996284,251
"2028/2029",2029,121,121,100,85.7325581798359,5602.81029369496,319
"2029/2030",2030,120,120,100,83.2623566125694,6524.18143470818,305
"2030/2031",2031,120,120,100,80.3708513719084,8714.57668756787,245
"2031/2032",2032,120,120,100,78.5722348610334,6933.77861742768,428
"2032/2033",2033,121,121,100,84.4941031461981,6746.25720657595,265
"2033/2034",2034,120,120,100,85.1058922080615,5188.36705691833,373
"2034/2035",2035,120,120,100,79.8013351618683,5517.35110284016,513
"2035/2036",2036,120,120,100,80.0842474850624,7459.85684223799,242
"2036/2037",2037,121,121,100,84.0705694896124,8078.25697860029,287
"2037/2038",2038,120,120,100,84.6078167493906,4069.16221013851,399
"2038/2039",2039,120,120,100,80.6246085093653,8577.82484871568,273
"2039/2040",2040,120,120,100,80.3294749036022,10651.3790471288,87
"2040/2041",2041,121,121,100,85.1525145450451,7952.62175271567,193
"2041/2042",2042,120,120,100,90.0382185684794,5515.25814685225,178
"2042/2043",2043,120,120,100,72.9820340308715,12733.8858750132,252
"2043/2044",2044,120,120,100,88.1153636933805,4150.29112677881,290
"2044/2045",2045,121,121,100,87.3994652220672,6745.49421695806,186
"2045/2046",2046,120,120,100,83.4370688521458,5594.79827319831,537
"2046/2047",2047,120,120,100,82.136306972021,5745.46302788425,378
"2047/2048",2048,120,120,100,82.2365099158942,6391.8992252443,481
"2048/2049",2049,121,121,100,88.4903358916181,6021.26364135044,146
"2049/2050",2050,120,120,100,88.0443390740911,4386.47073853808,315
"2050/2051",2051,120,120,100,85.5521896218834,3414.23148692911,361
"2051/2052",2052,120,120,100,80.5949602786486,7257.06804974331,274
"2052/2053",2053,121,121,100,74.353262247666,9345.71678009303,305
"2053/2054",2054,120,120,100,80.8544131010322,9229.56350629404,237
"2054/2055",2055,120,120,100,84.4129752950575,8643.76768341335,77
"2055/2056",2056,120,120,100,81.1983914644561,7088.1155188093,283
"2056/2057",2057,121,121,100,80.6958328074134,8322.03541513346,123
"2057/2058",2058,120,120,100,79.5480396092817,6819.7339106407,393
"2058/2059",2059,120,120,100,84.2999455004256,8388.9775753757,104
"2059/2060",2060,120,120,100,80.1964924201666,5216.74920795858,500
"2060/2061",2061,121,121,100,84.92508755581,8576.39369891584,210
"2061/2062",2062,120,120,100,74.5195324643,9356.64533872996,238
"2062/2063",2063,120,120,100,84.6025737346999,4449.32836432196,431
"2063/2064",2064,120,120,100,86.8870528643893,4659.53112500347,372
"2064/2065",2065,121,121,100,81.8233323248051,7080.71620680112,361
"2065/2066",2066,120,120,100,86.270916919706,7411.85888303071,210
"2066/2067",2067,120,120,100,86.106138684424,7144.25077567901,99
"2067/2068",2068,120,120,100,85.3251341020323,4186.17868001759,426
"2068/2069",2069,121,121,100,83.3367951147411,9974.60345634725,187
"2069/2070",2070,120,120,100,80.2471783984656,7052.89148858376,350
"2070/2071",2071,120,120,100,83.304932033825,6714.30576967541,319
