"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.120508652079,6783.22039097767,279
"2002/2003",2003,120,120,100,85.032603524895,5887.4238829251,378
"2003/2004",2004,120,120,100,87.5679075148503,3221.24609124332,495
"2004/2005",2005,121,121,100,90.9016387370867,4323.08568271424,225
"2005/2006",2006,120,120,100,90.1472368115335,6222.37377746793,97
"2006/2007",2007,120,120,100,84.4125001999092,5184.34233029379,350
"2007/2008",2008,120,120,100,79.4457602695187,3485.18079774897,511
"2008/2009",2009,121,121,100,86.075206163826,4134.03380828397,462
"2009/2010",2010,120,120,100,87.2038290376081,4596.73708361166,330
"2010/2011",2011,120,120,100,91.6764944211839,4075.1697347922,114
"2011/2012",2012,120,120,100,84.8393455046466,3955.78226693824,230
"2012/2013",2013,121,121,100,85.4691754491944,4561.4547326772,439
"2013/2014",2014,120,120,100,83.6582181096621,3532.2737332955,348
"2014/2015",2015,120,120,100,68.1130780201902,5499.46645627497,987
"2015/2016",2016,120,120,100,86.9096008753133,5025.3809731612,255
"2016/2017",2017,121,121,100,77.9023719701649,6545.52389155352,435
"2017/2018",2018,120,120,100,77.3622729205963,5705.2841977952,560
"2018/2019",2019,120,120,100,76.5683131918413,3609.49708343297,639
"2019/2020",2020,120,120,100,84.0581691491898,5981.75324255787,261
"2020/2021",2021,121,121,100,86.1032432131142,6686.57954357145,226
"2021/2022",2022,120,120,100,76.9025780742186,3569.15862964257,683
"2022/2023",2023,120,120,100,77.9046648546459,5442.96172935097,358
"2023/2024",2024,120,120,100,90.0237789424082,5657.74872062076,111
"2024/2025",2025,121,121,100,89.7508672888634,5357.66440941603,88
"2025/2026",2026,120,120,100,85.6907887091006,5132.42560819606,228
"2026/2027",2027,120,120,100,76.1848321737439,2440.22137985751,892
"2027/2028",2028,120,120,100,82.81211542556,4960.80803831248,362
"2028/2029",2029,121,121,100,88.3051465509889,3407.46923364908,378
"2029/2030",2030,120,120,100,83.5337641597689,4138.40199645679,355
"2030/2031",2031,120,120,100,85.9504970752614,5710.95533678448,283
"2031/2032",2032,120,120,100,82.2527997653228,4491.91098519787,484
"2032/2033",2033,121,121,100,86.7353042441941,4343.0313170366,366
"2033/2034",2034,120,120,100,84.3833875705786,3176.65562054375,488
"2034/2035",2035,120,120,100,77.0544307869941,3585.92009678669,623
"2035/2036",2036,120,120,100,82.9807385017821,5056.16164454026,278
"2036/2037",2037,121,121,100,87.519644339146,5309.33022185788,306
"2037/2038",2038,120,120,100,80.9759241842512,2516.41779184109,527
"2038/2039",2039,120,120,100,80.8496476986811,5990.8556240201,341
"2039/2040",2040,120,120,100,88.7139241348805,7366.27594289416,117
"2040/2041",2041,121,121,100,88.8105540074212,5107.36409872025,200
"2041/2042",2042,120,120,100,89.0170474850302,3275.58726409357,253
"2042/2043",2043,120,120,100,80.3441887426452,9249.0963777611,276
"2043/2044",2044,120,120,100,85.8421824744664,2409.56292999443,408
"2044/2045",2045,121,121,100,88.0779533600225,4341.59595036739,262
"2045/2046",2046,120,120,100,80.4429590622858,3621.33223915985,678
"2046/2047",2047,120,120,100,81.021316425421,3728.44556403672,430
"2047/2048",2048,120,120,100,82.0433491998574,4080.857005917,557
"2048/2049",2049,121,121,100,91.0249294669384,3580.61401142133,185
"2049/2050",2050,120,120,100,84.8988521649444,2611.54195126891,418
"2050/2051",2051,120,120,100,82.1959651806546,1865.80785153201,461
"2051/2052",2052,120,120,100,80.1266617874971,4893.71502958937,330
"2052/2053",2053,121,121,100,81.4971467257465,6461.73323628493,356
"2053/2054",2054,120,120,100,85.385087057487,6411.00264337845,260
"2054/2055",2055,120,120,100,86.6915810554992,5969.20166698843,83
"2055/2056",2056,120,120,100,81.9515959429,4637.80008788407,361
"2056/2057",2057,121,121,100,80.0741437902661,5976.16596017964,188
"2057/2058",2058,120,120,100,80.7862823554287,4522.80257273838,527
"2058/2059",2059,120,120,100,86.9087123091676,5552.99515886325,143
"2059/2060",2060,120,120,100,78.5189317047179,3247.1413241541,591
"2060/2061",2061,121,121,100,86.9656784646777,5853.60435348935,249
"2061/2062",2062,120,120,100,72.3929469980512,7292.957516063,400
"2062/2063",2063,120,120,100,81.6986616666763,2705.22958437633,554
"2063/2064",2064,120,120,100,86.5270045066854,2568.80480653793,487
"2064/2065",2065,121,121,100,82.3014321384553,4964.36958916578,498
"2065/2066",2066,120,120,100,86.5212516198571,4932.39383872692,247
"2066/2067",2067,120,120,100,90.5173231822737,4445.40017561056,163
"2067/2068",2068,120,120,100,82.4854399981195,2499.80863587465,526
"2068/2069",2069,121,121,100,83.5901956805028,7213.26761506218,226
"2069/2070",2070,120,120,100,78.6759301628517,4882.55701132026,439
"2070/2071",2071,120,120,100,83.2232139148437,4440.70488457568,451
"2071/2072",2072,120,120,100,84.1759375975362,4379.49345501419,334
"2072/2073",2073,121,121,100,82.6638678278578,6255.46915744431,297
"2073/2074",2074,120,120,100,86.2568682921519,6545.77570294496,241
"2074/2075",2075,120,120,100,73.794772412497,7058.42744279746,594
"2075/2076",2076,120,120,100,81.6196175336136,6700.28732775524,423
"2076/2077",2077,121,121,100,89.9744189420835,6136.00796023384,84
"2077/2078",2078,120,120,100,84.62772384235,2447.40949633718,485
"2078/2079",2079,120,120,100,81.0286330628114,2516.19209602848,606
"2079/2080",2080,120,120,100,88.6742928569474,4255.08834291156,249
"2080/2081",2081,121,121,100,89.9061806732316,5859.99526698235,95
"2081/2082",2082,120,120,100,81.7369162842915,5617.89516993705,430
"2082/2083",2083,120,120,100,84.026422156936,5053.78432600666,230
"2083/2084",2084,120,120,100,85.5031576971815,6839.70854946971,294
"2084/2085",2085,121,121,100,81.6696036113481,2834.80173540954,549
"2085/2086",2086,120,120,100,84.2440546519792,4070.34581919201,381
"2086/2087",2087,120,120,100,84.9000480058949,4249.91784124449,461
"2087/2088",2088,120,120,100,87.5992420447983,3594.69372967631,333
"2088/2089",2089,121,121,100,80.7455359250616,5082.19236700702,477
"2089/2090",2090,120,120,100,88.0248836896553,3647.3890576493,407
"2090/2091",2091,120,120,100,83.1800139174811,2282.73109414708,556
"2091/2092",2092,120,120,100,84.0508011660731,3803.45234105084,484
"2092/2093",2093,121,121,100,85.8824025046524,2854.1851060316,467
"2093/2094",2094,120,120,100,83.2913943899894,6116.98678547889,276
"2094/2095",2095,120,120,100,81.4962656837306,5260.77508934587,504
"2095/2096",2096,120,120,100,89.293443667053,4071.60435847566,184
"2096/2097",2097,121,121,100,81.8697984129049,7692.26935843937,164
"2097/2098",2098,120,120,100,75.1983253610961,6972.87592038885,377
"2098/2099",2099,120,120,100,82.2419314082272,4352.34526213259,468
"2099/2100",2100,120,120,100,79.4373328460715,4759.21240658592,483
