"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,68.6748716894531,12720.6301535445,141
"2002/2003",2003,120,120,100,77.2749038507336,11158.0149008107,238
"2003/2004",2004,120,120,100,86.9717348229757,7052.87222697091,168
"2004/2005",2005,121,121,100,84.7493116655051,9529.49604548531,99
"2005/2006",2006,120,120,100,75.6151512744206,12642.5521735278,17
"2006/2007",2007,120,120,100,78.6142381687763,10485.9886057057,245
"2007/2008",2008,120,120,100,81.1350163971923,7389.59201950999,183
"2008/2009",2009,121,121,100,83.4378030778498,9051.88480614743,238
"2009/2010",2010,120,120,100,83.4953326914829,9748.9402985078,138
"2010/2011",2011,120,120,100,85.2548483150729,9312.36460969434,50
"2011/2012",2012,120,120,100,85.1560568851294,8667.133844133,87
"2012/2013",2013,121,121,100,82.3368851012808,9025.93279506906,149
"2013/2014",2014,120,120,100,81.2709655431045,7994.39715283306,199
"2014/2015",2015,120,120,100,70.0508747857905,8932.98333850224,431
"2015/2016",2016,120,120,100,80.6782034475302,10115.9772673568,82
"2016/2017",2017,121,121,100,70.2250900858805,11428.0508482889,192
"2017/2018",2018,120,120,100,75.3746258911947,10374.9233328998,257
"2018/2019",2019,120,120,100,78.7789483445522,7148.40841643023,329
"2019/2020",2020,120,120,100,74.655702833777,11338.1371063651,77
"2020/2021",2021,121,121,100,76.5835722518123,12657.0678944699,63
"2021/2022",2022,120,120,100,77.1514934156985,6883.76195138297,340
"2022/2023",2023,120,120,100,77.5737112689235,9917.25440497743,155
"2023/2024",2024,120,120,100,80.2928573528848,11506.6817592264,19
"2024/2025",2025,121,121,100,80.5713230215324,11094.4530725854,28
"2025/2026",2026,120,120,100,77.4464128698255,10287.7132303228,66
"2026/2027",2027,120,120,100,82.5623631109784,5862.54909411632,471
"2027/2028",2028,120,120,100,79.6074522980966,9837.8982043392,146
"2028/2029",2029,121,121,100,86.1089171524613,7599.0261949338,180
"2029/2030",2030,120,120,100,81.5666857472556,8672.65281115193,147
"2030/2031",2031,120,120,100,76.9001593176686,11071.2409655694,122
"2031/2032",2032,120,120,100,80.1545493664212,8633.13076302223,219
"2032/2033",2033,121,121,100,81.0354710302472,9417.22747220192,168
"2033/2034",2034,120,120,100,83.487898485012,7202.39572351286,246
"2034/2035",2035,120,120,100,78.8353322999469,7195.72746227868,332
"2035/2036",2036,120,120,100,75.7543049739365,9689.63562901132,110
"2036/2037",2037,121,121,100,77.7475770324318,10774.2906599422,193
"2037/2038",2038,120,120,100,84.7122168216702,5823.56268737745,253
"2038/2039",2039,120,120,100,75.6687045225799,11742.0428783549,224
"2039/2040",2040,120,120,100,72.4776422546984,13761.0813140925,7
"2040/2041",2041,121,121,100,81.9677562103907,10234.6932273898,82
"2041/2042",2042,120,120,100,88.6687632539406,7757.34984997706,52
"2042/2043",2043,120,120,100,64.4437303655604,15870.2201161981,187
"2043/2044",2044,120,120,100,89.1323277703723,5826.76904548332,198
"2044/2045",2045,121,121,100,84.5327046925186,9381.4507315075,125
"2045/2046",2046,120,120,100,82.873536895856,7450.06396469707,329
"2046/2047",2047,120,120,100,83.5580381007994,7616.94130692026,238
"2047/2048",2048,120,120,100,80.066707261517,8484.33901487058,380
"2048/2049",2049,121,121,100,88.6723532265587,8348.00397696206,81
"2049/2050",2050,120,120,100,87.0144603009849,6129.44825748773,124
"2050/2051",2051,120,120,100,88.8325605929995,4716.0751669202,226
"2051/2052",2052,120,120,100,78.790183981695,9493.345085382,143
"2052/2053",2053,121,121,100,74.9601329773841,11662.4877884579,182
"2053/2054",2054,120,120,100,71.8673980114127,12206.5969138881,162
"2054/2055",2055,120,120,100,80.7233214186726,11545.1478323061,14
"2055/2056",2056,120,120,100,79.7782406644274,9090.97295661177,143
"2056/2057",2057,121,121,100,79.7625181408312,10517.6153696021,58
"2057/2058",2058,120,120,100,77.5790200622841,9319.0167826293,269
"2058/2059",2059,120,120,100,81.0108586271663,11268.0382185206,44
"2059/2060",2060,120,120,100,81.7939961019392,6627.15334820282,300
"2060/2061",2061,121,121,100,75.4348997427487,11546.0893253153,144
"2061/2062",2062,120,120,100,71.7432893703926,12056.9285950605,130
"2062/2063",2063,120,120,100,88.0981006163929,6101.56620474532,298
"2063/2064",2064,120,120,100,89.7556797838643,6060.53535387944,166
"2064/2065",2065,121,121,100,78.5620849667002,9706.58427582774,254
"2065/2066",2066,120,120,100,79.1057702147646,10280.5982576339,120
"2066/2067",2067,120,120,100,85.6656240669236,9535.55924677197,29
"2067/2068",2068,120,120,100,84.995534242029,6243.91806945112,268
"2068/2069",2069,121,121,100,70.8527691246527,13823.5972763263,118
"2069/2070",2070,120,120,100,77.7644087659701,9444.40432298556,252
"2070/2071",2071,120,120,100,80.7588187545671,9394.0628689602,229
"2071/2072",2072,120,120,100,82.0921327791257,8668.45759161562,128
"2072/2073",2073,121,121,100,75.9546041173999,11229.7550129537,115
"2073/2074",2074,120,120,100,72.4370825499191,12857.7975355638,182
"2074/2075",2075,120,120,100,71.7253105585714,11614.477990482,397
"2075/2076",2076,120,120,100,73.7373996546812,12233.570119584,183
"2076/2077",2077,121,121,100,78.4693966569484,12297.2738593761,20
"2077/2078",2078,120,120,100,88.8815091484739,5779.33523250557,130
"2078/2079",2079,120,120,100,84.8775474759786,6542.82342781313,384
"2079/2080",2080,120,120,100,82.5033502540209,9385.11083401181,135
"2080/2081",2081,121,121,100,80.9311223050372,11507.2855021665,7
"2081/2082",2082,120,120,100,77.7151528103786,11039.2993494775,216
"2082/2083",2083,120,120,100,81.0185308530181,10024.7893972788,100
"2083/2084",2084,120,120,100,74.4663982017446,12741.9600578323,204
"2084/2085",2085,121,121,100,83.1399704264895,6511.3863228336,249
"2085/2086",2086,120,120,100,80.9561484842598,9111.96781266574,186
"2086/2087",2087,120,120,100,79.7319028646525,8341.10797107965,275
"2087/2088",2088,120,120,100,85.1095779054285,8065.13067097776,136
"2088/2089",2089,121,121,100,75.6785630686009,9707.35898818634,293
"2089/2090",2090,120,120,100,84.8915065115289,8234.65913460031,157
"2090/2091",2091,120,120,100,85.992867243951,5713.67048828863,311
"2091/2092",2092,120,120,100,82.0788340871732,7892.88998348452,192
"2092/2093",2093,121,121,100,87.9868369945198,6679.10302522872,137
"2093/2094",2094,120,120,100,72.9371275425419,11688.2088118214,157
"2094/2095",2095,120,120,100,73.7080721368566,10195.4790086085,265
"2095/2096",2096,120,120,100,84.9138365243252,8857.8132533459,69
"2096/2097",2097,121,121,100,74.8533008338927,13073.0828052424,89
"2097/2098",2098,120,120,100,72.2796506792256,11662.3293722654,143
"2098/2099",2099,120,120,100,78.6997249763608,8838.45629285462,219
"2099/2100",2100,120,120,100,77.844565138661,9237.79713512957,307
